,permitnumber,worktype,permittypedescr,declared_valuation,occupancytype,city
0,ERT325841,ERECT,Erect/New Construction,1750000.0,Mixed,Mission Hill
1,ERT325841,ERECT,Erect/New Construction,1750000.0,Mixed,Mission Hill
2,ERT325841,ERECT,Erect/New Construction,1750000.0,Mixed,Mission Hill
3,ERT11971,ERECT,Erect/New Construction,585000.0,1-2FAM,West Roxbury
4,ERT301170,ERECT,Erect/New Construction,900000.0,Multi,West Roxbury
5,ERT411049,ERECT,Erect/New Construction,300000.0,1-2FAM,West Roxbury
6,ERT516480,ERECT,Erect/New Construction,3362500.0,Mixed,West Roxbury
7,ERT71993,ERECT,Erect/New Construction,336000.0,Comm,West Roxbury
8,ERT841896,ERECT,Erect/New Construction,450000.0,VacLd,West Roxbury
9,ERT117561,ERECT,Erect/New Construction,415000.0,1-3FAM,South Boston
10,ERT17021,NEWCON,Erect/New Construction,190000.0,2unit,South Boston
11,ERT18819,ERECT,Erect/New Construction,230000.0,1-3FAM,South Boston
12,ERT214362,NEWCON,Erect/New Construction,3000000.0,Multi,South Boston
13,ERT223662,ERECT,Erect/New Construction,400000.0,1-3FAM,South Boston
14,ERT268921,NEWCON,Erect/New Construction,450000.0,1-3FAM,South Boston
15,ERT277916,ERECT,Erect/New Construction,4130000.0,Other,South Boston
16,ERT279684,ERECT,Erect/New Construction,2200000.0,Comm,South Boston
17,ERT280286,NEWCON,Erect/New Construction,525000.0,1-3FAM,South Boston
18,ERT298059,INTEXT,Erect/New Construction,1000000.0,Multi,South Boston
19,ERT32818,ERECT,Erect/New Construction,1500000.0,7More,South Boston
20,ERT407030,NEWCON,Erect/New Construction,950000.0,1-4FAM,South Boston
21,ERT409645,ERECT,Erect/New Construction,482240.0,1-3FAM,South Boston
22,ERT416347,ERECT,Erect/New Construction,625000.0,Mixed,South Boston
23,ERT425837,ERECT,Erect/New Construction,600000.0,1-3FAM,South Boston
24,ERT435802,NEWCON,Erect/New Construction,450000.0,1-2FAM,South Boston
25,ERT435802,NEWCON,Erect/New Construction,450000.0,1-2FAM,South Boston
26,ERT436163,ERECT,Erect/New Construction,300000.0,1-3FAM,South Boston
27,ERT458548,ERECT,Erect/New Construction,6000000.0,Mixed,South Boston
28,ERT458548,ERECT,Erect/New Construction,6000000.0,Mixed,South Boston
29,ERT475087,ERECT,Erect/New Construction,700000.0,1-3FAM,South Boston
30,ERT490754,ERECT,Erect/New Construction,605000.0,1-2FAM,South Boston
31,ERT529147,ERECT,Erect/New Construction,1600000.0,Multi,South Boston
32,ERT529147,ERECT,Erect/New Construction,1600000.0,Multi,South Boston
33,ERT567880,ERECT,Erect/New Construction,1200000.0,Multi,South Boston
34,ERT582480,ERECT,Erect/New Construction,600000.0,VacLd,South Boston
35,ERT58598,ERECT,Erect/New Construction,300000.0,Multi,South Boston
36,ERT615883,ERECT,Erect/New Construction,1100000.0,1-2FAM,South Boston
37,ERT636547,ERECT,Erect/New Construction,1095000.0,1-2FAM,South Boston
38,ERT657820,ERECT,Erect/New Construction,1979884.0,VacLd,South Boston
39,ERT676307,ERECT,Erect/New Construction,2000000.0,Comm,South Boston
40,ERT692694,ERECT,Erect/New Construction,1200000.0,VacLd,South Boston
41,ERT70719,ERECT,Erect/New Construction,149600.0,1Unit,South Boston
42,ERT70819,ERECT,Erect/New Construction,110000.0,1-2FAM,South Boston
43,ERT775611,ERECT,Erect/New Construction,15000000.0,Comm,South Boston
44,ERT799401,ERECT,Erect/New Construction,1200000.0,1-3FAM,South Boston
45,ERT811090,ERECT,Erect/New Construction,9795000.0,Mixed,South Boston
46,ERT820376,ERECT,Erect/New Construction,1109000.0,1-2FAM,South Boston
47,ERT84701,ERECT,Erect/New Construction,400000.0,1-3FAM,South Boston
48,ERT848004,ERECT,Erect/New Construction,650000.0,1-2FAM,South Boston
49,ERT91920,NEWCON,Erect/New Construction,465000.0,1-3FAM,South Boston
50,ERT100941,ERECT,Erect/New Construction,225000.0,1-2FAM,Roslindale
51,ERT131468,ERECT,Erect/New Construction,443000.0,1-2FAM,Roslindale
52,ERT283555,NEWCON,Erect/New Construction,340000.0,1-2FAM,West Roxbury
53,ERT452036,NEWCON,Erect/New Construction,2100000.0,Multi,Roslindale
54,ERT485570,ERECT,Erect/New Construction,2500000.0,Mixed,Roslindale
55,ERT597325,ERECT,Erect/New Construction,4500000.0,Comm,Roslindale
56,ERT690059,ERECT,Erect/New Construction,1800000.0,Multi,Roslindale
57,ERT78826,ERECT,Erect/New Construction,2000000.0,Mixed,Roslindale
58,ERT111788,NEWCON,Erect/New Construction,244600.0,4unit,East Boston
59,ERT159355,ERECT,Erect/New Construction,390000.0,1-4FAM,East Boston
60,ERT159356,ERECT,Erect/New Construction,390000.0,1-4FAM,East Boston
61,ERT159357,ERECT,Erect/New Construction,390000.0,1-4FAM,East Boston
62,ERT160207,ERECT,Erect/New Construction,250000.0,1-2FAM,East Boston
63,ERT206476,ERECT,Erect/New Construction,690000.0,Multi,East Boston
64,ERT206480,ERECT,Erect/New Construction,156000.0,1-2FAM,East Boston
65,ERT320329,ERECT,Erect/New Construction,780000.0,Mixed,East Boston
66,ERT321349,NEWCON,Erect/New Construction,820000.0,Multi,East Boston
67,ERT365714,ERECT,Erect/New Construction,700000.0,1-3FAM,East Boston
68,ERT79766,EXTREN,Erect/New Construction,30000.0,Comm,East Boston
69,ERT130122,NEWCON,Erect/New Construction,48907024.0,Multi,Jamaica Plain
70,ERT441083,ERECT,Erect/New Construction,2943000.0,Multi,Mission Hill
71,ERT1059468,ERECT,Erect/New Construction,1430000.0,1-4FAM,South Boston
72,ERT112408,NEWCON,Erect/New Construction,500000.0,1-4FAM,South Boston
73,ERT18106,ERECT,Erect/New Construction,500000.0,4unit,South Boston
74,ERT18106,ERECT,Erect/New Construction,500000.0,4unit,South Boston
75,ERT184840,ERECT,Erect/New Construction,250000.0,1-2FAM,South Boston
76,ERT246700,NEWCON,Erect/New Construction,231000.0,1-2FAM,South Boston
77,ERT340531,NEWCON,Erect/New Construction,250000.0,1-2FAM,South Boston
78,ERT500382,ERECT,Erect/New Construction,800000.0,1-2FAM,South Boston
79,ERT545929,ERECT,Erect/New Construction,2000000.0,Multi,South Boston
80,ERT69927,ERECT,Erect/New Construction,1177100.0,Multi,South Boston
81,ERT1021940,ERECT,Erect/New Construction,735000.0,1-3FAM,Jamaica Plain
82,ERT103142,NEWCON,Erect/New Construction,500000.0,1-3FAM,Jamaica Plain
83,ERT237571,ERECT,Erect/New Construction,320000.0,1-2FAM,Jamaica Plain
