,NEIGHBORHOOD,YEAR,VOTES_CAST,BLANKS,BALLOTS_CAST,REGISTERED_VOTERS
0,Roslindale,2011,10660.408590274687,3741.430751246507,3600.459835380298,16694.745507782995
1,Jamaica Plain,2011,16148.83699892619,5541.979774762859,5422.7041934222625,26678.090065034943
2,Mission Hill,2011,2557.7720358539023,857.3462462088858,853.7795705156971,6505.2662853231495
3,Longwood,2011,200.99564641055292,66.96588865549643,66.99038376651234,850.9120458735999
4,Bay Village,2011,482.66350612298413,323.39782124280606,201.51533184144753,875.7400645008681
5,Leather District,2011,121.4680499694988,99.50469804557619,55.243187003768746,257.3328092793737
6,Chinatown,2011,647.86574021921,516.3799415031544,291.06142043059117,1343.2759549198859
7,North End,2011,1830.3989021692191,876.3864092091567,676.6963278445941,5875.126623311073
8,Roxbury,2011,12457.143889870755,5725.585248124302,4545.682284498764,26665.827200649914
9,South End,2011,7734.548454244171,3531.9144817122515,2816.6157339891047,16302.528860021159
10,Back Bay,2011,3935.533876561191,1517.5064071293684,1363.26007092264,13048.229976237197
11,East Boston,2011,5964.540699297308,3323.512431718282,2322.0132827538973,14857.689265738358
12,Charlestown,2011,6334.1602828129535,2857.3693565673316,2297.8824098450714,11841.041395666167
13,West End,2011,1258.8911469244467,364.39211226984423,405.82081479857277,3595.0303015989457
14,Beacon Hill,2011,2291.3304799574853,697.0818845961679,747.1030911384133,5844.876515256365
15,Downtown,2011,2563.1184100772202,1491.6952542614908,1013.7034160846779,7209.272274821879
16,Fenway,2011,2836.727050550962,858.0426369208541,923.6924218679538,13355.10904819854
17,Brighton,2011,8647.797143315858,2570.2640440951204,2804.5152968527445,25581.520591643108
18,West Roxbury,2011,16158.98899519773,6094.212358609804,5563.300338451883,20190.97835072907
19,Hyde Park,2011,11516.020842684093,4210.443175067788,3931.6160044379703,19595.48234931707
20,Mattapan,2011,6948.769128314027,2186.21980462137,2283.747233233848,12725.856775811746
21,Dorchester,2011,37476.66549022059,17789.205626895695,13816.467779279075,62541.07132823146
22,South Boston Waterfront,2011,1398.5361599120645,875.2622544096223,568.4496035804217,3232.262893575551
23,South Boston,2011,12823.383041738925,9907.216472537122,5682.649878569012,22041.492632332338
24,Allston,2011,2003.7570925987525,626.1768935168562,657.4834965289022,10740.546521631004
25,Harbor Islands,2011,0.0,0.0,0.0,166.86947933148386
26,Roslindale,2013,21010.962311080515,12671.856713776424,8420.704756214232,17787.208432449333
27,Jamaica Plain,2013,31117.77482448416,17738.602819635664,12214.094411029959,28070.814377995903
28,Mission Hill,2013,4746.93392691209,3463.4310603207496,2052.5912468082097,7119.002928531196
29,Longwood,2013,393.4794174810294,299.1171956455098,173.1491532816348,1051.1526973978248
