,NEIGHBORHOOD,TOTAL,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
0,Roslindale,30207,61%,24%,0%,2%,7%
1,Jamaica Plain,43871,62%,18%,0%,5%,10%
2,Mission Hill,14251,51%,19%,0%,18%,9%
3,Longwood,6549,60%,12%,0%,20%,5%
4,Bay Village,1465,64%,3%,0%,26%,3%
5,Leather District,621,48%,5%,0%,43%,1%
6,Chinatown,3113,50%,5%,0%,41%,1%
7,North End,6785,91%,2%,0%,4%,2%
8,Roxbury,53772,20%,54%,1%,4%,15%
9,South End,24202,62%,11%,0%,16%,6%
10,Back Bay,20755,77%,6%,0%,12%,2%
11,East Boston,36754,62%,3%,0%,4%,5%
12,Charlestown,16296,81%,8%,0%,7%,1%
13,West End,6227,77%,5%,0%,12%,2%
14,Beacon Hill,8930,88%,2%,0%,6%,1%
15,Downtown,13835,66%,4%,0%,25%,2%
16,Fenway,32156,63%,7%,0%,21%,4%
17,Brighton,48561,72%,5%,0%,15%,5%
18,West Roxbury,33439,73%,13%,0%,7%,3%
19,Hyde Park,37974,34%,49%,0%,2%,10%
20,Mattapan,26843,10%,80%,0%,2%,3%
21,Dorchester,122539,28%,50%,0%,10%,8%
22,South Boston Waterfront,6344,77%,7%,0%,8%,3%
23,South Boston,36373,78%,9%,0%,6%,4%
24,Allston,26650,59%,7%,0%,24%,7%
25,Harbor Islands,99,44%,22%,0%,0%,22%
