,NEIGHBORHOOD,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 85+
0,Roslindale,17565,47%,0%,1%,4%,4%,7%,8%,7%,4%,2%,1%,53%,1%,2%,5%,4%,10%,8%,8%,3%,3%,2%
1,Jamaica Plain,25615,48%,0%,4%,7%,6%,8%,7%,5%,3%,1%,0%,52%,1%,4%,9%,7%,7%,6%,6%,3%,2%,2%
2,Mission Hill,7548,54%,6%,21%,8%,3%,4%,3%,3%,2%,1%,1%,46%,6%,18%,5%,3%,3%,3%,1%,2%,1%,2%
3,Longwood,4006,39%,13%,15%,4%,1%,2%,1%,1%,0%,1%,0%,61%,24%,26%,3%,2%,1%,1%,1%,1%,1%,1%
4,Bay Village,859,50%,3%,3%,7%,9%,7%,3%,6%,5%,2%,1%,50%,6%,4%,7%,7%,7%,5%,5%,4%,2%,0%
5,Leather District,239,46%,8%,6%,7%,5%,4%,5%,4%,3%,1%,0%,54%,18%,11%,4%,5%,4%,4%,2%,3%,1%,0%
6,Chinatown,1258,47%,8%,6%,7%,6%,5%,5%,4%,3%,1%,0%,53%,16%,10%,5%,5%,4%,4%,2%,3%,1%,0%
7,North End,6417,51%,0%,6%,14%,8%,6%,5%,3%,3%,3%,1%,49%,0%,6%,15%,7%,5%,2%,3%,4%,3%,1%
8,Roxbury,10398,56%,6%,14%,6%,5%,6%,4%,5%,2%,1%,0%,44%,6%,6%,4%,4%,6%,4%,3%,1%,1%,0%
9,South End,14672,55%,1%,4%,7%,9%,8%,8%,6%,3%,1%,0%,45%,2%,2%,9%,8%,7%,5%,4%,3%,1%,0%
10,Back Bay,16291,47%,4%,5%,8%,6%,6%,4%,6%,3%,2%,0%,53%,3%,6%,11%,8%,4%,4%,6%,5%,2%,1%
11,East Boston,20398,53%,1%,4%,6%,7%,9%,7%,4%,3%,1%,0%,47%,1%,3%,5%,5%,8%,6%,4%,3%,2%,1%
12,Charlestown,11106,45%,0%,1%,6%,8%,9%,4%,5%,3%,1%,0%,55%,0%,2%,7%,10%,8%,7%,7%,4%,2%,1%
13,West End,4265,53%,1%,7%,10%,6%,9%,6%,5%,4%,2%,1%,47%,2%,5%,11%,7%,5%,3%,5%,3%,2%,1%
14,Beacon Hill,7675,48%,0%,3%,13%,8%,6%,5%,3%,5%,1%,0%,52%,1%,7%,12%,6%,5%,5%,4%,5%,1%,1%
15,Downtown,8282,51%,3%,5%,9%,7%,5%,6%,5%,5%,2%,1%,49%,6%,7%,8%,6%,5%,4%,4%,4%,2%,1%
16,Fenway,21046,47%,12%,14%,7%,4%,3%,2%,2%,1%,1%,0%,53%,14%,20%,7%,4%,2%,1%,2%,1%,1%,0%
17,Brighton,31632,45%,1%,10%,12%,5%,4%,3%,3%,2%,2%,1%,55%,2%,14%,12%,4%,4%,3%,4%,3%,3%,2%
18,West Roxbury,25554,46%,1%,2%,3%,3%,7%,7%,7%,4%,2%,1%,54%,0%,1%,3%,3%,7%,9%,8%,5%,4%,3%
19,Hyde Park,11770,47%,1%,3%,4%,4%,5%,7%,7%,4%,3%,1%,53%,1%,3%,3%,3%,7%,9%,8%,6%,3%,2%
20,Mattapan,2540,49%,0%,3%,2%,3%,5%,8%,6%,3%,1%,1%,51%,0%,2%,5%,4%,9%,8%,8%,3%,2%,1%
21,Dorchester,30225,53%,1%,4%,6%,6%,7%,8%,7%,3%,2%,1%,47%,1%,3%,6%,6%,7%,5%,6%,3%,2%,2%
22,South Boston Waterfront,3976,51%,1%,5%,14%,9%,8%,5%,5%,2%,1%,0%,49%,0%,3%,13%,7%,6%,5%,5%,3%,2%,1%
23,South Boston,27758,50%,0%,3%,14%,7%,7%,5%,5%,2%,1%,1%,50%,0%,4%,14%,6%,6%,5%,5%,2%,2%,1%
24,Allston,16274,47%,6%,13%,13%,4%,4%,2%,2%,1%,1%,0%,53%,9%,20%,11%,3%,2%,1%,2%,1%,2%,0%
25,Harbor Islands,30,43%,0%,0%,3%,0%,0%,7%,27%,3%,0%,0%,57%,3%,10%,3%,10%,10%,0%,7%,0%,17%,0%
