,WARD_PRECI,Median Household Income,Per Capita Income
0,0102,53958,30843
1,0105,56501,28051
2,0203,90820,57628
3,0205,101418,59239
4,0204,79024,52839
5,0206,101418,59239
6,0303,78636,64067
7,0304,77082,60421
8,0307,65792,57857
9,0402,80854,86923
10,0401,84186,75015
11,0403,68974,64042
12,0405,44298,52808
13,0406,44811,62781
14,0404,65386,60971
15,0408,23459,18644
16,0409,19034,9431
17,0504,80667,68154
18,0503,88182,77666
19,0501,61652,68611
20,0902,46406,42164
21,0901,61769,56695
22,0502,38733,34758
23,0603,59740,40023
24,0605,90474,40712
25,0606,86038,49903
26,0602,59740,40023
27,0608,88506,51308
28,0702,86038,49903
29,0706,45006,30676
30,0805,36798,16110
31,0803,31245,18166
32,1201,31784,18048
33,0905,28959,19583
34,1002,33121,22838
35,1001,26222,16121
36,0904,21250,14769
37,0903,28701,24560
38,0804,19394,12182
39,0806,40396,16450
40,0709,45288,21129
41,0710,42764,21971
42,0807,38075,16117
43,1006,45805,29609
44,1003,32691,21405
45,1101,31580,22479
46,1007,38854,25889
47,1209,30579,22134
48,1103,28275,18321
49,1105,39669,20124
50,1106,70941,40506
51,1107,70941,31950
52,1104,31904,20292
53,1206,32856,20345
54,1204,42409,20407
55,1205,36296,21874
56,1301,35389,18533
57,1306,59039,29086
58,1308,56399,28525
59,1304,26623,15005
60,1302,35915,16825
61,1307,56399,28525
62,1309,59039,29086
63,1305,41668,20144
64,1401,31237,16645
65,1406,26414,14470
66,1404,37690,16495
67,1403,26518,14130
68,1503,46799,18189
69,1501,41704,19660
70,1502,45808,17837
71,1504,52656,24584
72,1505,45555,18318
73,1507,46799,18189
74,1508,46448,24286
75,1506,50251,26931
76,1509,44605,20129
77,1009,74771,41578
78,1908,108322,68733
79,1906,90240,55418
80,1901,73067,41797
81,2104,32108,23859
82,2105,38752,25964
83,2107,40925,28527
84,2108,43191,30760
85,2106,43327,27643
86,2110,36638,28340
87,2115,43949,30348
88,2202,39628,20518
89,2203,45078,28419
90,2207,77409,40288
91,2213,77409,40288
92,2204,83717,41396
93,2210,62998,34560
94,1108,56386,24297
95,0705,45166,27658
96,2209,47578,27616
97,2111,36182,30252
98,2113,45730,30547
99,2206,47131,28209
100,2109,40237,28981
101,2101,33346,27952
102,1005,31936,21238
103,0704,61564,35341
104,0708,39722,27805
105,1203,33337,20409
106,1202,29242,19331
107,1102,32582,21847
108,1904,70200,40531
109,1905,129720,81022
110,1903,117155,66915
111,1402,30929,16289
112,1407,27578,15194
113,1409,24291,11302
114,1413,37376,17124
115,1412,32136,15680
116,1410,30160,15503
117,1405,37376,17124
118,1414,38950,16974
119,1601,46448,24286
120,1701,37152,19430
121,1702,45322,23806
122,1607,59038,30388
123,1605,55303,29496
124,1603,46226,26272
125,1609,61622,31673
126,1706,43073,24339
127,1709,49768,24380
128,1711,53449,26280
129,1604,48692,26246
130,1606,53678,27322
131,1608,57204,28053
132,1611,59584,28213
133,1705,35527,18446
134,1708,45496,22168
135,1707,39141,18873
136,1710,46838,20797
137,1712,47717,21998
138,1704,53888,24730
139,1802,39141,18210
140,1821,39891,17471
141,1807,51436,23216
142,1808,52759,23048
143,1809,61514,27516
144,1810,55313,25993
145,1811,64322,30128
146,1813,60558,30305
147,1814,60496,26411
148,1822,61274,29232
149,1805,57545,25314
150,1806,56577,25777
151,1815,62097,27172
152,1819,48519,27412
153,1911,61366,29600
154,1913,60718,29530
155,1912,61786,29251
156,2004,76414,35762
157,2009,52944,26846
158,2007,89038,44313
159,2019,89574,46865
160,2006,109200,52736
161,2020,89396,45496
162,2013,85643,43744
163,2016,76364,38190
164,2010,80367,37403
165,2005,83799,42077
166,1703,40044,21586
167,1110,68921,39287
168,1109,72250,42980
169,1902,105297,57642
170,2017,89396,45496
171,2015,60666,32446
172,1910,54973,26904
173,1801,45979,21309
174,1714,51022,24856
175,1804,51836,23779
176,2012,88756,44668
177,2014,88743,42431
178,1820,58668,30684
179,2018,88756,44668
180,2001,83172,42684
181,1207,33317,17904
182,1411,32907,12696
183,1907,74128,36140
184,1803,42339,16340
185,1408,48303,19353
186,1909,123272,70726
187,1208,26602,18432
188,0207,75409,53425
189,0202,67023,47615
190,0306,84295,70113
191,0302,72401,63171
192,2103,32522,20182
193,2114,43060,31394
194,2201,39628,20518
195,2205,48405,27685
196,2212,56667,31540
197,2211,65317,34074
198,2208,59954,32196
199,2116,50398,31182
200,2112,41488,34758
201,0510,34374,30386
202,2102,26912,17164
203,1310,51135,27958
204,1303,40830,23862
205,1610,61892,32205
206,1713,58469,27707
207,1612,64291,33166
208,1602,58744,33464
209,0604,84159,47570
210,0607,88506,43914
211,0701,85154,50022
212,0609,86538,37258
213,0707,44673,31245
214,0703,52346,33076
215,0308,36730,40405
216,0801,46327,42449
217,0601,61758,39388
218,0305,76367,60289
219,0201,86053,57296
