,WARD_PRECI,Roslindale,Jamaica Plain,Mission Hill,Longwood,Bay Village,Leather District,Chinatown,North End,Roxbury,South End,Back Bay,East Boston,Charlestown,West End,Beacon Hill,Downtown,Fenway,Brighton,West Roxbury,Hyde Park,Mattapan,Dorchester,South Boston Waterfront,South Boston,Allston,Harbor Islands
0,0113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994688331972998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8317517038591674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1682482961408339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5950764515101067,0.0,0.0,0.0,0.0,0.0,0.3311379761247453,0.0,0.0737855693797781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10778801729007402,0.8922119827099334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9840931238615909,0.01590687613839778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9469042344415002,0.0,0.0,0.0,0.0,0.0,0.05309576555852127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5544363660302606,0.0,0.0,0.0,0.0,0.0,0.44556363396972776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9839551290057559,0.0160448709942414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0408,0.0,0.0,4.966771604152056e-05,0.0,0.0,0.0,0.0,0.0,0.031229942591958246,0.0,0.00044452856998630715,0.0,0.0,0.0,0.0,0.0,0.968275861122026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0409,0.0,0.0,0.3499749487772171,0.0,0.0,0.0,0.0,0.0,0.0021715682125213703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.647853483010281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007394656287650586,0.999260534371293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014165956913664947,0.0,0.0,0.0,0.9932375145321031,0.005345889776515225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0501,0.0,0.0,0.0,0.0,0.22120234011135845,0.0,0.04406500867066889,0.0,0.0,0.39041356355190027,0.10869316043158343,0.0,0.0,0.0,0.0014076702695767333,0.23421825696493145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013859793283728938,0.9943238159556832,0.00429020471586971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
