,NEIGHBORHOOD,YEAR,BALLOTS_CAST,REGISTERED_VOTERS,TOTAL,Ballots Cast / Total,Ballots Cast / Registered Voters,Registered Voter %
0,Roslindale,2011,3600.459835380298,16694.745507782995,20596.399640313153,0.17481015605917596,0.21566425398349345,0.8105662057123089
1,Jamaica Plain,2011,5422.7041934222625,26678.090065034943,32120.96197478263,0.16882135091967337,0.20326433339879196,0.8305507813240229
2,Mission Hill,2011,853.7795705156971,6505.2662853231495,13294.722160045934,0.06421943687409465,0.13124436926462965,0.4893119395058252
3,Longwood,2011,66.99038376651234,850.9120458735999,5429.77420396132,0.012337600285043004,0.0787277417112315,0.1567122340470093
4,Bay Village,2011,201.51533184144753,875.7400645008681,1430.515533500155,0.1408690273697232,0.23010861328618334,0.6121849389206743
5,Leather District,2011,55.243187003768746,257.3328092793737,523.7054127957277,0.10548523206751054,0.21467603434816548,0.4913693901035673
6,Chinatown,2011,291.06142043059117,1343.2759549198859,2663.672923672895,0.10927070581520622,0.21668028774322126,0.5042946312896647
7,North End,2011,676.6963278445941,5875.126623311073,7654.132537030702,0.08840927754657192,0.11517987121496713,0.7675757631432698
8,Roxbury,2011,4545.682284498764,26665.827200649914,35422.19764695159,0.12832863533214356,0.17046845201141833,0.7527999100006365
9,South End,2011,2816.6157339891047,16302.528860021159,20901.026060389733,0.1347596871967435,0.1727717066581196,0.779987011782003
10,Back Bay,2011,1363.26007092264,13048.229976237197,19039.48403217263,0.07160173398706729,0.10447854409412947,0.6853247679500398
11,East Boston,2011,2322.0132827538973,14857.689265738358,31350.1731829642,0.07406700017898746,0.15628360784933296,0.4739268641046002
12,Charlestown,2011,2297.8824098450714,11841.041395666167,13678.012124060633,0.16799827262931918,0.19406083747719172,0.8656989983827329
13,West End,2011,405.82081479857277,3595.0303015989457,5767.541881290049,0.0703628726329771,0.11288383706197905,0.6233210569759801
14,Beacon Hill,2011,747.1030911384133,5844.876515256365,7110.8776949057365,0.10506482085518659,0.1278218777057678,0.8219627401893945
15,Downtown,2011,1013.7034160846779,7209.272274821879,11556.869883184885,0.08771435746279405,0.14061105995746617,0.6238083795778725
16,Fenway,2011,923.6924218679538,13355.10904819854,35428.18747891087,0.026072246072926956,0.06916397451599618,0.3769628083894599
17,Brighton,2011,2804.5152968527445,25581.520591643108,42204.900025848074,0.06644999265808331,0.10963051577821042,0.6061267903958047
18,West Roxbury,2011,5563.300338451883,20190.97835072907,24111.631767558087,0.23073097632227602,0.27553396580463374,0.8373957658849034
19,Hyde Park,2011,3931.6160044379703,19595.48234931707,24582.101723138494,0.15993815535867068,0.20063889902536605,0.797144303201396
20,Mattapan,2011,2283.747233233848,12725.856775811746,16911.758477656123,0.1350390165665589,0.17945724782747874,0.7524857212586848
21,Dorchester,2011,13816.467779279075,62541.07132823146,85454.02647499317,0.16168305168536742,0.22091830993375114,0.7318680454048957
22,South Boston Waterfront,2011,568.4496035804217,3232.262893575551,4302.794409299427,0.13211172775344748,0.17586737907682964,0.7512008676477346
23,South Boston,2011,5682.649878569012,22041.492632332338,27501.191678135827,0.2066328595893853,0.25781601878600624,0.8014740921156485
24,Allston,2011,657.4834965289022,10740.546521631004,25647.84362235987,0.025635039974889196,0.06121508763122606,0.41876996287778995
25,Harbor Islands,2011,0.0,166.86947933148386,526.4334764624193,0.0,0.0,0.3169811320754717
26,Roslindale,2013,8420.704756214232,17787.208432449333,20596.399640313153,0.4088435310670735,0.47341350882538036,0.8636076568272926
27,Jamaica Plain,2013,12214.094411029959,28070.814377995903,32120.96197478263,0.3802530702728935,0.4351172091609968,0.8739095174059109
28,Mission Hill,2013,2052.5912468082097,7119.002928531196,13294.722160045934,0.15439143609760986,0.2883256640592089,0.5354758710133585
29,Longwood,2013,173.1491532816348,1051.1526973978248,5429.77420396132,0.0318888312437215,0.16472312130318764,0.1935904989623603
30,Bay Village,2013,358.7901956606234,976.8295339317589,1430.515533500155,0.2508118138240297,0.36730072463768115,0.6828513994124015
31,Leather District,2013,89.32655934912425,287.26457241959747,523.7054127957277,0.1705664237309807,0.31095571095571095,0.5485232067510548
32,Chinatown,2013,477.2005658906978,1499.365705454055,2663.672923672895,0.17915133710661957,0.3182682944893598,0.562894074617316
33,North End,2013,2198.662780102689,6128.990545336632,7654.132537030702,0.2872517257136006,0.3587316318795085,0.8007426727567845
34,Roxbury,2013,9474.83414641046,29205.70527176816,35422.19764695159,0.2674829563327745,0.3244172348602502,0.8245029165851766
35,South End,2013,6223.618637603962,17092.840047209444,20901.026060389733,0.29776617758486795,0.36410676168586875,0.8177990878449113
36,Back Bay,2013,4308.524231296509,13542.465658511406,19039.48403217263,0.22629416973779493,0.31814917164575657,0.711283227824218
37,East Boston,2013,7769.311912982071,16447.085008952723,31350.1731829642,0.24782357238153768,0.47238230414404514,0.5246250128496939
