,WARD_PRECI,CVAP
0,0113,1372.0
1,0102,814.0
2,0105,980.0
3,0203,1063.0
4,0205,1125.0
5,0204,1261.0
6,0206,1010.0
7,0303,2429.0
8,0304,1655.0
9,0307,3032.0
10,0402,3750.0
11,0401,1540.0
12,0403,1164.0
13,0405,2283.0
14,0406,2094.0
15,0404,1713.0
16,0408,6264.0
17,0409,3683.0
18,0504,1837.0
19,0503,2119.0
20,0501,4768.0
21,0902,2210.0
22,0901,2178.0
23,0502,2701.0
24,0603,1021.0
25,0605,1571.0
26,0606,1352.0
27,0602,1424.0
28,0608,1199.0
29,0702,1454.0
30,0706,946.0
31,0805,847.0
32,0803,1558.0
33,1201,1585.0
34,0905,2288.0
35,1002,1422.0
36,1001,650.0
37,0904,1935.0
38,0903,2938.0
39,0804,691.0
40,0806,1362.0
41,0709,927.0
42,0710,1169.0
43,0807,554.0
44,1006,1500.0
45,1003,1629.0
46,1101,1277.0
47,1007,1281.0
48,1209,1080.0
49,1103,878.0
50,1105,1133.0
51,1106,1288.0
52,1107,1653.0
53,1104,1867.0
54,1206,900.0
55,1204,914.0
56,1205,567.0
57,1301,1108.0
58,1306,1142.0
59,1308,1057.0
60,1304,1032.0
61,1302,487.0
62,1307,776.0
63,1309,1229.0
64,1305,967.0
65,1401,2482.0
66,1406,1053.0
67,1404,1353.0
68,1403,1197.0
69,1503,638.0
70,1501,1462.0
71,1502,818.0
72,1504,1677.0
73,1505,1155.0
74,1507,784.0
75,1508,910.0
76,1506,834.0
77,1509,1173.0
78,1009,1676.0
79,1908,704.0
80,1906,1626.0
81,1901,1333.0
82,2104,1351.0
83,2105,2417.0
84,2107,1685.0
85,2108,1994.0
86,2106,1481.0
87,2110,1381.0
88,2115,855.0
89,2202,2094.0
90,2203,2089.0
91,2207,1493.0
92,2213,958.0
93,2204,1109.0
94,2210,1655.0
95,1108,1992.0
96,0705,2093.0
97,2209,1190.0
98,2111,1937.0
99,2113,2526.0
100,2206,882.0
101,2109,3010.0
102,2101,2599.0
103,1005,2323.0
104,0704,1458.0
105,0708,1685.0
106,1203,716.0
107,1202,1841.0
108,1102,1272.0
109,1904,1439.0
110,1905,1091.0
111,1903,1301.0
112,1402,2324.0
113,1407,1117.0
114,1409,1045.0
115,1413,903.0
116,1412,494.0
117,1410,1278.0
118,1405,937.0
119,1414,1211.0
120,1601,1005.0
121,1701,1206.0
122,1702,831.0
123,1607,1539.0
124,1605,1161.0
125,1603,888.0
126,1609,889.0
127,1706,966.0
128,1709,829.0
129,1711,454.0
130,1604,871.0
131,1606,1212.0
132,1608,776.0
133,1611,1826.0
134,1705,781.0
135,1708,1153.0
136,1707,877.0
137,1710,1372.0
138,1712,750.0
139,1704,1827.0
140,1802,1444.0
141,1821,1989.0
142,1807,1903.0
143,1808,2967.0
144,1809,1676.0
145,1810,1883.0
146,1811,1230.0
147,1813,885.0
148,1814,879.0
149,1822,1676.0
150,1805,1197.0
151,1806,1353.0
152,1815,1449.0
153,1819,2119.0
154,1911,996.0
155,1913,969.0
156,1912,807.0
157,2004,1301.0
158,2009,1484.0
159,2007,1072.0
160,2019,670.0
161,2006,1819.0
162,2020,1070.0
163,2013,624.0
164,2016,1512.0
165,2010,1778.0
166,2005,2725.0
167,1703,1783.0
168,1110,881.0
169,1109,796.0
170,1902,1645.0
171,2017,2762.0
172,2015,1492.0
173,1910,1755.0
174,1801,2241.0
175,1714,1003.0
176,1804,1652.0
177,2012,1171.0
178,2014,1024.0
179,1820,2192.0
180,2018,963.0
181,2001,1398.0
182,1207,2504.0
183,1411,888.0
184,1907,2376.0
185,1803,1848.0
186,1408,889.0
187,1909,730.0
188,1208,759.0
189,0207,1333.0
190,0202,2030.0
191,0306,5412.0
192,0302,1762.0
193,2103,2482.0
194,2114,927.0
195,2201,5714.0
196,2205,1004.0
197,2212,1604.0
198,2211,1730.0
199,2208,2253.0
200,2116,4119.0
201,2112,1832.0
202,0510,4924.0
203,2102,3616.0
204,1310,1524.0
205,1303,1349.0
206,1610,1086.0
207,1713,1770.0
208,1612,1776.0
209,1602,2567.0
210,0604,1603.0
211,0607,1738.0
212,0701,1592.0
213,0609,1626.0
214,0707,1246.0
215,0703,2190.0
216,0308,4970.0
217,0801,1707.0
218,0601,3073.0
219,0305,3116.0
220,0201,2748.0
221,0108,1120.0
222,0103,1422.0
223,0106,1030.0
224,0109,568.0
225,0107,1111.0
226,0101,534.0
227,0114,683.0
228,0112,1104.0
229,0511,1674.0
230,0505,821.0
231,0110,766.0
232,0111,1169.0
233,1004,1241.0
234,0802,3187.0
235,2011,727.0
236,2008,1173.0
237,0410,5228.0
238,0407,2401.0
239,1008,2365.0
240,0301,1386.0
241,0507,2065.0
242,0508,2199.0
243,0506,2081.0
244,0509,3501.0
245,1812,1531.0
246,1823,866.0
247,2003,2163.0
248,1816,2190.0
249,1817,1577.0
250,1818,2077.0
251,0502A,1076.0
252,0115,94.0
253,0104,537.0
254,2002,1484.0
