CANDIDATES,1,2,3,4,5,6,7,8,9,10,11,12,13,14,TOTAL
STEPHEN J MURPHY,85,162,97,108,75,68,83,116,62,76,60,50,83,95,1220
DOUG BENNETT,19,36,6,20,12,12,15,15,13,16,12,8,14,11,209
FELIX G ARROYO,233,268,158,173,91,125,135,147,113,139,80,67,103,140,1972
TITO JACKSON,250,336,165,201,129,153,173,199,117,179,102,85,131,145,2365
TOMAS GONZALEZ,91,73,65,72,32,41,55,62,42,54,32,23,27,66,735
JOHN R CONNOLLY,72,119,53,72,66,49,55,61,41,38,43,28,51,68,816
ANDREW P KENNEALLY,26,20,5,25,9,13,9,13,6,23,7,5,11,9,181
AYANNA S PRESSLEY,228,289,152,232,127,141,161,188,99,145,81,76,134,171,2224
ALL OTHERS,19,5,11,4,7,1,1,1,2,3,1,0,2,1,58
VOTES CAST,1023,1308,712,907,548,603,687,802,495,673,418,342,556,706,9780
BLANKS,717,1000,516,593,432,553,493,542,465,671,306,374,480,570,7712
BALLOTS CAST,435,577,307,375,245,289,295,336,240,336,181,179,259,319,4373
