CANDIDATES,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,TOTAL
STEPHEN J MURPHY,94,10,64,42,58,186,94,67,122,160,141,277,556,48,80,246,2245
DOUG BENNETT,36,8,19,15,26,47,32,30,26,39,41,36,64,17,26,56,518
FELIX G ARROYO,100,13,65,41,60,120,101,78,138,170,113,260,503,63,86,224,2135
TITO JACKSON,46,7,29,15,37,52,50,47,45,64,46,56,72,32,32,79,709
TOMAS GONZALEZ,40,6,18,14,32,24,33,21,25,61,51,34,68,24,18,35,504
JOHN R CONNOLLY,113,14,70,47,62,174,85,78,113,160,126,259,517,55,80,244,2197
ANDREW P KENNEALLY,30,4,16,15,36,66,47,23,28,45,60,46,75,29,40,68,628
AYANNA S PRESSLEY,89,15,72,43,72,129,88,61,103,145,102,248,449,62,92,229,1999
ALL OTHERS,1,0,0,0,0,2,2,3,3,4,2,5,5,1,1,1,30
VOTES CAST,549,77,353,232,383,800,532,408,603,848,682,1221,2309,331,455,1182,10965
BLANKS,271,27,159,144,209,336,208,212,329,312,462,427,627,157,257,454,4591
BALLOTS CAST,205,26,128,94,148,284,185,155,233,290,286,412,734,122,178,409,3889
