CANDIDATES,1,2,3,4,5,6,7,8,9,10,11,12,13,TOTAL
STEPHEN J MURPHY,254,211,263,200,134,140,184,207,144,276,190,211,170,2584
DOUG BENNETT,67,62,78,72,32,38,39,56,46,56,33,46,40,665
FELIX G ARROYO,183,168,156,136,75,97,131,122,106,189,118,127,77,1685
TITO JACKSON,75,88,57,63,31,45,67,77,70,72,45,47,41,778
TOMAS GONZALEZ,37,55,33,42,23,19,48,26,30,44,25,37,21,440
JOHN R CONNOLLY,241,239,239,188,139,142,178,214,153,235,163,186,155,2472
ANDREW P KENNEALLY,91,75,100,94,45,59,91,91,78,125,76,103,93,1121
AYANNA S PRESSLEY,153,141,147,143,78,73,143,121,111,171,89,91,83,1544
ALL OTHERS,7,11,3,9,2,6,3,3,2,6,2,2,0,56
VOTES CAST,1108,1050,1076,947,559,619,884,917,740,1174,741,850,680,11345
BLANKS,696,594,692,589,345,289,536,591,476,706,523,638,436,7111
BALLOTS CAST,451,411,442,384,226,227,355,377,304,470,316,372,279,4614
