,WARD_PRECINCT_CODE,Year,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,Voter Turnout
0,101.0,2011.0,583,249,208,1114.0,0.52
1,102.0,2011.0,282,186,117,805.0,0.35
2,103.0,2011.0,695,385,270,1726.0,0.4
3,104.0,2011.0,217,167,96,548.0,0.4
4,105.0,2011.0,341,195,134,955.0,0.36
5,106.0,2011.0,285,131,104,842.0,0.34
6,107.0,2011.0,322,162,121,1020.0,0.32
7,108.0,2011.0,554,258,203,1460.0,0.38
8,109.0,2011.0,225,115,85,830.0,0.27
9,110.0,2011.0,179,85,66,587.0,0.3
10,111.0,2011.0,638,406,261,1288.0,0.5
11,112.0,2011.0,696,392,272,1266.0,0.55
12,113.0,2011.0,699,389,272,1591.0,0.44
13,114.0,2011.0,279,221,125,896.0,0.31
14,115.0,2011.0,0,0,0,168.0,0.0
15,201.0,2011.0,1031,553,396,1855.0,0.56
16,202.0,2011.0,905,379,321,2510.0,0.36
17,203.0,2011.0,872,376,312,1461.0,0.6
18,204.0,2011.0,522,302,206,1345.0,0.39
19,205.0,2011.0,950,354,326,1544.0,0.62
20,206.0,2011.0,1331,609,485,1878.0,0.71
21,207.0,2011.0,754,298,263,1312.0,0.57
22,301.0,2011.0,1254,574,457,3357.0,0.37
23,302.0,2011.0,413,199,153,1469.0,0.28
24,303.0,2011.0,320,164,121,1461.0,0.22
25,304.0,2011.0,516,260,194,1570.0,0.33
26,305.0,2011.0,1020,256,319,2751.0,0.37
27,306.0,2011.0,830,258,272,3588.0,0.23
28,307.0,2011.0,1606,626,558,3707.0,0.43
29,308.0,2011.0,1814,1486,825,3843.0,0.47
30,401.0,2011.0,1102,454,389,1918.0,0.57
31,402.0,2011.0,969,439,352,2825.0,0.34
32,403.0,2011.0,767,233,250,1261.0,0.61
33,404.0,2011.0,896,268,291,1891.0,0.47
34,405.0,2011.0,593,223,204,1482.0,0.4
35,406.0,2011.0,466,174,160,1293.0,0.36
36,407.0,2011.0,409,131,135,1400.0,0.29
37,408.0,2011.0,483,177,165,1337.0,0.36
38,409.0,2011.0,133,91,56,806.0,0.17
39,410.0,2011.0,52,12,16,630.0,0.08
40,501.0,2011.0,2182,1462,911,3959.0,0.55
41,502.0,2011.0,459,121,145,2369.0,0.19
42,503.0,2011.0,696,208,226,1614.0,0.43
43,504.0,2011.0,523,169,173,2081.0,0.25
44,505.0,2011.0,372,124,124,623.0,0.6
45,506.0,2011.0,445,171,154,1668.0,0.27
46,507.0,2011.0,595,197,198,2102.0,0.28
47,508.0,2011.0,543,185,182,1937.0,0.28
48,509.0,2011.0,526,138,166,2809.0,0.19
49,510.0,2011.0,366,66,108,1975.0,0.19
50,511.0,2011.0,609,163,193,1154.0,0.53
51,601.0,2011.0,1160,692,463,2928.0,0.4
52,602.0,2011.0,463,385,212,1115.0,0.42
53,603.0,2011.0,744,444,297,1484.0,0.5
54,604.0,2011.0,822,562,346,1554.0,0.53
55,605.0,2011.0,705,519,306,1429.0,0.49
56,606.0,2011.0,1136,872,502,1370.0,0.83
57,607.0,2011.0,906,742,412,1349.0,0.67
58,608.0,2011.0,922,750,418,1410.0,0.65
59,609.0,2011.0,921,1031,488,1404.0,0.66
60,701.0,2011.0,994,830,456,1248.0,0.8
61,702.0,2011.0,1075,889,491,1582.0,0.68
62,703.0,2011.0,1417,1115,633,1871.0,0.76
63,704.0,2011.0,909,635,386,1619.0,0.56
64,705.0,2011.0,582,474,264,1335.0,0.44
65,706.0,2011.0,542,330,218,1245.0,0.44
66,707.0,2011.0,467,341,202,972.0,0.48
67,708.0,2011.0,507,297,201,926.0,0.55
