CANDIDATES,1,2,3,4,5,6,7,8,9,10,TOTAL
MICHAEL F FLAHERTY,44,101,78,120,103,74,79,92,76,75,842
ALEJANDRA NICOLE STGUILLEN,85,92,57,152,138,167,200,270,177,219,1557
MICHELLE WU,112,205,100,232,192,226,261,349,214,275,2166
JULIA MEJIA,92,138,97,217,167,195,183,232,143,186,1650
ERIN J MURPHY,9,31,11,31,21,23,23,39,24,25,237
ALTHEA GARRISON,35,98,59,54,58,35,56,63,34,40,532
DAVID HALBERT,35,53,16,99,84,90,131,162,97,102,869
ANNISSA ESSAIBI GEORGE,100,158,77,156,128,142,174,211,140,177,1463
ALL OTHERS,4,4,1,8,1,0,2,4,0,0,24
VOTES CAST,516,880,496,1069,892,952,1109,1422,905,1099,9340
BLANKS,136,280,168,251,188,160,211,182,147,145,1868
BALLOTS CAST,163,290,166,330,270,278,330,401,263,311,2802
