CANDIDATES,1,2,3,4,5,6,7,TOTAL
MICHAEL F FLAHERTY,261,215,162,145,160,247,189,1379
ALEJANDRA NICOLE STGUILLEN,82,102,91,71,64,78,63,551
MICHELLE WU,229,215,194,148,149,216,180,1331
JULIA MEJIA,47,108,47,43,45,38,48,376
ERIN J MURPHY,196,127,110,93,121,204,130,981
ALTHEA GARRISON,74,72,48,52,50,77,73,446
DAVID HALBERT,53,51,37,39,31,46,36,293
ANNISSA ESSAIBI GEORGE,168,152,139,119,111,168,113,970
ALL OTHERS,4,2,3,1,1,9,0,20
VOTES CAST,1114,1044,831,711,732,1083,832,6347
BLANKS,446,396,265,237,236,397,304,2281
BALLOTS CAST,390,360,274,237,242,370,284,2157
