CANDIDATES,1,2,3,4,5,6,7,8,TOTAL
MICHAEL F FLAHERTY,237,82,117,127,300,225,265,393,1746
ALEJANDRA NICOLE STGUILLEN,88,44,54,55,126,156,197,407,1127
MICHELLE WU,249,102,130,130,367,336,395,745,2454
JULIA MEJIA,52,31,43,38,116,97,136,360,873
ERIN J MURPHY,99,31,49,55,136,103,115,106,694
ALTHEA GARRISON,106,37,50,61,159,110,107,119,749
DAVID HALBERT,52,21,29,27,89,108,110,335,771
ANNISSA ESSAIBI GEORGE,193,71,103,108,268,236,317,361,1657
ALL OTHERS,4,0,0,10,6,12,10,12,54
VOTES CAST,1080,419,575,611,1567,1383,1652,2838,10125
BLANKS,432,149,205,261,633,373,344,642,3039
BALLOTS CAST,378,142,195,218,550,439,499,870,3291
