CANDIDATES,1,2,3,4,5,6,7,8,9,TOTAL
MICHAEL F FLAHERTY,290,138,142,173,179,283,240,239,244,1928
ALEJANDRA NICOLE STGUILLEN,151,44,39,40,40,30,32,23,16,415
MICHELLE WU,317,87,88,89,115,116,90,95,69,1066
JULIA MEJIA,149,27,30,21,42,18,18,14,11,330
ERIN J MURPHY,165,64,73,101,110,160,147,125,126,1071
ALTHEA GARRISON,120,36,49,64,89,90,102,98,96,744
DAVID HALBERT,92,22,32,22,24,16,25,14,13,260
ANNISSA ESSAIBI GEORGE,257,80,83,90,127,122,102,127,103,1091
ALL OTHERS,7,4,3,1,0,7,6,8,6,42
VOTES CAST,1548,502,539,601,726,842,762,743,684,6947
BLANKS,428,246,245,307,286,518,510,429,524,3493
BALLOTS CAST,494,187,196,227,253,340,318,293,302,2610
