,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,TOTAL
WARD 1,1485,1108,2665,1122,1376,1272,1308,1834,1163,829,1474,1410,1977,967,3,0,0,0,0,0,0,0,0,19993
WARD 2,2209,3160,1564,1638,1638,2052,1742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14003
WARD 3,3047,1624,1805,2108,3280,4579,3803,6341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26587
WARD 4,1859,3001,1294,1871,1484,1333,1344,1456,1058,569,0,0,0,0,0,0,0,0,0,0,0,0,0,15269
WARD 5,4397,2532,1665,2183,686,1793,2132,1939,2676,1777,1137,0,0,0,0,0,0,0,0,0,0,0,0,22917
WARD 6,6026,1528,2075,1946,1861,1595,1809,1630,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19970
WARD 7,1343,1869,2046,1763,1681,1474,1308,1272,1152,1399,0,0,0,0,0,0,0,0,0,0,0,0,0,15307
WARD 8,1381,2971,1390,706,1321,513,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9315
WARD 9,1973,2272,3168,2110,2044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11567
WARD 10,973,945,987,1828,1174,1365,1875,1953,2105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13205
WARD 11,958,1583,1269,2108,1630,1208,1668,1893,1005,1380,0,0,0,0,0,0,0,0,0,0,0,0,0,14702
WARD 12,1735,2173,944,1187,705,926,2568,858,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12126
WARD 13,1497,590,1439,1075,1063,1410,1474,1374,1355,1708,0,0,0,0,0,0,0,0,0,0,0,0,0,12985
WARD 14,2632,2547,1285,1555,1118,1110,1181,1178,1342,1386,1259,731,1079,1253,0,0,0,0,0,0,0,0,0,19656
WARD 15,1554,1054,743,1978,1348,790,1115,993,1117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10692
WARD 16,1162,914,1479,1328,1487,1931,1246,1421,1543,1338,1475,1195,0,0,0,0,0,0,0,0,0,0,0,16519
WARD 17,1252,849,1832,1909,909,1315,770,1288,957,1702,685,958,1280,1331,0,0,0,0,0,0,0,0,0,17037
WARD 18,2220,1524,1717,1751,1759,1979,1524,2705,1529,2160,1452,1594,956,1102,1534,1643,1621,2015,2700,2123,2034,1733,1494,40869
WARD 19,1398,1524,1122,1614,1395,1752,1823,870,816,1710,1652,1190,1147,0,0,0,0,0,0,0,0,0,0,18013
WARD 20,1557,1651,1732,1239,1614,1685,1038,1225,1344,1943,832,1063,1006,970,1855,1894,2004,1003,1006,1835,0,0,0,28496
WARD 21,1832,715,1360,1064,1678,1085,1593,1800,1843,1510,1757,1679,2075,1033,1296,1588,0,0,0,0,0,0,0,23908
WARD 22,2013,2583,1970,1313,1243,1172,1641,1247,1362,1583,1068,1257,948,0,0,0,0,0,0,0,0,0,0,19400
