,NEIGHBORHOOD,TOTAL,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
0,Roslindale,27403,0.58,0.25,0.0,0.04,0.08
1,Jamaica Plain,39409,0.58,0.18,0.01,0.06,0.12
2,Mission Hill,13116,0.54,0.21,0.0,0.13,0.09
3,Longwood,5901,0.64,0.1,0.0,0.15,0.07
4,Bay Village,1334,0.63,0.03,0.0,0.3,0.02
5,Leather District,489,0.41,0.04,0.01,0.48,0.03
6,Chinatown,2487,0.43,0.04,0.01,0.47,0.03
7,North End,6385,0.93,0.03,0.0,0.03,0.01
8,Roxbury,45039,0.18,0.59,0.0,0.03,0.15
9,South End,23004,0.59,0.12,0.0,0.18,0.09
10,Back Bay,19959,0.79,0.07,0.0,0.11,0.02
11,East Boston,31820,0.64,0.04,0.0,0.04,0.08
12,Charlestown,13795,0.81,0.08,0.0,0.06,0.01
13,West End,5279,0.74,0.07,0.0,0.16,0.01
14,Beacon Hill,8469,0.91,0.02,0.01,0.05,0.01
15,Downtown,11540,0.66,0.05,0.0,0.25,0.02
16,Fenway,31306,0.73,0.06,0.0,0.15,0.04
17,Brighton,42993,0.76,0.03,0.0,0.15,0.04
18,West Roxbury,30216,0.76,0.11,0.0,0.05,0.05
19,Hyde Park,32144,0.37,0.48,0.0,0.01,0.08
20,Mattapan,23562,0.09,0.84,0.0,0.02,0.02
21,Dorchester,110032,0.26,0.48,0.01,0.09,0.14
22,South Boston Waterfront,4217,0.78,0.09,0.0,0.05,0.07
23,South Boston,31572,0.78,0.08,0.0,0.06,0.07
24,Allston,26141,0.69,0.05,0.0,0.17,0.06
25,Harbor Islands,99,0.42,0.35,0.0,0.0,0.09
