,NEIGHBORHOOD,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 85+
0,Roslindale,7359,0.42,0.012,0.028,0.027,0.031,0.048,0.072,0.072,0.022,0.004,0.003,0.58,0.018,0.041,0.04,0.036,0.077,0.086,0.095,0.039,0.023,0.006
1,Jamaica Plain,7981,0.47,0.008,0.036,0.025,0.062,0.083,0.045,0.073,0.029,0.006,0.005,0.529,0.013,0.023,0.055,0.059,0.066,0.076,0.057,0.051,0.036,0.012
2,Mission Hill,2717,0.504,0.025,0.06,0.049,0.026,0.067,0.042,0.085,0.031,0.013,0.001,0.496,0.015,0.056,0.046,0.022,0.036,0.06,0.067,0.047,0.031,0.023
3,Longwood,790,0.546,0.038,0.063,0.092,0.016,0.058,0.027,0.125,0.029,0.003,0.0,0.454,0.119,0.141,0.025,0.001,0.024,0.03,0.029,0.011,0.001,0.02
4,Bay Village,51,0.333,0.02,0.039,0.039,0.0,0.02,0.02,0.02,0.059,0.0,0.0,0.667,0.039,0.176,0.0,0.02,0.078,0.0,0.078,0.039,0.0,0.0
5,Leather District,29,0.483,0.034,0.069,0.069,0.034,0.034,0.034,0.034,0.069,0.0,0.0,0.517,0.069,0.034,0.0,0.034,0.103,0.034,0.069,0.034,0.0,0.0
6,Chinatown,141,0.461,0.035,0.057,0.057,0.014,0.021,0.021,0.043,0.078,0.0,0.007,0.539,0.057,0.035,0.007,0.028,0.092,0.021,0.085,0.035,0.0,0.0
7,North End,107,0.561,0.009,0.065,0.14,0.065,0.028,0.084,0.047,0.084,0.0,0.0,0.43,0.028,0.047,0.0,0.215,0.0,0.047,0.028,0.0,0.056,0.0
8,Roxbury,28821,0.434,0.018,0.037,0.035,0.025,0.043,0.052,0.054,0.028,0.021,0.006,0.565,0.017,0.044,0.049,0.05,0.065,0.078,0.072,0.041,0.024,0.007
9,South End,2726,0.409,0.008,0.014,0.012,0.006,0.094,0.04,0.051,0.077,0.022,0.001,0.593,0.022,0.03,0.056,0.028,0.067,0.084,0.089,0.071,0.05,0.006
10,Back Bay,1217,0.346,0.063,0.037,0.051,0.009,0.071,0.002,0.034,0.031,0.016,0.0,0.654,0.041,0.027,0.044,0.048,0.074,0.127,0.081,0.067,0.015,0.043
11,East Boston,977,0.605,0.008,0.044,0.079,0.05,0.052,0.136,0.048,0.013,0.039,0.002,0.395,0.015,0.057,0.055,0.002,0.05,0.049,0.032,0.023,0.009,0.0
12,Charlestown,1262,0.477,0.025,0.081,0.064,0.055,0.022,0.019,0.074,0.033,0.0,0.004,0.523,0.0,0.059,0.074,0.012,0.036,0.06,0.098,0.003,0.0,0.0
13,West End,343,0.679,0.015,0.09,0.128,0.093,0.093,0.111,0.108,0.032,0.0,0.0,0.318,0.038,0.006,0.0,0.052,0.012,0.073,0.108,0.02,0.0,0.0
14,Beacon Hill,146,0.74,0.014,0.021,0.164,0.014,0.219,0.014,0.281,0.014,0.0,0.0,0.253,0.007,0.007,0.0,0.007,0.089,0.021,0.007,0.0,0.0,0.0
15,Downtown,606,0.568,0.033,0.074,0.084,0.061,0.031,0.071,0.076,0.081,0.0,0.002,0.431,0.059,0.059,0.007,0.054,0.043,0.045,0.064,0.017,0.002,0.0
16,Fenway,2292,0.507,0.088,0.09,0.049,0.028,0.073,0.038,0.058,0.038,0.003,0.0,0.493,0.123,0.132,0.034,0.017,0.038,0.057,0.034,0.021,0.008,0.003
17,Brighton,2365,0.472,0.007,0.073,0.144,0.026,0.055,0.05,0.021,0.018,0.004,0.011,0.528,0.022,0.121,0.072,0.037,0.015,0.053,0.046,0.043,0.018,0.006
18,West Roxbury,4422,0.516,0.013,0.044,0.052,0.019,0.082,0.058,0.027,0.031,0.018,0.002,0.483,0.0,0.021,0.058,0.033,0.088,0.056,0.045,0.014,0.017,0.005
19,Hyde Park,18508,0.469,0.008,0.049,0.057,0.028,0.055,0.061,0.069,0.034,0.011,0.005,0.53,0.005,0.044,0.036,0.027,0.058,0.086,0.081,0.055,0.021,0.01
20,Mattapan,21462,0.448,0.009,0.023,0.048,0.04,0.051,0.057,0.052,0.03,0.016,0.002,0.552,0.014,0.03,0.05,0.024,0.091,0.074,0.062,0.044,0.022,0.011
21,Dorchester,60835,0.452,0.013,0.042,0.044,0.039,0.051,0.052,0.041,0.029,0.013,0.004,0.548,0.015,0.039,0.05,0.042,0.072,0.063,0.063,0.041,0.022,0.011
22,South Boston Waterfront,472,0.436,0.021,0.064,0.032,0.04,0.044,0.019,0.042,0.019,0.006,0.0,0.561,0.013,0.057,0.028,0.066,0.074,0.066,0.047,0.004,0.019,0.002
23,South Boston,3124,0.514,0.011,0.044,0.047,0.039,0.052,0.037,0.07,0.035,0.008,0.002,0.488,0.009,0.046,0.047,0.044,0.055,0.052,0.044,0.028,0.025,0.005
24,Allston,1785,0.532,0.064,0.078,0.115,0.022,0.023,0.1,0.022,0.004,0.011,0.0,0.467,0.055,0.175,0.081,0.044,0.029,0.014,0.013,0.028,0.006,0.0
25,Harbor Islands,22,0.955,0.0,0.0,0.182,0.182,0.0,0.409,0.0,0.182,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.0,0.0,0.0
