,NEIGHBORHOOD,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 85+
0,Roslindale,18466,48%,0%,2%,4%,4%,8%,7%,7%,4%,1%,1%,52%,1%,2%,3%,5%,8%,6%,8%,4%,3%,2%
1,Jamaica Plain,27127,46%,0%,3%,6%,7%,8%,6%,5%,4%,1%,1%,54%,1%,4%,8%,7%,8%,5%,7%,5%,2%,2%
2,Mission Hill,7275,52%,7%,22%,6%,4%,2%,2%,3%,3%,1%,0%,48%,8%,16%,6%,3%,2%,2%,3%,3%,1%,2%
3,Longwood,3928,38%,14%,15%,3%,1%,0%,1%,1%,0%,1%,0%,62%,28%,24%,3%,1%,1%,0%,1%,1%,1%,2%
4,Bay Village,935,50%,3%,3%,5%,10%,4%,8%,7%,3%,3%,0%,50%,4%,8%,8%,7%,5%,6%,4%,4%,3%,0%
5,Leather District,300,49%,10%,6%,8%,6%,3%,5%,4%,4%,0%,0%,51%,14%,9%,8%,5%,3%,4%,3%,2%,0%,1%
6,Chinatown,1548,49%,9%,6%,8%,7%,3%,6%,5%,3%,1%,0%,51%,12%,9%,8%,5%,4%,5%,3%,2%,1%,1%
7,North End,6188,51%,0%,5%,15%,9%,5%,3%,5%,3%,2%,0%,49%,0%,6%,15%,6%,6%,3%,4%,4%,2%,1%
8,Roxbury,10920,51%,4%,10%,6%,6%,4%,5%,4%,4%,2%,0%,49%,5%,8%,5%,5%,5%,6%,5%,3%,1%,1%
9,South End,15021,50%,1%,3%,8%,8%,7%,8%,6%,4%,1%,0%,50%,2%,4%,10%,8%,7%,5%,5%,3%,1%,0%
10,Back Bay,16006,48%,3%,5%,8%,7%,5%,5%,6%,4%,2%,0%,52%,2%,5%,10%,7%,6%,4%,6%,5%,2%,1%
11,East Boston,20876,53%,1%,3%,7%,7%,9%,6%,5%,3%,1%,1%,47%,1%,3%,6%,6%,6%,5%,4%,3%,2%,2%
12,Charlestown,13120,46%,0%,1%,6%,7%,8%,5%,5%,3%,1%,0%,54%,0%,1%,6%,8%,8%,7%,7%,4%,2%,1%
13,West End,4811,49%,1%,4%,9%,6%,7%,6%,4%,4%,3%,1%,51%,2%,2%,10%,9%,6%,6%,6%,5%,3%,1%
14,Beacon Hill,7899,47%,1%,2%,11%,9%,5%,4%,6%,3%,3%,0%,53%,0%,4%,10%,9%,7%,5%,5%,5%,2%,1%
15,Downtown,9111,51%,4%,4%,9%,7%,5%,6%,6%,4%,2%,0%,49%,6%,6%,9%,6%,5%,5%,4%,4%,2%,1%
16,Fenway,20402,46%,13%,13%,6%,4%,3%,2%,2%,1%,1%,1%,53%,14%,19%,8%,5%,3%,1%,2%,1%,1%,0%
17,Brighton,35004,49%,1%,8%,14%,6%,6%,4%,3%,2%,1%,1%,51%,2%,9%,13%,5%,5%,3%,2%,3%,2%,2%
18,West Roxbury,24399,46%,0%,1%,3%,4%,6%,7%,7%,6%,3%,1%,54%,1%,1%,4%,4%,6%,7%,9%,6%,4%,3%
19,Hyde Park,12926,49%,2%,2%,4%,2%,7%,6%,9%,6%,2%,1%,51%,1%,3%,4%,4%,7%,9%,7%,6%,3%,2%
20,Mattapan,2727,50%,0%,3%,2%,3%,13%,4%,6%,4%,3%,2%,50%,0%,1%,4%,4%,11%,6%,4%,6%,3%,2%
21,Dorchester,34123,51%,1%,3%,8%,6%,7%,6%,6%,3%,2%,1%,49%,1%,3%,7%,7%,6%,5%,5%,4%,2%,1%
22,South Boston Waterfront,4885,55%,0%,4%,13%,10%,10%,7%,5%,2%,1%,0%,45%,0%,2%,12%,8%,7%,5%,5%,3%,1%,1%
23,South Boston,28452,50%,0%,3%,13%,9%,7%,5%,5%,2%,1%,0%,50%,1%,2%,15%,7%,6%,4%,5%,3%,2%,1%
24,Allston,15645,51%,6%,12%,15%,7%,5%,2%,2%,1%,1%,0%,49%,6%,14%,13%,5%,2%,2%,2%,2%,1%,0%
25,Harbor Islands,44,70%,0%,0%,7%,7%,18%,9%,25%,2%,0%,0%,30%,0%,5%,2%,0%,23%,0%,0%,0%,0%,0%
