,NEIGHBORHOOD,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 85+
0,Roslindale,145,0.462,0.0,0.0,0.4,0.0,0.062,0.0,0.0,0.0,0.0,0.0,0.531,0.0,0.055,0.069,0.034,0.028,0.303,0.0,0.028,0.0,0.0
1,Jamaica Plain,96,0.573,0.0,0.219,0.208,0.0,0.094,0.0,0.0,0.042,0.0,0.0,0.448,0.0,0.0,0.0,0.094,0.042,0.156,0.062,0.0,0.083,0.0
2,Mission Hill,44,0.909,0.0,0.818,0.023,0.0,0.0,0.0,0.045,0.023,0.0,0.0,0.091,0.0,0.0,0.023,0.0,0.0,0.023,0.023,0.0,0.0,0.0
3,Longwood,0,,,,,,,,,,,,,,,,,,,,,,
4,Bay Village,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0
5,Leather District,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
6,Chinatown,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.417,0.0,0.0,0.167,0.0,0.333,0.0,0.0,0.0
7,North End,13,0.154,0.0,0.0,0.0,0.077,0.077,0.0,0.0,0.0,0.0,0.0,0.846,0.0,0.0,0.0,0.0,0.846,0.0,0.0,0.0,0.0,0.0
8,Roxbury,465,0.563,0.047,0.12,0.034,0.0,0.161,0.019,0.0,0.047,0.0,0.0,0.437,0.0,0.0,0.047,0.0,0.17,0.099,0.015,0.013,0.0,0.0
9,South End,82,0.317,0.0,0.0,0.0,0.0,0.0,0.012,0.11,0.159,0.0,0.0,0.659,0.0,0.073,0.0,0.0,0.037,0.146,0.207,0.195,0.0,0.0
10,Back Bay,32,0.844,0.0,0.125,0.25,0.0,0.0,0.312,0.0,0.0,0.188,0.0,0.156,0.0,0.031,0.0,0.0,0.0,0.0,0.094,0.0,0.0,0.0
11,East Boston,169,0.627,0.0,0.107,0.136,0.065,0.0,0.195,0.0,0.0,0.0,0.0,0.367,0.0,0.0,0.041,0.0,0.0,0.148,0.0,0.0,0.03,0.0
12,Charlestown,0,,,,,,,,,,,,,,,,,,,,,,
13,West End,6,0.667,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.167,0.167,0.0,0.0,0.0,0.0
14,Beacon Hill,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Downtown,25,0.12,0.0,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.88,0.0,0.4,0.0,0.0,0.24,0.0,0.28,0.0,0.0,0.0
16,Fenway,94,0.596,0.0,0.181,0.021,0.0,0.011,0.298,0.0,0.0,0.096,0.0,0.394,0.064,0.011,0.0,0.0,0.0,0.277,0.053,0.0,0.0,0.0
17,Brighton,142,0.592,0.0,0.0,0.07,0.0,0.19,0.204,0.0,0.134,0.0,0.0,0.387,0.0,0.0,0.056,0.0,0.0,0.035,0.0,0.289,0.0,0.0
18,West Roxbury,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Hyde Park,69,0.507,0.0,0.0,0.362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.304,0.0,0.0
20,Mattapan,96,0.667,0.135,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,0.0
21,Dorchester,313,0.377,0.058,0.013,0.102,0.0,0.032,0.035,0.045,0.067,0.0,0.0,0.626,0.0,0.093,0.0,0.006,0.195,0.089,0.128,0.032,0.0,0.0
22,South Boston Waterfront,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,South Boston,37,0.378,0.0,0.0,0.0,0.0,0.027,0.081,0.108,0.0,0.0,0.0,0.622,0.0,0.0,0.0,0.0,0.0,0.297,0.324,0.0,0.0,0.0
24,Allston,90,0.367,0.0,0.0,0.067,0.0,0.067,0.033,0.0,0.178,0.0,0.0,0.589,0.0,0.0,0.467,0.0,0.0,0.044,0.0,0.089,0.0,0.0
25,Harbor Islands,0,,,,,,,,,,,,,,,,,,,,,,
