,NEIGHBORHOOD,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 85+
0,Roslindale,17565,0.469,0.004,0.012,0.043,0.043,0.073,0.076,0.065,0.037,0.016,0.008,0.53,0.006,0.019,0.045,0.044,0.097,0.075,0.082,0.033,0.026,0.018
1,Jamaica Plain,25615,0.477,0.005,0.042,0.072,0.06,0.075,0.067,0.047,0.028,0.012,0.004,0.523,0.006,0.038,0.09,0.072,0.073,0.056,0.055,0.033,0.015,0.015
2,Mission Hill,7548,0.54,0.063,0.213,0.076,0.029,0.039,0.028,0.031,0.021,0.013,0.005,0.459,0.06,0.176,0.052,0.029,0.026,0.027,0.014,0.022,0.012,0.018
3,Longwood,4006,0.387,0.134,0.153,0.039,0.007,0.017,0.011,0.005,0.005,0.006,0.001,0.613,0.237,0.257,0.034,0.021,0.013,0.006,0.009,0.01,0.008,0.011
4,Bay Village,859,0.496,0.027,0.029,0.066,0.094,0.066,0.027,0.057,0.05,0.019,0.01,0.504,0.063,0.044,0.073,0.071,0.069,0.045,0.045,0.036,0.017,0.003
5,Leather District,239,0.464,0.084,0.063,0.067,0.054,0.042,0.054,0.038,0.029,0.008,0.0,0.536,0.176,0.109,0.042,0.046,0.042,0.038,0.021,0.025,0.008,0.0
6,Chinatown,1258,0.469,0.076,0.056,0.067,0.059,0.046,0.052,0.039,0.031,0.01,0.002,0.531,0.161,0.1,0.047,0.049,0.045,0.038,0.025,0.028,0.009,0.002
7,North End,6417,0.51,0.001,0.062,0.142,0.076,0.061,0.051,0.03,0.035,0.025,0.008,0.49,0.004,0.06,0.154,0.066,0.052,0.025,0.032,0.035,0.025,0.013
8,Roxbury,10398,0.562,0.063,0.138,0.055,0.052,0.057,0.038,0.049,0.02,0.01,0.0,0.438,0.065,0.065,0.042,0.038,0.063,0.045,0.031,0.013,0.008,0.003
9,South End,14672,0.547,0.007,0.043,0.075,0.088,0.082,0.083,0.064,0.033,0.012,0.001,0.453,0.016,0.025,0.086,0.084,0.065,0.053,0.037,0.029,0.01,0.001
10,Back Bay,16291,0.471,0.036,0.051,0.083,0.057,0.056,0.044,0.056,0.034,0.022,0.004,0.529,0.028,0.061,0.108,0.077,0.042,0.04,0.062,0.049,0.022,0.01
11,East Boston,20398,0.533,0.009,0.041,0.065,0.071,0.093,0.068,0.043,0.028,0.013,0.005,0.467,0.006,0.029,0.054,0.045,0.076,0.058,0.039,0.028,0.019,0.013
12,Charlestown,11106,0.455,0.003,0.013,0.062,0.077,0.093,0.04,0.046,0.028,0.009,0.002,0.545,0.002,0.018,0.074,0.096,0.08,0.068,0.067,0.036,0.02,0.012
13,West End,4265,0.532,0.005,0.068,0.104,0.058,0.095,0.056,0.046,0.036,0.023,0.007,0.467,0.022,0.051,0.107,0.068,0.047,0.025,0.045,0.034,0.024,0.014
14,Beacon Hill,7675,0.483,0.001,0.03,0.128,0.078,0.056,0.045,0.029,0.049,0.012,0.001,0.517,0.007,0.067,0.123,0.06,0.051,0.05,0.044,0.046,0.01,0.006
15,Downtown,8282,0.508,0.028,0.051,0.091,0.068,0.053,0.058,0.053,0.047,0.02,0.006,0.492,0.064,0.07,0.075,0.058,0.051,0.037,0.041,0.041,0.017,0.008
16,Fenway,21046,0.473,0.118,0.144,0.065,0.035,0.034,0.021,0.021,0.01,0.009,0.003,0.527,0.139,0.201,0.073,0.035,0.02,0.011,0.017,0.01,0.01,0.003
17,Brighton,31632,0.453,0.013,0.099,0.116,0.049,0.039,0.027,0.03,0.021,0.021,0.007,0.547,0.024,0.136,0.125,0.044,0.036,0.032,0.045,0.032,0.027,0.017
18,West Roxbury,25554,0.458,0.006,0.021,0.03,0.034,0.072,0.068,0.067,0.044,0.019,0.013,0.542,0.004,0.011,0.028,0.034,0.071,0.088,0.078,0.048,0.038,0.034
19,Hyde Park,11770,0.473,0.008,0.032,0.036,0.035,0.054,0.068,0.071,0.043,0.031,0.008,0.527,0.008,0.027,0.034,0.031,0.074,0.087,0.078,0.061,0.032,0.017
20,Mattapan,2540,0.493,0.002,0.026,0.022,0.031,0.053,0.083,0.063,0.03,0.013,0.009,0.506,0.005,0.018,0.046,0.041,0.093,0.078,0.077,0.031,0.02,0.011
21,Dorchester,30225,0.527,0.007,0.037,0.064,0.06,0.074,0.078,0.067,0.03,0.015,0.006,0.472,0.006,0.027,0.056,0.058,0.07,0.054,0.058,0.03,0.023,0.015
22,South Boston Waterfront,3976,0.513,0.006,0.045,0.139,0.088,0.077,0.054,0.045,0.021,0.01,0.002,0.487,0.002,0.028,0.133,0.074,0.064,0.055,0.048,0.027,0.016,0.009
23,South Boston,27758,0.498,0.003,0.026,0.137,0.07,0.066,0.054,0.046,0.021,0.012,0.005,0.502,0.002,0.037,0.142,0.062,0.059,0.047,0.046,0.024,0.022,0.012
24,Allston,16274,0.471,0.059,0.129,0.127,0.045,0.04,0.017,0.022,0.009,0.007,0.004,0.528,0.086,0.196,0.109,0.035,0.016,0.014,0.02,0.014,0.016,0.003
25,Harbor Islands,30,0.433,0.0,0.0,0.033,0.0,0.0,0.067,0.267,0.033,0.0,0.0,0.567,0.033,0.1,0.033,0.1,0.1,0.0,0.067,0.0,0.167,0.0
