,Neighborhood,Total Pop.,18-19,20-24,25-29,30-34,35-44,45-54,55-64,65-74,75-84
0,Roslindale,30205,0.007,0.023,0.048,0.057,0.102,0.08,0.088,0.053,0.028
1,Jamaica Plain,43866,0.006,0.04,0.085,0.09,0.095,0.066,0.078,0.051,0.017
2,Mission Hill,14248,0.074,0.194,0.063,0.036,0.025,0.024,0.027,0.03,0.012
3,Longwood,6549,0.257,0.234,0.038,0.015,0.005,0.006,0.009,0.008,0.008
4,Bay Village,1465,0.044,0.068,0.084,0.111,0.057,0.088,0.072,0.047,0.033
5,Leather District,621,0.114,0.076,0.076,0.056,0.031,0.047,0.035,0.026,0.003
6,Chinatown,3113,0.107,0.075,0.076,0.061,0.034,0.051,0.04,0.028,0.006
7,North End,6784,0.005,0.107,0.277,0.144,0.098,0.052,0.078,0.061,0.034
8,Roxbury,53772,0.018,0.037,0.023,0.021,0.02,0.022,0.017,0.014,0.005
9,South End,24202,0.015,0.044,0.107,0.099,0.09,0.084,0.066,0.045,0.013
10,Back Bay,20755,0.041,0.078,0.136,0.106,0.087,0.071,0.089,0.069,0.036
11,East Boston,33911,0.016,0.038,0.075,0.084,0.095,0.07,0.056,0.036,0.017
12,Charlestown,16296,0.003,0.018,0.093,0.125,0.129,0.098,0.092,0.056,0.028
13,West End,6228,0.02,0.048,0.15,0.113,0.105,0.086,0.076,0.063,0.043
14,Beacon Hill,8929,0.007,0.048,0.188,0.155,0.103,0.08,0.098,0.071,0.047
15,Downtown,13835,0.065,0.066,0.121,0.086,0.065,0.069,0.071,0.055,0.024
16,Fenway,32157,0.168,0.204,0.088,0.056,0.035,0.021,0.026,0.012,0.008
17,Brighton,48557,0.02,0.123,0.197,0.085,0.077,0.049,0.037,0.033,0.023
18,West Roxbury,33439,0.007,0.018,0.05,0.059,0.083,0.105,0.117,0.088,0.05
19,Hyde Park,37974,0.007,0.016,0.026,0.021,0.045,0.051,0.054,0.04,0.016
20,Mattapan,26841,0.001,0.003,0.006,0.007,0.024,0.01,0.01,0.009,0.006
21,Dorchester,122532,0.007,0.018,0.04,0.037,0.038,0.03,0.032,0.022,0.01
22,South Boston Waterfront,6343,0.004,0.044,0.189,0.133,0.131,0.093,0.074,0.033,0.014
23,South Boston,36371,0.006,0.043,0.218,0.128,0.101,0.073,0.074,0.035,0.02
24,Allston,26649,0.068,0.153,0.162,0.068,0.04,0.025,0.024,0.017,0.009
25,Harbor Islands,98,0.0,0.02,0.041,0.031,0.184,0.041,0.112,0.01,0.0
