,NEIGHBORHOOD,Median Household Income,Per Capita Income
0,Roslindale,67218,31909
1,Jamaica Plain,68278,37763
2,Mission Hill,31374,20547
3,Longwood,30393,18714
4,Bay Village,61652,68611
5,Leather District,36730,40405
6,Chinatown,49191,54508
7,North End,79685,64993
8,Roxbury,34481,20140
9,South End,55442,51819
10,Back Bay,67588,64127
11,East Boston,50554,26016
12,Charlestown,85881,55326
13,West End,78162,64430
14,Beacon Hill,85610,73786
15,Downtown,70855,62594
16,Fenway,33950,32147
17,Brighton,50668,30835
18,West Roxbury,78803,39634
19,Hyde Park,56960,27269
20,Mattapan,47839,21763
21,Dorchester,44177,22333
22,South Boston Waterfront,72958,43479
23,South Boston,62121,36934
24,Allston,39834,25264
