,Ward/Precint,% Of Total Ballots Cast 2009,Avg. Ballots Cast Per Precinct 2009,Precinct Ballots Cast 2009,% Of Total Ballots Cast 2019,Avg. Ballots Cast Per Precinct 2019,Precinct Ballots Cast 2019,% Change in Income
0,2016,0.008,437.756,878,0.006,263.713,396,-0.06
1,2012,0.005,437.756,589,0.005,263.713,325,0.31
2,0608,0.006,437.756,650,0.004,263.713,293,0.54
3,0609,0.006,437.756,668,0.005,263.713,302,0.58
4,2017,0.008,437.756,929,0.007,263.713,437,0.25
5,1820,0.009,437.756,952,0.009,263.713,598,0.53
6,0607,0.005,437.756,587,0.005,263.713,318,0.54
7,0703,0.008,437.756,881,0.006,263.713,391,0.66
8,1816,0.007,437.756,819,0.01,263.713,647,0.15
9,2019,0.005,437.756,534,0.004,263.713,269,0.23
10,0603,0.004,437.756,471,0.003,263.713,196,0.66
11,2018,0.004,437.756,485,0.004,263.713,238,0.31
12,0606,0.006,437.756,644,0.005,263.713,340,0.59
13,2013,0.004,437.756,482,0.004,263.713,253,0.23
14,2015,0.007,437.756,777,0.005,263.713,325,0.08
15,0605,0.005,437.756,544,0.004,263.713,253,0.51
16,0702,0.006,437.756,695,0.005,263.713,314,0.59
17,1609,0.007,437.756,781,0.007,263.713,466,0.43
18,2014,0.005,437.756,556,0.005,263.713,319,0.15
19,1503,0.001,437.756,164,0.001,263.713,53,-0.07
