,Ward/Precinct,Change In Income
0,0101,34584.0
1,0102,27192.0
2,0103,24482.0
3,0104,18804.0
4,0105,20274.0
5,0106,9565.0
6,0107,10834.0
7,0108,10800.0
8,0109,11068.0
9,0110,17819.0
10,0111,22757.0
11,0112,24663.0
12,0113,13634.0
13,0114,13634.0
14,0115,0.0
15,0201,26688.0
16,0202,20637.0
17,0203,28921.0
18,0204,21799.0
19,0205,32952.0
20,0206,32952.0
21,0207,30496.0
22,0301,26372.0
23,0302,32040.0
24,0303,33177.0
25,0304,32489.0
26,0305,27304.0
27,0306,25618.0
28,0307,20381.0
29,0308,35142.0
30,0401,34174.0
31,0402,31804.0
32,0403,44077.0
33,0404,35655.0
34,0405,26198.0
35,0406,13601.0
36,0407,10506.0
37,0408,5978.0
38,0409,6422.0
39,0410,10691.0
40,0501,27951.0
41,0502,16828.0
42,0503,27324.0
43,0504,25544.0
44,0505,-3474.0
45,0506,22308.0
46,0507,26325.0
47,0508,23927.0
48,0509,19745.0
49,0510,14536.0
50,0511,6760.0
51,0601,51235.0
52,0602,39628.0
53,0603,39628.0
54,0604,53445.0
55,0605,45699.0
56,0606,51007.0
57,0607,47805.0
58,0608,47805.0
59,0609,49910.0
60,0701,50706.0
61,0702,51007.0
62,0703,34557.0
63,0704,37886.0
64,0705,27710.0
65,0706,35472.0
66,0707,31635.0
67,0708,28290.0
68,0709,10919.0
69,0710,16069.0
70,0801,25056.0
71,0802,17231.0
72,0803,10028.0
73,0804,6877.0
74,0805,4709.0
75,0806,736.0
76,0807,827.0
77,0901,21143.0
78,0902,13201.0
79,0903,10115.0
80,0904,5692.0
81,0905,3191.0
82,1001,14792.0
83,1002,12858.0
84,1003,14031.0
85,1004,7774.0
86,1005,10130.0
87,1006,20221.0
88,1007,16386.0
89,1008,11542.0
90,1009,15880.0
91,1101,4620.0
92,1102,2614.0
93,1103,-1463.0
94,1104,11072.0
95,1105,6442.0
96,1106,22959.0
97,1107,22959.0
98,1108,23454.0
99,1109,23855.0
100,1110,24961.0
101,1201,1063.0
102,1202,1735.0
103,1203,-1206.0
104,1204,-4720.0
105,1205,-6332.0
106,1206,93.0
107,1207,9697.0
108,1208,-212.0
109,1209,1403.0
110,1301,3348.0
111,1302,7904.0
112,1303,17460.0
113,1304,11748.0
114,1305,15170.0
115,1306,21164.0
116,1307,24471.0
117,1308,24471.0
118,1309,21164.0
119,1310,17375.0
120,1401,7822.0
121,1402,10329.0
122,1403,3957.0
123,1404,3575.0
124,1405,12298.0
125,1406,5100.0
126,1407,4570.0
127,1408,6749.0
128,1409,6834.0
129,1410,8346.0
130,1411,9283.0
131,1412,8828.0
132,1413,12298.0
133,1414,5708.0
134,1501,8514.0
135,1502,178.0
136,1503,-3165.0
137,1504,10268.0
138,1505,3238.0
139,1506,15870.0
140,1507,-3165.0
141,1508,15234.0
142,1509,8015.0
143,1601,15234.0
144,1602,21902.0
145,1603,19572.0
146,1604,17392.0
147,1605,19242.0
148,1606,21657.0
149,1607,22839.0
150,1608,21260.0
151,1609,26687.0
152,1610,26020.0
153,1611,25581.0
154,1612,27923.0
155,1701,13936.0
156,1702,19126.0
157,1703,15530.0
158,1704,20126.0
159,1705,10328.0
160,1706,19282.0
161,1707,9231.0
162,1708,13309.0
163,1709,14286.0
164,1710,10865.0
165,1711,19087.0
166,1712,16409.0
167,1713,29639.0
168,1714,24366.0
169,1801,16790.0
170,1802,11094.0
171,1803,9085.0
172,1804,14062.0
173,1805,5919.0
174,1806,6418.0
175,1807,13179.0
176,1808,15491.0
177,1809,27577.0
178,1810,26106.0
179,1811,26267.0
180,1812,30313.0
181,1813,18981.0
182,1814,12374.0
183,1815,11868.0
184,1816,8883.0
185,1817,15706.0
186,1818,22033.0
187,1819,25686.0
188,1820,31238.0
189,1821,13662.0
190,1822,23760.0
191,1823,32704.0
192,1901,24878.0
193,1902,15243.0
194,1903,8347.0
195,1904,26849.0
196,1905,1958.0
197,1906,18363.0
198,1907,17265.0
199,1908,13123.0
200,1909,8180.0
201,1910,19486.0
202,1911,24611.0
203,1912,5556.0
204,1913,17902.0
205,2001,23445.0
206,2002,27039.0
207,2003,17710.0
208,2004,29808.0
209,2005,14272.0
210,2006,12429.0
211,2007,23033.0
212,2008,27662.0
213,2009,22272.0
214,2010,15518.0
215,2011,20886.0
216,2012,27083.0
217,2013,19496.0
218,2014,12873.0
219,2015,4701.0
220,2016,-4946.0
221,2017,22742.0
222,2018,27083.0
223,2019,20855.0
224,2020,22742.0
225,2101,8260.0
226,2102,21694.0
227,2103,23107.0
228,2104,20011.0
229,2105,19283.0
230,2106,25432.0
231,2107,16316.0
232,2108,21172.0
233,2109,25833.0
234,2110,24074.0
235,2111,26296.0
236,2112,26707.0
237,2113,30294.0
238,2114,24222.0
239,2115,29780.0
240,2116,27522.0
241,2201,29230.0
242,2202,29230.0
243,2203,29895.0
244,2204,30685.0
245,2205,31346.0
246,2206,27630.0
247,2207,30053.0
248,2208,27205.0
249,2209,30432.0
250,2210,29349.0
251,2211,32481.0
252,2212,31295.0
253,2213,30053.0
