WP,Ward,Precinct,,MARTIN J KEOGH,"JACK F KELLY, III",ANNISSA ESSAIBI GEORGE,MICHAEL F FLAHERTY,AYANNA S PRESSLEY,MICHELLE WU,STEPHEN J MURPHY,JEFFREY MICHAEL ROSS,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities  (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage,White plurality (Y/N),Black plurality (Y/N),Hispanic plurality (Y/N),Asian plurality (Y/N),Year
101,101,101,0,66,139,140,264,204,240,156,131,8,1348,1224,643,1236,1717,1369,55,7,49,4,173,60,1717,1074,38,503,3,45,0,27,27,3.203261503,0.407687828,2.853814793,0.232964473,10.07571345,3.494467094,29.29528247,79.73209086,Y,N,N,N,2013
102,102,102,1,58,72,64,169,123,124,116,76,6,808,920,432,952,2071,1520,61,3,42,0,351,94,2071,828,40,1073,2,42,0,53,33,2.945436987,0.144857557,2.028005794,0,16.94833414,4.538870111,51.81071946,73.39449541,Y,N,N,N,2013
103,103,103,2,135,133,180,332,274,329,230,182,6,1801,1655,864,1965,3179,1989,278,10,228,0,494,180,3179,1275,212,1314,5,227,0,57,89,8.74488833,0.314564328,7.172066688,0,15.53947782,5.662157911,41.33375275,62.56684492,Y,N,N,N,2013
104,104,104,3,36,45,42,111,71,85,67,35,7,499,657,289,655,1884,1097,57,12,38,1,555,124,1884,512,43,1203,6,37,0,59,24,3.025477707,0.636942675,2.016985138,0.053078556,29.45859873,6.581740977,63.85350318,58.22717622,N,N,Y,N,2013
105,105,105,4,69,81,99,202,142,144,133,80,13,963,865,457,1074,2888,1659,77,22,76,5,896,153,2888,969,47,1664,1,74,0,93,40,2.666204986,0.761772853,2.631578947,0.173130194,31.02493075,5.297783934,57.61772853,57.44459834,N,N,Y,N,2013
106,106,106,5,62,78,87,166,104,107,88,80,3,775,877,413,915,2507,1488,78,16,61,1,749,114,2507,807,59,1479,5,61,0,60,36,3.111288393,0.638213004,2.433187076,0.039888313,29.87634623,4.547267651,58.99481452,59.35380933,Y,N,N,N,2013
107,107,107,6,57,74,110,173,138,137,118,90,4,901,935,459,1109,2388,1407,108,11,72,0,652,138,2388,709,76,1451,6,72,0,43,31,4.522613065,0.460636516,3.015075377,0,27.30318258,5.778894472,60.76214405,58.91959799,N,N,Y,N,2013
108,108,108,7,103,106,139,224,159,197,157,108,6,1199,1277,619,1618,2902,1700,119,18,191,0,723,151,2902,912,76,1669,5,188,0,8,44,4.100620262,0.620261888,6.581667815,0,24.91385252,5.203308063,57.51206065,58.58028946,Y,N,N,N,2013
109,109,109,8,61,86,97,149,92,108,108,71,9,781,843,406,945,2086,1387,63,8,41,0,496,91,2086,734,44,1216,1,38,0,30,23,3.020134228,0.383509108,1.96548418,0,23.77756472,4.362416107,58.29338447,66.49089166,Y,N,N,N,2013
110,110,110,9,29,44,49,92,67,78,68,38,0,465,523,247,645,1862,1176,43,8,64,1,473,97,1862,552,38,1165,0,62,1,38,6,2.309344791,0.429645542,3.437164339,0.053705693,25.4027927,5.209452202,62.56713212,63.15789474,Y,N,N,N,2013
111,111,111,10,102,200,133,330,150,183,243,98,7,1446,1618,766,1345,2722,2141,79,13,87,2,337,63,2722,1610,57,923,0,87,1,19,25,2.902277737,0.477590007,3.19617928,0.073475386,12.3806025,2.314474651,33.90889052,78.65540044,Y,N,N,N,2013
112,112,112,11,136,230,181,328,159,182,253,91,5,1565,1571,784,1305,1833,1516,33,10,49,0,175,50,1833,1231,26,476,8,49,0,24,19,1.800327332,0.545553737,2.673213312,0,9.547190398,2.727768685,25.96835788,82.70594654,Y,N,N,N,2013
113,113,113,12,135,188,148,379,196,244,269,134,9,1702,1982,921,1790,2624,1792,226,10,99,0,392,105,2624,1192,178,1099,5,95,0,28,27,8.612804878,0.381097561,3.772865854,0,14.93902439,4.00152439,41.88262195,68.29268293,Y,N,N,N,2013
114,114,114,13,57,114,93,214,107,136,155,61,1,938,1094,508,970,820,717,21,1,37,1,29,14,820,613,16,145,0,36,1,1,8,2.56097561,0.12195122,4.512195122,0.12195122,3.536585366,1.707317073,17.68292683,87.43902439,Y,N,N,N,2013
115,115,115,14,0,1,1,1,4,2,1,1,0,11,29,10,148,530,208,217,2,7,1,78,17,530,165,204,130,2,7,1,13,8,40.94339623,0.377358491,1.320754717,0.188679245,14.71698113,3.20754717,24.52830189,39.24528302,N,Y,N,N,2013
201,201,201,15,72,601,115,376,276,277,232,132,2,2083,1609,923,1943,1690,1606,11,0,51,1,15,6,1690,1586,9,36,0,51,1,1,6,0.650887574,0,3.017751479,0.059171598,0.887573964,0.355029586,2.130177515,95.0295858,Y,N,N,N,2013
202,202,202,16,119,487,122,421,268,321,239,153,6,2136,1656,948,2757,3716,2422,367,11,602,7,220,87,3716,2182,309,540,5,601,7,22,50,9.87621098,0.296017223,16.20021529,0.188374596,5.920344456,2.341227126,14.53175457,65.17761033,Y,N,N,N,2013
203,203,203,17,67,467,99,293,288,314,195,140,1,1864,1180,761,1550,1652,1594,7,3,24,0,6,18,1652,1576,7,27,3,23,0,1,15,0.423728814,0.181598063,1.452784504,0,0.363196126,1.089588378,1.634382567,96.48910412,Y,N,N,N,2013
204,204,204,18,89,374,61,251,170,182,156,75,6,1364,1036,600,1478,1457,1040,132,5,146,0,90,44,1457,966,100,230,0,145,0,3,13,9.059711736,0.343170899,10.02059025,0,6.177076184,3.019903912,15.78586136,71.37954701,Y,N,N,N,2013
205,205,205,19,74,550,58,335,221,201,192,84,2,1717,1199,729,1603,1602,1561,6,0,22,1,3,9,1602,1548,6,18,0,21,0,1,8,0.374531835,0,1.373283396,0.062421973,0.187265918,0.561797753,1.123595506,97.44069913,Y,N,N,N,2013
206,206,206,20,98,773,76,390,271,256,249,114,5,2232,1808,1010,1989,2278,2014,40,3,161,1,29,30,2278,1968,34,94,2,160,1,1,18,1.755926251,0.131694469,7.067603161,0.043898156,1.273046532,1.316944688,4.12642669,88.41088674,Y,N,N,N,2013
207,207,207,21,65,449,50,265,149,159,178,65,4,1384,960,586,1348,1359,1256,26,0,63,0,5,9,1359,1230,25,28,0,63,0,4,9,1.91317145,0,4.635761589,0,0.367917586,0.662251656,2.060338484,92.42089772,Y,N,N,N,2013
301,301,301,22,190,306,198,556,430,615,485,329,17,3126,2330,1364,3387,3998,3619,129,8,137,0,50,55,3998,3522,125,156,6,136,0,7,46,3.226613307,0.20010005,3.426713357,0,1.250625313,1.375687844,3.901950975,90.52026013,Y,N,N,N,2013
302,302,302,23,76,113,82,257,178,225,176,129,11,1247,949,549,1587,1866,1771,20,1,44,1,20,9,1866,1719,16,71,1,43,1,6,9,1.071811361,0.053590568,2.357984995,0.053590568,1.071811361,0.482315113,3.804930332,94.90889603,Y,N,N,N,2013
303,303,303,24,63,80,70,212,158,188,145,83,6,1005,883,472,1549,2362,2234,13,6,68,0,19,22,2362,2177,12,74,5,67,0,6,21,0.550381033,0.254022015,2.878916173,0,0.804403048,0.931414056,3.132938188,94.58086367,Y,N,N,N,2013
304,304,304,25,72,113,97,239,140,229,150,105,11,1156,1128,571,1643,1910,1823,14,6,37,2,9,19,1910,1766,14,69,5,37,2,4,13,0.732984293,0.314136126,1.937172775,0.104712042,0.471204188,0.994764398,3.612565445,95.44502618,Y,N,N,N,2013
