,Ward/Precinct,MICHAEL F FLAHERTY,ALEJANDRA NICOLE STGUILLEN,MICHELLE WU,JULIA MEJIA,ERIN J MURPHY,ALTHEA GARRISON,DAVID HALBERT,ANNISSA ESSAIBI GEORGE,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
0,101,119,92,180,93,51,54,136,163,4,892,228,280,1485,889.0,1193.6633065418473,0.766,0.019,0.005,0.039,0.024
1,102,72,53,86,55,29,19,42,73,0,429,159,147,1108,1286.0,2632.4589450016406,0.693,0.038,0.001,0.039,0.058
2,103,174,145,207,167,64,59,104,175,4,1099,397,374,2665,1908.0,3500.46189336928,0.735,0.039,0.005,0.037,0.055
3,104,52,57,79,54,22,19,36,66,4,389,111,125,1122,1015.0,2317.7225584924927,0.661,0.069,0.001,0.036,0.019
4,105,65,57,78,50,35,18,42,70,1,416,116,133,1376,1169.0,4016.7950866453634,0.559,0.014,0.0,0.012,0.036
5,106,64,72,89,65,29,14,37,66,6,442,170,153,1272,1431.0,3633.2900976783017,0.538,0.029,0.011,0.045,0.071
6,107,69,67,84,68,18,21,33,75,0,435,165,150,1308,1489.0,3369.9251660279947,0.544,0.032,0.015,0.062,0.075
7,108,123,93,150,106,45,30,50,126,2,725,231,239,1834,1236.0,2882.066867350622,0.579,0.02,0.01,0.062,0.045
8,109,65,66,79,69,17,24,27,69,6,422,174,149,1163,590.0,1748.530637994601,0.58,0.005,0.0,0.032,0.045
9,110,45,39,50,34,13,14,22,45,1,263,105,92,829,938.0,2590.669800085573,0.553,0.016,0.007,0.037,0.06
10,111,157,47,116,43,73,64,42,139,3,684,344,257,1474,1148.0,1933.3324557838391,0.628,0.033,0.0,0.055,0.07
11,112,177,45,94,54,48,62,48,101,5,634,346,245,1410,1469.0,2668.093558323405,0.652,0.029,0.0,0.054,0.033
12,113,176,66,134,68,60,53,32,134,6,729,367,274,1977,1620.0,2847.238355864355,0.645,0.031,0.0,0.055,0.046
13,114,96,19,47,27,24,25,19,43,3,303,245,137,967,868.0,1562.2703701033245,0.65,0.03,0.0,0.054,0.037
14,115,0,0,0,0,0,0,0,0,0,0,0,0,3,88.0,99.24825013393504,0.442,0.221,0.0,0.002,0.228
15,201,261,82,229,47,196,74,53,168,4,1114,446,390,2209,2921.0,3916.847682688176,0.873,0.037,0.0,0.055,0.001
16,202,215,102,215,108,127,72,51,152,2,1044,396,360,3160,2514.0,3737.137897982896,0.629,0.131,0.0,0.156,0.037
17,203,162,91,194,47,110,48,37,139,3,831,265,274,1564,1098.0,1519.4384642794566,0.866,0.06,0.0,0.04,0.005
18,204,145,71,148,43,93,52,39,119,1,711,237,237,1638,1371.0,1927.5647158941276,0.81,0.097,0.0,0.05,0.009
19,205,160,64,149,45,121,50,31,111,1,732,236,242,1638,1240.0,1678.7203757364546,0.847,0.083,0.0,0.038,0.006
20,206,247,78,216,38,204,77,46,168,9,1083,397,370,2052,1108.0,1505.455031468514,0.838,0.072,0.0,0.052,0.004
21,207,189,63,180,48,130,73,36,113,0,832,304,284,1742,1756.0,2118.601234009592,0.885,0.052,0.0,0.029,0.009
22,301,237,88,249,52,99,106,52,193,4,1080,432,378,3047,1475.0,1719.4836401392658,0.85,0.044,0.0,0.065,0.018
23,302,82,44,102,31,31,37,21,71,0,419,149,142,1624,1864.0,2097.506256146361,0.934,0.003,0.004,0.026,0.023
24,303,117,54,130,43,49,50,29,103,0,575,205,195,1805,2522.0,2799.359215401026,0.934,0.008,0.001,0.024,0.024
25,304,127,55,130,38,55,61,27,108,10,611,261,218,2108,1781.0,2040.2591493442703,0.89,0.025,0.001,0.052,0.016
26,305,300,126,367,116,136,159,89,268,6,1567,633,550,3280,3779.0,4808.968143068165,0.762,0.061,0.001,0.118,0.025
27,306,225,156,336,97,103,110,108,236,12,1383,373,439,4579,6194.0,7981.347160031884,0.737,0.047,0.0,0.17,0.016
28,307,265,197,395,136,115,107,110,317,10,1652,344,499,3803,3235.0,4370.981489553522,0.555,0.101,0.006,0.169,0.126
29,308,393,407,745,360,106,119,335,361,12,2838,642,870,6341,6384.0,9275.043808881075,0.483,0.047,0.004,0.425,0.011
30,401,177,142,270,112,72,67,73,213,4,1130,206,334,1859,1745.0,2113.0545576115765,0.797,0.064,0.0,0.087,0.013
31,402,176,131,300,109,73,96,73,207,8,1173,367,385,3001,3982.0,4936.85795094366,0.69,0.125,0.0,0.154,0.009
32,403,113,86,168,70,44,44,42,131,2,700,196,224,1294,1277.0,1574.966858689361,0.74,0.12,0.0,0.087,0.006
33,404,141,143,218,93,60,72,79,171,2,979,221,300,1871,1962.0,2195.077480750856,0.729,0.164,0.0,0.083,0.009
34,405,110,93,158,73,32,55,49,106,1,677,191,217,1484,1847.0,2690.426155976416,0.676,0.095,0.001,0.157,0.044
35,406,109,105,176,91,37,64,68,102,5,757,123,220,1333,1967.0,2688.8200967357907,0.624,0.106,0.006,0.176,0.068
36,407,92,65,146,81,30,45,42,90,0,591,173,191,1344,2233.0,2788.165912907619,0.604,0.088,0.005,0.211,0.05
37,408,86,96,152,84,29,36,74,78,2,637,167,201,1456,5345.0,6612.888529628171,0.612,0.068,0.002,0.227,0.032
38,409,25,35,37,44,10,14,23,22,0,210,82,73,1058,4307.0,5251.719514727965,0.576,0.16,0.002,0.146,0.073
39,410,18,18,31,25,8,9,7,21,0,137,15,38,569,5757.0,6966.732164177894,0.612,0.116,0.0,0.193,0.049
40,501,369,321,620,262,97,105,226,390,1,2391,489,720,4397,5158.0,6621.14772157401,0.639,0.035,0.003,0.257,0.027
41,502,161,142,246,113,64,69,75,165,2,1037,311,337,2532,3754.0,5406.741251410123,1.242,0.14300000000000002,0.007,0.433,0.048
42,503,194,127,297,59,47,73,66,223,9,1095,485,395,1665,2276.0,2846.317644522628,0.909,0.009,0.0,0.043,0.007
43,504,171,106,250,62,60,83,64,190,1,987,345,333,2183,1776.0,2075.0647612953067,0.861,0.022,0.0,0.084,0.009
44,505,100,41,147,23,27,46,22,86,1,493,327,205,686,945.0,1185.5461633010036,0.916,0.011,0.0,0.031,0.007
45,506,158,75,231,60,65,65,51,166,3,874,378,313,1793,2196.0,2634.3985917500486,0.899,0.025,0.002,0.048,0.007
46,507,208,112,273,63,57,87,72,192,4,1068,400,367,2132,2163.0,2595.619995845525,0.898,0.026,0.002,0.049,0.007
47,508,160,103,240,65,47,74,45,192,10,936,376,328,1939,2268.0,2737.136893482034,0.851,0.011,0.002,0.1,0.014
48,509,198,123,273,76,67,81,61,209,7,1095,349,361,2676,3535.0,4272.465588448799,0.804,0.017,0.001,0.121,0.023
49,510,97,83,160,75,47,45,68,101,0,676,188,216,1777,4508.0,5585.40407522052,0.673,0.037,0.002,0.204,0.032
50,511,150,81,215,54,45,79,43,165,7,839,353,298,1137,1748.0,2112.9502223399186,0.888,0.017,0.0,0.059,0.008
51,601,290,151,317,149,165,120,92,257,7,1548,428,494,6026,4928.0,6336.846192531551,0.736,0.09,0.0,0.087,0.041
52,602,138,44,87,27,64,36,22,80,4,502,246,187,1528,1738.0,2517.9377665886886,0.528,0.192,0.0,0.092,0.12
53,603,142,39,88,30,73,49,32,83,3,539,245,196,2075,1334.0,1450.7951132318676,0.844,0.003,0.0,0.114,0.033
54,604,173,40,89,21,101,64,22,90,1,601,307,227,1946,1986.0,2224.3073668437946,0.905,0.014,0.0,0.06,0.011
55,605,179,40,115,42,110,89,24,127,0,726,286,253,1861,1898.0,2175.0417809930946,0.913,0.011,0.0,0.052,0.007
56,606,283,30,116,18,160,90,16,122,7,842,518,340,1595,1637.0,1846.0813328489965,0.943,0.004,0.0,0.005,0.031
57,607,240,32,90,18,147,102,25,102,6,762,510,318,1809,2086.0,2400.144805424666,0.927,0.012,0.0,0.043,0.004
58,608,239,23,95,14,125,98,14,127,8,743,429,293,1630,1367.0,1565.1564181722413,0.982,0.007,0.0,0.003,0.004
59,609,244,16,69,11,126,96,13,103,6,684,524,302,1500,1907.0,2214.1298741700407,0.974,0.011,0.0,0.005,0.001
60,701,275,23,84,17,154,118,16,153,7,847,537,346,1343,1845.0,2085.07782948138,0.971,0.008,0.0,0.007,0.009
61,702,254,30,91,25,157,94,23,148,3,825,431,314,1869,1769.0,1935.3643513553484,0.939,0.015,0.0,0.023,0.018
62,703,311,35,124,25,171,113,27,146,7,959,605,391,2046,2670.0,2880.744716959417,0.937,0.021,0.0,0.031,0.011
63,704,136,30,77,34,81,57,18,80,2,515,257,193,1763,1635.0,2063.663356001882,0.774,0.116,0.0,0.049,0.057
64,705,124,29,91,29,77,52,19,72,0,493,267,190,1681,2587.0,3146.537973244643,0.8,0.067,0.0,0.081,0.041
65,706,160,36,91,48,75,42,28,99,4,583,213,199,1474,1038.0,1470.254202933587,0.708,0.166,0.0,0.046,0.069
66,707,131,32,76,70,43,29,15,80,3,479,181,165,1308,1529.0,2410.624043378273,0.408,0.26,0.0,0.157,0.107
67,708,96,49,83,50,57,43,39,112,2,531,193,181,1272,2012.0,2457.1051801383787,0.737,0.098,0.0,0.082,0.05
68,709,97,54,85,53,66,40,24,115,4,538,170,177,1152,1103.0,1358.4216083211854,0.711,0.12,0.001,0.087,0.045
69,710,72,30,71,65,19,46,17,63,1,384,80,116,1399,1775.0,2741.2334198055155,0.245,0.562,0.008,0.069,0.085
70,801,76,73,113,73,36,28,48,73,3,523,161,171,1381,2533.0,3382.414174204273,0.582,0.134,0.006,0.146,0.077
71,802,127,136,235,111,74,53,92,185,6,1019,289,327,2971,3449.0,4463.874040284977,0.509,0.183,0.009,0.159,0.081
72,803,57,30,86,50,9,54,29,64,3,382,186,142,1390,1801.0,2613.173572288652,0.191,0.542,0.01,0.034,0.162
73,804,44,19,43,43,6,34,9,41,0,239,117,89,706,931.0,1420.247749618153,0.177,0.541,0.005,0.024,0.186
74,805,79,30,81,86,15,59,27,62,3,442,210,163,1321,1300.0,2065.6964057721325,0.127,0.663,0.005,0.052,0.135
75,806,27,14,24,29,1,13,8,22,2,140,72,53,513,1422.0,2151.1169795249334,0.144,0.591,0.013,0.038,0.191
76,807,49,38,65,55,16,58,27,52,0,360,120,120,1033,650.0,968.0172333764622,0.131,0.633,0.01,0.039,0.152
77,901,120,107,158,174,38,52,66,107,2,824,364,297,1973,2070.0,2777.3768364035373,0.564,0.072,0.005,0.19,0.135
78,902,149,117,225,131,46,55,55,178,2,958,282,310,2272,2194.0,2763.81347324698,0.647,0.204,0.0,0.078,0.047
79,903,188,156,247,198,63,113,87,217,6,1275,313,397,3168,3504.0,4905.2036104488725,0.378,0.348,0.0,0.066,0.189
80,904,129,70,124,101,30,78,39,88,8,667,249,229,2110,3000.0,4160.54824185287,0.327,0.353,0.006,0.12,0.162
81,905,180,139,291,192,35,164,76,239,0,1316,324,410,2044,3193.0,4111.376450968272,0.388,0.368,0.012,0.135,0.068
82,1001,123,71,106,84,22,47,30,98,0,581,275,214,973,877.0,1165.2188014305173,0.468,0.239,0.002,0.125,0.132
83,1002,62,58,96,50,21,43,28,64,0,422,174,149,945,1684.0,2235.3886724474696,0.548,0.16,0.005,0.171,0.089
84,1003,61,68,79,37,20,25,21,62,3,376,136,128,987,1669.0,2232.3243989952657,0.565,0.105,0.006,0.251,0.054
85,1004,127,142,198,157,85,41,89,93,1,933,447,345,1828,1258.0,1725.1535080077108,0.354,0.224,0.0,0.309,0.1
86,1005,81,86,123,89,18,43,43,106,0,589,163,188,1174,2274.0,2949.549620338168,0.531,0.201,0.001,0.179,0.07
