,Ward/Precinct,STEPHEN J MURPHY,DOUG BENNETT,FELIX G ARROYO,TITO JACKSON,TOMAS GONZALEZ,JOHN R CONNOLLY,ANDREW P KENNEALLY,AYANNA S PRESSLEY,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,HISPANIC,BIPOC,TWO OR MORE RACES,OTHER
0,101,175,62,116,63,41,188,186,73,5,909,679,397,1113,534.0,960.0,0.567,0.033,0.0,0.1,0.403,0.433,0.154,0.146
1,102,147,52,71,25,43,129,115,41,4,627,465,273,816,814.0,2042.0,0.667,0.023,0.001,0.057,0.538,0.333,0.227,0.026
2,103,242,88,217,93,138,217,195,127,2,1319,1081,600,1720,1422.0,3134.0,0.65,0.062,0.003,0.051,0.465,0.351,0.186,0.048
3,104,78,44,38,18,11,72,73,25,0,359,373,183,563,537.0,1722.0,0.567,0.073,0.003,0.032,0.548,0.433,0.263,0.062
4,105,116,54,82,23,34,110,157,37,4,617,527,286,960,980.0,3190.0,0.645,0.032,0.008,0.001,0.64,0.355,0.216,0.099
5,106,117,47,77,27,51,132,105,45,5,606,410,254,836,1030.0,3160.0,0.609,0.047,0.002,0.013,0.634,0.391,0.181,0.141
6,107,104,52,88,35,48,128,106,48,2,611,429,260,1046,1111.0,3089.0,0.59,0.045,0.001,0.043,0.639,0.41,0.185,0.129
7,108,155,70,150,36,85,165,156,55,5,877,647,381,1413,1120.0,2730.0,0.569,0.026,0.003,0.091,0.656,0.431,0.238,0.072
8,109,105,53,75,16,31,101,87,29,3,500,360,215,838,568.0,1603.0,0.527,0.024,0.005,0.037,0.644,0.473,0.303,0.104
9,110,78,33,57,15,27,79,70,25,2,386,242,157,582,766.0,2296.0,0.581,0.033,0.004,0.02,0.641,0.419,0.233,0.125
10,111,257,99,118,34,47,293,207,49,2,1106,998,526,1296,1169.0,1648.0,0.804,0.018,0.0,0.035,0.293,0.196,0.085,0.058
11,112,265,94,122,49,50,288,247,72,0,1187,941,532,1315,1104.0,2417.0,0.711,0.059,0.0,0.02,0.481,0.289,0.164,0.045
12,113,274,104,147,44,57,272,290,70,1,1259,1073,583,1627,1372.0,2526.0,0.745,0.046,0.0,0.025,0.0,0.255,0.135,0.049
13,114,137,66,71,41,35,118,124,55,3,650,622,318,943,683.0,1426.0,0.71,0.055,0.0,0.021,0.471,0.29,0.154,0.059
14,115,0,0,1,0,0,0,0,0,0,1,3,1,223,94.0,99.0,0.424,0.352,0.0,0.0,0.302,0.576,0.131,0.092
15,201,349,219,189,109,47,406,200,148,1,1668,1180,712,1948,2748.0,3405.0,0.911,0.021,0.0,0.028,0.033,0.09,0.024,0.015
16,202,321,138,206,78,60,405,145,165,5,1523,1061,646,2339,2030.0,3138.0,0.615,0.179,0.0,0.154,0.139,0.385,0.037,0.016
17,203,263,171,172,89,45,300,140,178,4,1362,798,540,1579,1063.0,1352.0,0.872,0.063,0.0,0.027,0.07,0.128,0.03,0.008
18,204,189,94,129,53,47,220,109,80,8,929,655,396,1398,1261.0,1683.0,0.794,0.107,0.0,0.046,0.095,0.206,0.037,0.015
19,205,329,139,162,60,50,393,191,132,1,1457,775,558,1628,1125.0,1442.0,0.816,0.093,0.0,0.044,0.068,0.184,0.031,0.017
20,206,410,199,172,71,58,550,228,149,8,1845,1143,747,1903,1010.0,1295.0,0.838,0.069,0.0,0.042,0.058,0.163,0.032,0.02
21,207,277,120,118,43,41,283,164,99,2,1147,753,475,1286,1333.0,1568.0,0.946,0.018,0.0,0.025,0.043,0.054,0.0,0.011
22,301,503,325,318,157,137,519,225,369,12,2565,1887,1113,3487,1386.0,1603.0,0.901,0.032,0.001,0.034,0.055,0.099,0.02,0.013
23,302,168,108,125,69,56,171,69,94,0,860,732,398,1546,1762.0,1976.0,0.942,0.036,0.0,0.014,0.03,0.058,0.004,0.004
24,303,143,117,103,64,45,168,84,86,3,813,787,400,1528,2429.0,2709.0,0.94,0.018,0.0,0.032,0.012,0.06,0.008,0.002
25,304,209,129,127,74,64,237,83,90,2,1015,1057,518,1616,1655.0,1830.0,0.892,0.034,0.001,0.055,0.046,0.108,0.008,0.009
26,305,399,168,345,114,78,443,125,323,3,1998,1010,752,2646,3116.0,4059.0,0.708,0.078,0.003,0.184,0.051,0.291,0.011,0.013
27,306,345,293,269,120,81,418,123,296,7,1952,1068,755,3479,5412.0,6608.0,0.766,0.053,0.006,0.137,0.065,0.235,0.019,0.02
28,307,452,134,447,231,155,533,163,429,9,2553,1391,986,3726,3032.0,4243.0,0.551,0.098,0.0,0.217,0.206,0.449,0.007,0.127
29,308,381,116,426,240,213,417,246,322,16,2377,1387,941,3805,4970.0,7304.0,0.411,0.046,0.006,0.485,0.05,0.589,0.021,0.03
30,401,281,92,288,163,83,296,84,318,1,1606,766,593,1966,1540.0,1982.0,0.734,0.073,0.002,0.09,0.102,0.266,0.018,0.083
31,402,271,88,286,218,93,274,69,325,9,1633,939,643,2655,3750.0,4459.0,0.727,0.155,0.005,0.056,0.087,0.273,0.001,0.053
32,403,142,47,184,136,47,172,35,205,4,972,388,340,1310,1164.0,1484.0,0.637,0.193,0.007,0.069,0.106,0.363,0.011,0.079
33,404,266,91,305,207,95,282,62,334,6,1648,592,560,1943,1713.0,2148.0,0.661,0.177,0.003,0.093,0.088,0.339,0.005,0.06
34,405,146,54,169,104,38,161,49,154,3,878,414,323,1550,2283.0,2709.0,0.71,0.117,0.005,0.137,0.076,0.29,0.017,0.012
35,406,142,44,144,72,65,161,50,150,6,834,386,305,1354,2094.0,2833.0,0.628,0.127,0.002,0.203,0.081,0.371,0.019,0.02
36,407,116,42,153,102,34,111,29,137,1,725,323,262,1701,2401.0,3002.0,0.69,0.09,0.0,0.17,0.059,0.31,0.019,0.03
37,408,124,24,131,67,32,122,31,104,0,635,301,234,1578,6264.0,7210.0,0.758,0.063,0.0,0.13,0.045,0.242,0.019,0.029
38,409,25,9,61,48,21,14,7,24,6,215,233,112,1048,3683.0,4436.0,0.604,0.16,0.003,0.12,0.121,0.396,0.032,0.081
39,410,18,12,14,10,7,17,9,17,1,105,63,42,945,5228.0,6260.0,0.648,0.1,0.001,0.146,0.111,0.352,0.034,0.071
40,501,524,146,476,303,161,525,200,512,11,2858,1370,1057,3990,4768.0,6029.0,0.63,0.032,0.001,0.302,0.037,0.37,0.018,0.017
41,502,184,49,187,90,68,207,43,162,3,993,515,377,2449,3777.0,4892.0,1.5470000000000002,0.075,0.003,0.28,0.099,0.224,0.01,0.076
42,503,229,122,197,112,43,278,60,237,2,1280,556,459,1702,2119.0,2561.0,0.93,0.015,0.002,0.038,0.006,0.071,0.005,0.009
43,504,187,86,166,95,39,218,49,181,4,1025,567,398,2135,1837.0,2223.0,0.893,0.022,0.01,0.062,0.049,0.107,0.006,0.006
44,505,118,71,85,45,23,120,33,104,3,602,282,221,655,821.0,1020.0,0.946,0.012,0.003,0.027,0.005,0.054,0.0,0.011
45,506,217,108,164,73,41,227,55,183,5,1073,607,420,1843,2081.0,2449.0,0.894,0.006,0.001,0.073,0.054,0.105,0.011,0.013
46,507,295,115,196,119,53,325,63,237,8,1411,669,520,2133,2065.0,2430.0,0.892,0.006,0.001,0.076,0.056,0.108,0.012,0.013
47,508,256,101,194,110,42,280,52,210,3,1248,664,478,2026,2199.0,2706.0,0.871,0.016,0.002,0.08,0.05,0.129,0.017,0.015
48,509,242,101,200,126,53,269,66,199,17,1273,607,470,2893,3501.0,4195.0,0.84,0.018,0.001,0.113,0.041,0.16,0.016,0.01
49,510,134,44,110,53,43,145,44,120,2,695,449,286,2380,4924.0,5902.0,0.744,0.029,0.001,0.189,0.051,0.256,0.017,0.019
50,511,205,61,161,64,49,215,52,178,2,987,541,382,1173,1674.0,2050.0,0.916,0.018,0.007,0.047,0.03,0.084,0.003,0.008
51,601,324,195,204,111,75,365,245,199,7,1725,1007,683,2533,3073.0,3985.0,0.733,0.115,0.004,0.051,0.137,0.267,0.013,0.084
52,602,217,135,95,35,34,213,156,81,3,969,579,387,1171,1424.0,2148.0,0.575,0.188,0.007,0.057,0.213,0.426,0.013,0.16
53,603,281,178,114,47,37,309,226,122,6,1320,564,471,1430,1021.0,1205.0,0.925,0.001,0.001,0.052,0.012,0.075,0.021,0.0
54,604,302,154,99,51,49,278,241,105,7,1286,878,541,1552,1603.0,1796.0,0.935,0.01,0.0,0.041,0.02,0.065,0.006,0.008
55,605,337,132,93,37,40,286,221,88,9,1243,933,544,1413,1571.0,1746.0,0.924,0.012,0.0,0.049,0.023,0.076,0.002,0.013
56,606,409,199,105,44,71,350,271,82,3,1534,1042,644,1362,1352.0,1481.0,0.971,0.005,0.0,0.013,0.011,0.028,0.0,0.011
57,607,383,187,90,30,43,363,242,82,5,1425,923,587,1389,1738.0,1941.0,0.94,0.009,0.001,0.038,0.019,0.06,0.002,0.009
58,608,433,221,110,38,35,421,280,67,11,1616,984,650,1422,1199.0,1446.0,0.984,0.001,0.001,0.011,0.005,0.016,0.003,0.0
59,609,448,176,107,44,32,387,275,94,5,1568,1104,668,1374,1626.0,1832.0,0.995,0.0,0.004,0.0,0.003,0.004,0.001,0.0
60,701,424,166,81,48,34,342,256,82,3,1436,1004,610,1262,1592.0,1893.0,0.98,0.002,0.001,0.012,0.007,0.02,0.003,0.002
61,702,455,214,115,46,49,362,350,105,7,1703,1077,695,1563,1454.0,1605.0,0.978,0.007,0.0,0.009,0.016,0.022,0.002,0.004
62,703,555,226,147,72,94,496,326,124,13,2053,1471,881,1871,2190.0,2426.0,0.981,0.007,0.0,0.007,0.017,0.019,0.004,0.001
63,704,301,155,116,47,43,285,220,88,12,1267,941,552,1598,1458.0,2029.0,0.76,0.051,0.0,0.061,0.154,0.24,0.016,0.112
64,705,250,100,85,55,41,226,117,82,5,961,651,403,1238,2093.0,2758.0,0.805,0.039,0.001,0.065,0.107,0.195,0.018,0.073
65,706,247,97,123,61,48,203,131,87,4,1001,683,421,1296,946.0,1478.0,0.654,0.079,0.0,0.087,0.219,0.346,0.018,0.163
66,707,157,58,129,62,59,107,78,76,3,729,423,288,943,1246.0,2376.0,0.349,0.276,0.002,0.208,0.299,0.651,0.015,0.15
67,708,184,78,79,36,39,171,113,81,5,786,482,317,926,1685.0,2527.0,0.58,0.112,0.0,0.198,0.1,0.42,0.014,0.096
68,709,163,58,121,61,52,176,106,140,1,878,454,333,1005,927.0,1367.0,0.576,0.117,0.0,0.175,0.096,0.424,0.02,0.112
69,710,95,38,145,115,69,75,25,71,3,636,684,330,1236,1169.0,2061.0,0.229,0.32,0.007,0.071,0.159,0.77,0.039,0.334
70,801,65,23,119,69,47,82,30,68,4,507,381,222,911,1707.0,2592.0,0.48,0.169,0.0,0.183,0.214,0.52,0.02,0.147
71,802,189,68,209,141,81,230,73,198,9,1198,626,456,2045,3187.0,4495.0,0.439,0.228,0.003,0.155,0.17,0.562,0.025,0.152
72,803,75,11,111,133,41,59,11,102,3,546,510,264,1131,1558.0,2286.0,0.178,0.563,0.009,0.05,0.284,0.822,0.046,0.155
73,804,31,8,60,87,25,30,8,44,0,293,307,150,604,691.0,1114.0,0.128,0.583,0.011,0.042,0.359,0.872,0.062,0.176
74,805,83,19,154,150,66,49,17,123,3,664,724,347,1239,847.0,1470.0,0.107,0.547,0.005,0.034,0.164,0.893,0.042,0.265
75,806,46,13,74,37,27,35,12,39,2,285,251,134,446,1362.0,1956.0,0.173,0.577,0.01,0.04,0.169,0.827,0.038,0.162
76,807,68,11,102,115,39,38,15,98,3,489,531,255,901,554.0,810.0,0.146,0.62,0.006,0.025,0.196,0.854,0.038,0.163
77,901,163,60,265,131,186,169,52,157,6,1189,703,473,1854,2178.0,2921.0,0.59,0.065,0.0,0.235,0.184,0.41,0.003,0.107
78,902,180,73,213,169,95,225,48,224,11,1238,642,470,1937,2210.0,2830.0,0.619,0.16,0.001,0.091,0.203,0.381,0.036,0.094
79,903,215,61,333,308,147,131,50,285,5,1535,1057,648,2777,2938.0,4513.0,0.389,0.382,0.002,0.049,0.268,0.611,0.031,0.146
80,904,90,18,197,171,92,61,13,129,1,772,788,390,1868,1935.0,3138.0,0.312,0.42,0.005,0.081,0.314,0.688,0.04,0.143
81,905,126,28,291,359,142,111,15,313,2,1387,993,595,1823,2288.0,3322.0,0.351,0.468,0.001,0.084,0.203,0.649,0.035,0.061
82,1001,84,25,134,92,72,77,24,79,3,590,318,227,845,650.0,878.0,0.416,0.279,0.007,0.107,0.244,0.584,0.048,0.143
83,1002,93,20,149,131,79,79,37,93,2,683,309,248,1098,1422.0,1920.0,0.553,0.195,0.003,0.132,0.147,0.447,0.035,0.081
84,1003,99,8,99,92,51,90,54,65,4,562,322,221,1063,1629.0,2186.0,0.626,0.132,0.0,0.164,0.101,0.374,0.027,0.05
85,1004,215,42,281,138,101,223,59,216,2,1277,695,493,1655,1241.0,1639.0,0.469,0.181,0.0,0.186,0.222,0.531,0.04,0.125
86,1005,100,22,169,140,80,112,61,131,0,815,401,304,1188,2323.0,2989.0,0.547,0.225,0.002,0.124,0.124,0.453,0.031,0.071
87,1006,76,15,174,90,79,75,22,110,8,649,419,267,1157,1500.0,2510.0,0.337,0.428,0.003,0.044,0.314,0.662,0.031,0.156
88,1007,107,25,246,128,153,79,23,120,0,881,691,393,1610,1281.0,2240.0,0.423,0.317,0.001,0.025,0.425,0.577,0.045,0.188
89,1008,152,66,240,156,123,174,42,157,3,1113,479,398,1660,2365.0,3006.0,0.638,0.16,0.009,0.095,0.149,0.362,0.026,0.073
90,1009,151,33,351,151,123,337,60,233,6,1445,639,521,1807,1676.0,2340.0,0.643,0.148,0.01,0.055,0.287,0.356,0.032,0.112
91,1101,62,13,174,178,65,53,18,176,2,741,371,278,831,1277.0,1873.0,0.223,0.548,0.0,0.04,0.285,0.777,0.035,0.154
92,1102,84,16,198,251,92,59,14,242,5,961,659,405,1308,1272.0,2148.0,0.143,0.587,0.001,0.033,0.329,0.858,0.051,0.186
93,1103,65,11,160,208,60,41,10,149,1,705,463,292,1081,878.0,1429.0,0.154,0.629,0.0,0.027,0.267,0.846,0.061,0.129
94,1104,118,27,281,189,169,114,28,163,11,1100,716,454,1616,1867.0,3190.0,0.266,0.397,0.0,0.043,0.443,0.734,0.037,0.257
95,1105,85,25,284,167,171,95,30,155,1,1013,759,443,1485,1133.0,1813.0,0.348,0.35,0.0,0.046,0.399,0.652,0.042,0.214
96,1106,130,10,254,147,182,116,32,161,0,1032,488,380,1103,1288.0,1810.0,0.527,0.247,0.0,0.054,0.301,0.473,0.055,0.117
97,1107,137,23,333,228,174,207,51,253,6,1412,596,502,1562,1653.0,2259.0,0.607,0.208,0.003,0.042,0.258,0.393,0.033,0.107
98,1108,152,47,302,201,160,240,52,219,2,1375,609,496,1501,1992.0,2925.0,0.554,0.187,0.021,0.06,0.279,0.446,0.025,0.154
99,1109,124,22,293,145,95,160,50,230,3,1122,450,393,978,796.0,1039.0,0.703,0.095,0.003,0.075,0.172,0.297,0.037,0.088
100,1110,137,16,313,152,118,181,42,233,1,1193,471,416,1412,881.0,1192.0,0.66,0.132,0.004,0.066,0.214,0.341,0.03,0.107
101,1201,125,26,240,327,85,91,26,320,1,1241,703,486,1485,1585.0,2560.0,0.074,0.711,0.004,0.022,0.228,0.925,0.061,0.127
102,1202,133,23,338,404,111,120,15,360,4,1508,932,610,2013,1841.0,2735.0,0.075,0.78,0.001,0.001,0.224,0.925,0.011,0.133
103,1203,61,9,145,204,54,30,7,156,3,669,527,299,916,716.0,1178.0,0.051,0.711,0.005,0.043,0.182,0.949,0.072,0.119
104,1204,55,11,134,174,37,37,14,174,1,637,439,269,985,914.0,1642.0,0.088,0.705,0.008,0.0,0.256,0.912,0.061,0.138
105,1205,62,10,132,181,44,33,7,125,1,595,521,279,754,567.0,900.0,0.056,0.739,0.004,0.033,0.186,0.943,0.057,0.112
106,1206,66,11,139,141,46,44,7,145,1,600,388,247,755,900.0,1378.0,0.078,0.762,0.003,0.001,0.221,0.922,0.028,0.128
