,Ward/Precinct,Ward,Precinct,WILL DORCENA,AYANNA PRESSLEY,FELIX G ARROYO,JOHN R CONNOLLY,MICHAEL F FLAHERTY,STEPHEN J MURPHY,SEAN H RYAN,WILLIAM B FEEGBEH Write-in,DESHON PORTER Write-in,ALTHEA GARRISON Write-in,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,HISPANIC,BIPOC,TWO OR MORE RACES,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
0,101,101,101.0,16,113,111,117,100,99,24,0,0,0,3,583,249,208,1114,707.0,1138.0,0.41,0.351,0.155,0.647,0.031,0.0,0.058,0.109
1,102,102,102.0,9,44,55,42,70,52,10,0,0,0,0,282,186,117,805,1035.0,2671.0,0.558,0.23,0.177,0.77,0.02,0.001,0.017,0.015
2,103,103,103.0,40,133,155,123,101,109,34,0,0,0,0,695,385,270,1726,1572.0,3435.0,0.565,0.28,0.16,0.719,0.034,0.003,0.023,0.061
3,104,104,104.0,5,29,47,40,45,43,8,0,0,0,0,217,167,96,548,612.0,2075.0,0.667,0.382,0.243,0.619,0.057,0.0,0.028,0.053
4,105,105,105.0,12,54,67,63,69,63,11,0,0,0,2,341,195,134,955,1117.0,3807.0,0.711,0.485,0.418,0.515,0.001,0.005,0.003,0.057
5,106,106,106.0,10,54,65,49,50,47,8,0,0,0,2,285,131,104,842,1137.0,3690.0,0.714,0.439,0.344,0.561,0.03,0.001,0.02,0.043
6,107,107,107.0,14,53,64,66,63,41,18,0,0,0,3,322,162,121,1020,1201.0,3450.0,0.692,0.423,0.286,0.576,0.042,0.01,0.036,0.05
7,108,108,108.0,27,88,132,105,93,84,20,0,0,0,5,554,258,203,1460,1182.0,2829.0,0.644,0.436,0.242,0.564,0.038,0.031,0.055,0.07
8,109,109,109.0,9,39,53,41,36,41,6,0,0,0,0,225,115,85,830,576.0,1807.0,0.694,0.449,0.384,0.551,0.016,0.0,0.04,0.009
9,110,110,110.0,2,37,34,35,40,28,3,0,0,0,0,179,85,66,587,821.0,2662.0,0.71,0.446,0.366,0.554,0.022,0.001,0.027,0.03
