,WP,Ward,Precinct,MARTIN J KEOGH,"JACK F KELLY, III",ANNISSA ESSAIBI GEORGE,MICHAEL F FLAHERTY,AYANNA S PRESSLEY,MICHELLE WU,STEPHEN J MURPHY,JEFFREY MICHAEL ROSS,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,HISPANIC,BIPOC,TWO OR MORE RACES,NATIVE_AMERICAN,ASIAN,OTHER
0,101,101,101.0,66,139,140,264,204,240,156,131,8,1348,1224,643,1236,707.0,1138.0,0.647,0.031,0.41,0.351,0.155,0.0,0.058,0.109
1,102,102,102.0,58,72,64,169,123,124,116,76,6,808,920,432,952,1035.0,2671.0,0.77,0.02,0.558,0.23,0.177,0.001,0.017,0.015
2,103,103,103.0,135,133,180,332,274,329,230,182,6,1801,1655,864,1965,1572.0,3435.0,0.719,0.034,0.565,0.28,0.16,0.003,0.023,0.061
3,104,104,104.0,36,45,42,111,71,85,67,35,7,499,657,289,655,612.0,2075.0,0.619,0.057,0.667,0.382,0.243,0.0,0.028,0.053
4,105,105,105.0,69,81,99,202,142,144,133,80,13,963,865,457,1074,1117.0,3807.0,0.515,0.001,0.711,0.485,0.418,0.005,0.003,0.057
5,106,106,106.0,62,78,87,166,104,107,88,80,3,775,877,413,915,1137.0,3690.0,0.561,0.03,0.714,0.439,0.344,0.001,0.02,0.043
6,107,107,107.0,57,74,110,173,138,137,118,90,4,901,935,459,1109,1201.0,3450.0,0.576,0.042,0.692,0.423,0.286,0.01,0.036,0.05
7,108,108,108.0,103,106,139,224,159,197,157,108,6,1199,1277,619,1618,1182.0,2829.0,0.564,0.038,0.644,0.436,0.242,0.031,0.055,0.07
8,109,109,109.0,61,86,97,149,92,108,108,71,9,781,843,406,945,576.0,1807.0,0.551,0.016,0.694,0.449,0.384,0.0,0.04,0.009
9,110,110,110.0,29,44,49,92,67,78,68,38,0,465,523,247,645,821.0,2662.0,0.554,0.022,0.71,0.446,0.366,0.001,0.027,0.03
10,111,111,111.0,102,200,133,330,150,183,243,98,7,1446,1618,766,1345,1226.0,1869.0,0.678,0.017,0.436,0.322,0.173,0.036,0.02,0.077
11,112,112,112.0,136,230,181,328,159,182,253,91,5,1565,1571,784,1305,1179.0,2295.0,0.709,0.045,0.406,0.291,0.141,0.007,0.063,0.035
12,113,113,113.0,135,188,148,379,196,244,269,134,9,1702,1982,921,1790,1455.0,2547.0,0.7,0.035,0.0,0.3,0.149,0.018,0.047,0.051
13,114,114,114.0,57,114,93,214,107,136,155,61,1,938,1094,508,970,718.0,1358.0,0.707,0.042,0.408,0.293,0.144,0.01,0.059,0.039
14,115,115,115.0,0,1,1,1,4,2,1,1,0,11,29,10,148,64.0,71.0,0.426,0.38,0.196,0.577,0.112,0.0,0.0,0.082
15,201,201,201.0,72,601,115,376,276,277,232,132,2,2083,1609,923,1943,2668.0,3516.0,0.865,0.019,0.065,0.135,0.005,0.0,0.078,0.033
16,202,202,202.0,119,487,122,421,268,321,239,153,6,2136,1656,948,2757,2240.0,3455.0,0.516,0.218,0.244,0.484,0.044,0.0,0.131,0.091
17,203,203,203.0,67,467,99,293,288,314,195,140,1,1864,1180,761,1550,1039.0,1440.0,0.815,0.08,0.089,0.185,0.022,0.0,0.052,0.03
18,204,204,204.0,89,374,61,251,170,182,156,75,6,1364,1036,600,1478,1220.0,1788.0,0.727,0.134,0.083,0.272,0.031,0.0,0.068,0.04
19,205,205,205.0,74,550,58,335,221,201,192,84,2,1717,1199,729,1603,1104.0,1548.0,0.786,0.109,0.035,0.213,0.021,0.0,0.065,0.019
20,206,206,206.0,98,773,76,390,271,256,249,114,5,2232,1808,1010,1989,972.0,1349.0,0.793,0.078,0.044,0.207,0.014,0.0,0.083,0.032
21,207,207,207.0,65,449,50,265,149,159,178,65,4,1384,960,586,1348,1510.0,1792.0,0.888,0.052,0.028,0.112,0.02,0.0,0.035,0.004
22,301,301,301.0,190,306,198,556,430,615,485,329,17,3126,2330,1364,3387,1539.0,1775.0,0.855,0.046,0.049,0.145,0.014,0.002,0.05,0.033
23,302,302,302.0,76,113,82,257,178,225,176,129,11,1247,949,549,1587,1901.0,2094.0,0.945,0.002,0.016,0.055,0.011,0.0,0.035,0.007
24,303,303,303.0,63,80,70,212,158,188,145,83,6,1005,883,472,1549,2709.0,2995.0,0.934,0.009,0.046,0.066,0.014,0.0,0.032,0.011
25,304,304,304.0,72,113,97,239,140,229,150,105,11,1156,1128,571,1643,1748.0,2011.0,0.922,0.014,0.087,0.078,0.015,0.0,0.036,0.012
26,305,305,305.0,114,137,138,381,376,521,314,309,15,2305,1399,926,2761,3654.0,4556.0,0.689,0.045,0.103,0.311,0.031,0.0,0.196,0.038
27,306,306,306.0,136,197,179,361,482,594,312,353,15,2629,1795,1106,3957,5808.0,7111.0,0.764,0.052,0.082,0.236,0.023,0.002,0.123,0.035
28,307,307,307.0,119,149,241,477,647,886,391,511,12,3433,2159,1398,3800,3161.0,4288.0,0.584,0.093,0.194,0.416,0.071,0.007,0.17,0.074
29,308,308,308.0,154,208,108,327,447,761,196,255,8,2464,2872,1334,4290,5349.0,8020.0,0.446,0.03,0.056,0.554,0.025,0.0,0.488,0.011
30,401,401,401.0,53,100,152,228,389,561,263,299,4,2049,1203,813,1892,1583.0,2043.0,0.821,0.058,0.041,0.179,0.011,0.0,0.095,0.015
31,402,402,402.0,84,122,131,261,394,626,231,288,5,2142,1722,966,2897,4152.0,4956.0,0.719,0.172,0.057,0.281,0.006,0.003,0.089,0.012
32,403,403,403.0,23,51,94,152,267,409,163,194,4,1357,803,540,1270,1257.0,1612.0,0.726,0.169,0.051,0.274,0.011,0.0,0.072,0.024
33,404,404,404.0,69,80,114,234,372,520,205,282,18,1894,890,696,1929,1911.0,2243.0,0.733,0.157,0.104,0.267,0.004,0.004,0.097,0.004
34,405,405,405.0,66,68,73,147,198,256,144,157,4,1113,807,480,1594,1930.0,2648.0,0.676,0.108,0.116,0.324,0.021,0.001,0.15,0.044
35,406,406,406.0,50,57,47,132,144,190,99,150,6,875,685,390,1339,2051.0,2733.0,0.638,0.078,0.125,0.362,0.039,0.005,0.197,0.043
36,407,407,407.0,29,36,66,105,175,212,87,131,0,841,487,332,1474,2235.0,2825.0,0.67,0.071,0.113,0.33,0.038,0.004,0.185,0.031
37,408,408,408.0,50,55,44,110,120,149,95,104,4,731,465,299,1529,5260.0,6612.0,0.697,0.078,0.104,0.303,0.029,0.001,0.165,0.027
38,409,409,409.0,19,18,16,48,63,52,26,40,2,284,344,157,1194,4032.0,4967.0,0.617,0.155,0.165,0.383,0.041,0.001,0.128,0.057
39,410,410,410.0,13,13,20,25,38,49,22,19,4,203,105,77,840,5540.0,6651.0,0.652,0.108,0.12,0.348,0.027,0.002,0.152,0.059
40,501,501,501.0,140,246,176,421,728,942,372,454,9,3488,3000,1622,4416,4783.0,6323.0,0.615,0.023,0.056,0.385,0.028,0.0,0.324,0.011
41,502,502,502.0,24,36,36,71,119,120,64,85,2,557,423,245,1307,3745.0,4959.0,1.481,0.083,0.15,0.262,0.013,0.003,0.3239999999999999,0.082
42,503,503,503.0,53,114,96,243,350,390,185,306,4,1741,1127,717,1703,2101.0,2541.0,0.95,0.007,0.01,0.05,0.016,0.0,0.027,0.0
43,504,504,504.0,75,91,82,216,283,337,191,209,4,1488,1260,687,2219,1876.0,2197.0,0.851,0.025,0.077,0.149,0.016,0.0,0.094,0.013
44,505,505,505.0,29,43,40,104,125,177,90,134,5,747,561,327,660,848.0,1054.0,0.95,0.009,0.009,0.05,0.009,0.0,0.032,0.0
45,506,506,506.0,56,101,67,196,262,340,187,251,8,1468,1052,630,1753,2190.0,2610.0,0.92,0.01,0.069,0.079,0.009,0.0,0.055,0.006
46,507,507,507.0,77,121,99,239,290,401,209,287,8,1731,1281,753,2185,2172.0,2587.0,0.919,0.009,0.07,0.081,0.009,0.0,0.056,0.006
47,508,508,508.0,63,94,115,217,302,397,203,300,8,1699,933,658,1974,2442.0,2845.0,0.863,0.015,0.089,0.137,0.021,0.0,0.087,0.014
48,509,509,509.0,58,89,116,227,317,406,217,272,11,1713,1151,716,2854,3523.0,4156.0,0.82,0.02,0.093,0.179,0.032,0.0,0.111,0.016
49,510,510,510.0,46,73,55,134,155,194,126,157,9,949,735,421,2180,4351.0,5345.0,0.687,0.038,0.114,0.313,0.057,0.001,0.184,0.033
50,511,511,511.0,45,93,56,163,235,275,146,185,5,1203,861,516,1200,1718.0,2064.0,0.894,0.018,0.047,0.106,0.013,0.0,0.067,0.008
51,601,601,601.0,172,189,214,570,362,434,398,214,10,2563,1949,1128,3411,3906.0,4902.0,0.725,0.095,0.111,0.275,0.034,0.001,0.08,0.065
52,602,602,602.0,81,99,72,290,105,114,174,58,0,993,779,443,1206,1822.0,2629.0,0.572,0.156,0.205,0.428,0.059,0.01,0.065,0.137
53,603,603,603.0,144,127,110,390,146,162,264,86,1,1430,942,593,1617,1354.0,1523.0,0.871,0.001,0.037,0.128,0.045,0.017,0.038,0.028
54,604,604,604.0,126,180,104,415,171,164,261,90,8,1519,1025,636,1667,1888.0,2132.0,0.928,0.013,0.036,0.073,0.01,0.003,0.026,0.02
55,605,605,605.0,109,189,106,438,120,137,226,88,3,1416,1228,661,1537,1783.0,2055.0,0.941,0.009,0.037,0.059,0.004,0.0,0.024,0.021
56,606,606,606.0,116,227,132,614,125,167,357,77,4,1819,1381,800,1491,1497.0,1696.0,0.98,0.001,0.017,0.019,0.005,0.0,0.005,0.009
57,607,607,607.0,122,183,122,490,115,120,269,77,3,1501,1219,680,1469,1999.0,2308.0,0.941,0.01,0.035,0.058,0.005,0.0,0.025,0.019
58,608,608,608.0,111,187,146,536,114,133,305,82,2,1616,1192,702,1494,1450.0,1713.0,0.951,0.004,0.013,0.049,0.009,0.0,0.031,0.005
59,609,609,609.0,115,191,123,565,98,116,266,76,2,1552,1376,732,1450,1928.0,2226.0,0.95,0.012,0.026,0.05,0.005,0.0,0.021,0.012
60,701,701,701.0,137,181,129,486,98,119,268,55,5,1478,1138,654,1273,1902.0,2218.0,0.954,0.005,0.014,0.046,0.009,0.0,0.027,0.005
61,702,702,702.0,166,203,146,560,136,153,306,83,5,1758,1254,753,1704,1670.0,1828.0,0.96,0.017,0.028,0.039,0.002,0.0,0.01,0.011
62,703,703,703.0,148,265,159,684,176,204,368,105,3,2112,1624,934,1968,2560.0,2756.0,0.951,0.025,0.032,0.049,0.0,0.0,0.012,0.013
63,704,704,704.0,110,186,129,470,151,178,274,103,6,1607,1185,698,1708,1632.0,2086.0,0.757,0.065,0.166,0.244,0.032,0.004,0.054,0.089
64,705,705,705.0,91,106,73,342,114,124,208,69,2,1129,839,492,1363,2523.0,3051.0,0.798,0.042,0.113,0.202,0.036,0.008,0.054,0.061
65,706,706,706.0,65,88,78,258,102,123,138,63,6,921,699,405,1217,992.0,1409.0,0.652,0.099,0.241,0.348,0.036,0.0,0.084,0.129
66,707,707,707.0,51,50,78,249,123,151,142,41,2,887,721,402,1114,1267.0,2290.0,0.353,0.209,0.443,0.647,0.03,0.002,0.178,0.228
67,708,708,708.0,82,91,225,267,129,110,136,54,3,1097,795,473,1064,1893.0,2874.0,0.516,0.113,0.174,0.484,0.017,0.007,0.175,0.171
68,709,709,709.0,71,74,262,224,124,142,123,67,2,1089,703,448,1111,1052.0,1560.0,0.504,0.13,0.17,0.497,0.028,0.009,0.152,0.176
69,710,710,710.0,77,67,109,159,159,120,92,65,3,851,817,417,1344,1604.0,2650.0,0.274,0.369,0.275,0.726,0.055,0.006,0.01,0.285
70,801,801,801.0,40,33,37,88,109,155,73,99,3,637,803,360,1115,1998.0,2945.0,0.482,0.184,0.217,0.518,0.051,0.0,0.199,0.084
71,802,802,802.0,54,62,96,209,291,401,148,248,7,1516,1072,647,2364,3364.0,4515.0,0.536,0.17,0.196,0.464,0.025,0.003,0.133,0.132
72,803,803,803.0,30,30,44,108,156,126,72,73,17,656,636,323,1412,1729.0,2559.0,0.191,0.535,0.315,0.809,0.041,0.007,0.027,0.199
73,804,804,804.0,17,14,40,62,114,70,49,33,5,404,416,205,700,900.0,1382.0,0.146,0.58,0.356,0.854,0.053,0.002,0.015,0.205
