,WP,Ward,Precinct,AYANNA S PRESSLEY,MICHELLE WU,ANNISSA ESSAIBI GEORGE,MICHAEL F FLAHERTY,STEPHEN J MURPHY,ANDREA JOY CAMPBELL (WRITE-IN),JOVAN J LACET (WRITE-IN),JEAN-CLAUDE SANON (WRITE-IN),CHARLES CALVIN YANCEY (WRITE-IN),ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,HISPANIC,BIPOC,TWO OR MORE RACES,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
0,101,101,101.0,105,112,107,98,56,0,0,0,0,1,479,217,174,1286,889.0,1194.0,0.766,0.304,0.234,0.132,0.019,0.005,0.039,0.024
1,102,102,102.0,51,50,43,66,35,0,0,0,0,4,249,179,107,949,1286.0,2632.0,0.693,0.536,0.306,0.17,0.038,0.001,0.039,0.058
2,103,103,103.0,168,172,125,151,109,0,0,0,0,6,731,385,279,2074,1908.0,3500.0,0.735,0.5,0.265,0.128,0.039,0.005,0.037,0.055
3,104,104,104.0,23,22,22,33,20,0,0,0,0,0,120,120,60,669,1015.0,2318.0,0.661,0.589,0.34,0.214,0.069,0.001,0.036,0.019
4,105,105,105.0,53,43,39,47,43,0,0,0,0,4,229,119,87,1119,1169.0,4017.0,0.559,0.7,0.441,0.378,0.014,0.0,0.012,0.036
5,106,106,106.0,60,53,56,49,35,0,0,0,0,7,260,132,98,973,1431.0,3633.0,0.538,0.672,0.462,0.302,0.029,0.011,0.045,0.071
6,107,107,107.0,47,60,60,57,38,0,0,0,0,3,265,127,98,1118,1489.0,3370.0,0.544,0.644,0.455,0.27,0.032,0.015,0.062,0.075
7,108,108,108.0,93,92,95,101,65,0,0,0,0,7,453,259,178,1653,1236.0,2882.0,0.579,0.621,0.421,0.285,0.02,0.01,0.062,0.045
8,109,109,109.0,41,52,40,45,26,0,0,0,0,2,206,178,96,965,590.0,1749.0,0.58,0.686,0.42,0.339,0.005,0.0,0.032,0.045
9,110,110,110.0,25,23,25,36,29,0,0,0,0,0,138,78,54,697,938.0,2591.0,0.553,0.684,0.447,0.325,0.016,0.007,0.037,0.06
10,111,111,111.0,70,91,97,103,100,0,0,0,0,10,471,381,213,1353,1148.0,1933.0,0.628,0.425,0.372,0.208,0.033,0.0,0.055,0.07
11,112,112,112.0,72,79,99,111,99,0,0,0,0,3,463,305,192,1299,1469.0,2668.0,0.652,0.521,0.348,0.23,0.029,0.0,0.054,0.033
12,113,113,113.0,75,83,68,99,95,0,0,0,0,1,421,283,176,1845,1620.0,2847.0,0.645,0.0,0.355,0.221,0.031,0.0,0.055,0.046
13,114,114,114.0,27,28,26,47,36,0,0,0,0,0,164,164,82,986,868.0,1562.0,0.65,0.511,0.35,0.227,0.03,0.0,0.054,0.037
14,115,115,115.0,0,0,1,0,0,0,0,0,0,0,1,3,1,95,88.0,99.0,0.442,0.282,0.556,0.111,0.221,0.0,0.002,0.228
15,201,201,201.0,155,156,150,205,122,0,0,0,0,3,791,469,315,2030,2921.0,3917.0,0.873,0.054,0.127,0.033,0.037,0.0,0.055,0.001
16,202,202,202.0,139,144,132,147,110,1,0,0,2,2,677,359,259,2760,2514.0,3737.0,0.629,0.2,0.371,0.047,0.131,0.0,0.156,0.037
17,203,203,203.0,134,141,138,114,58,0,0,0,0,2,587,265,213,1484,1098.0,1519.0,0.866,0.095,0.133,0.028,0.06,0.0,0.04,0.005
18,204,204,204.0,82,84,75,91,79,0,0,0,0,4,415,261,169,1457,1371.0,1928.0,0.81,0.13,0.19,0.034,0.097,0.0,0.05,0.009
19,205,205,205.0,94,100,76,106,83,0,0,0,0,1,460,188,162,1551,1240.0,1679.0,0.847,0.106,0.153,0.026,0.083,0.0,0.038,0.006
20,206,206,206.0,148,159,123,182,143,0,0,0,0,5,760,360,280,1992,1108.0,1505.0,0.838,0.09,0.162,0.034,0.072,0.0,0.052,0.004
21,207,207,207.0,75,111,83,121,94,0,0,0,0,5,489,251,185,1338,1756.0,2119.0,0.885,0.039,0.115,0.026,0.052,0.0,0.029,0.009
22,301,301,301.0,249,303,225,228,232,0,1,0,0,6,1244,504,437,3176,1475.0,1719.0,0.85,0.052,0.15,0.02,0.044,0.0,0.065,0.018
23,302,302,302.0,65,69,50,61,43,0,0,0,0,0,288,168,114,1526,1864.0,2098.0,0.934,0.082,0.065,0.01,0.003,0.004,0.026,0.023
24,303,303,303.0,61,64,51,71,47,0,0,0,0,3,297,155,113,1437,2522.0,2799.0,0.934,0.069,0.066,0.008,0.008,0.001,0.024,0.024
25,304,304,304.0,53,87,72,97,55,0,0,0,0,6,370,242,153,1682,1781.0,2040.0,0.89,0.07,0.11,0.016,0.025,0.001,0.052,0.016
26,305,305,305.0,225,244,163,156,124,0,0,0,0,4,916,428,336,2605,3779.0,4809.0,0.762,0.134,0.238,0.033,0.061,0.001,0.118,0.025
27,306,306,306.0,211,229,165,139,103,0,0,0,0,7,854,282,284,3870,6194.0,7981.0,0.737,0.07,0.264,0.028,0.047,0.0,0.17,0.016
28,307,307,307.0,228,252,193,137,106,0,0,0,0,14,930,346,319,3722,3235.0,4371.0,0.555,0.242,0.445,0.042,0.101,0.006,0.169,0.126
29,308,308,308.0,302,435,172,334,210,0,0,0,0,14,1467,661,532,4577,6384.0,9275.0,0.483,0.065,0.517,0.031,0.047,0.004,0.425,0.011
30,401,401,401.0,197,235,137,112,91,0,0,0,0,7,779,361,285,1847,1745.0,2113.0,0.797,0.065,0.203,0.036,0.064,0.0,0.087,0.013
31,402,402,402.0,193,206,120,123,78,0,0,0,0,8,728,332,265,2857,3982.0,4937.0,0.69,0.064,0.31,0.015,0.125,0.0,0.154,0.009
32,403,403,403.0,128,154,84,74,47,0,0,0,0,2,489,219,177,1208,1277.0,1575.0,0.74,0.074,0.26,0.037,0.12,0.0,0.087,0.006
