,Ward_Precinct,MICHELLE WU,PAT PAYASO,MICHAEL F FLAHERTY,AYANNA S PRESSLEY,DOMINGOS DAROSA,ALTHEA GARRISON,ANNISSA E GEORGE,WILLIAM A KING,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,HISPANIC,BIPOC,TWO OR MORE RACES,OTHER
0,101.0,320,33,216,254,50,66,227,37,1,1204,776,495,1397.0,889.0,1194.0,0.766,0.019,0.005,0.039,0.304,0.234,0.132,0.024
1,102.0,159,21,154,98,23,29,99,15,3,601,591,298,1035.0,1286.0,2632.0,0.693,0.038,0.001,0.039,0.536,0.306,0.17,0.058
2,103.0,408,60,289,305,85,97,249,63,9,1565,1279,711,2379.0,1908.0,3500.0,0.735,0.039,0.005,0.037,0.5,0.265,0.128,0.055
3,104.0,130,15,96,82,25,19,70,29,1,467,453,230,798.0,1015.0,2318.0,0.661,0.069,0.001,0.036,0.589,0.34,0.214,0.019
4,105.0,207,23,184,140,52,39,133,25,3,806,614,355,1255.0,1169.0,4017.0,0.559,0.014,0.0,0.012,0.7,0.441,0.378,0.036
5,106.0,160,23,109,109,35,30,129,18,6,619,633,313,1171.0,1431.0,3633.0,0.538,0.029,0.011,0.045,0.672,0.462,0.302,0.071
6,107.0,169,28,147,136,22,43,143,20,5,713,647,340,1218.0,1489.0,3370.0,0.544,0.032,0.015,0.062,0.644,0.455,0.27,0.075
7,108.0,213,29,198,153,56,43,189,36,13,930,978,477,1708.0,1236.0,2882.0,0.579,0.02,0.01,0.062,0.621,0.421,0.285,0.045
8,109.0,160,24,154,109,29,33,141,18,2,670,706,344,1093.0,590.0,1749.0,0.58,0.005,0.0,0.032,0.686,0.42,0.339,0.045
9,110.0,90,9,78,65,12,21,66,12,0,353,419,193,742.0,938.0,2591.0,0.553,0.016,0.007,0.037,0.684,0.447,0.325,0.06
10,111.0,285,46,278,172,43,42,192,40,1,1099,1165,566,1425.0,1148.0,1933.0,0.628,0.033,0.0,0.055,0.425,0.372,0.208,0.07
11,112.0,269,35,310,184,49,50,195,35,3,1130,1038,542,1365.0,1469.0,2668.0,0.652,0.029,0.0,0.054,0.521,0.348,0.23,0.033
12,113.0,315,35,317,205,53,69,193,51,5,1243,1305,637,1916.0,1620.0,2847.0,0.645,0.031,0.0,0.055,0.0,0.355,0.221,0.046
13,114.0,153,17,196,106,23,27,111,17,1,651,669,330,960.0,868.0,1562.0,0.65,0.03,0.0,0.054,0.511,0.35,0.227,0.037
14,115.0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,88.0,99.0,0.442,0.221,0.0,0.002,0.282,0.556,0.111,0.228
15,201.0,475,34,505,365,36,108,260,59,6,1848,1328,794,2209.0,2921.0,3917.0,0.873,0.037,0.0,0.055,0.054,0.127,0.033,0.001
16,202.0,508,60,497,377,64,113,294,75,13,2001,1499,875,2985.0,2514.0,3737.0,0.629,0.131,0.0,0.156,0.2,0.371,0.047,0.037
17,203.0,411,35,308,300,44,90,226,31,5,1450,890,585,1470.0,1098.0,1519.0,0.866,0.06,0.0,0.04,0.095,0.133,0.028,0.005
18,204.0,307,29,310,224,28,69,183,32,6,1188,1004,548,1498.0,1371.0,1928.0,0.81,0.097,0.0,0.05,0.13,0.19,0.034,0.009
19,205.0,375,31,381,272,34,82,229,47,5,1456,900,589,1580.0,1240.0,1679.0,0.847,0.083,0.0,0.038,0.106,0.153,0.026,0.006
20,206.0,494,50,575,357,38,103,283,49,6,1955,1485,860,2022.0,1108.0,1505.0,0.838,0.072,0.0,0.052,0.09,0.162,0.034,0.004
21,207.0,335,30,407,231,39,61,186,33,4,1326,958,571,1567.0,1756.0,2119.0,0.885,0.052,0.0,0.029,0.039,0.115,0.026,0.009
22,301.0,656,63,596,451,74,158,385,76,20,2479,1949,1107,3033.0,1475.0,1719.0,0.85,0.044,0.0,0.065,0.052,0.15,0.02,0.018
23,302.0,272,30,222,196,30,53,176,25,4,1008,844,463,1625.0,1864.0,2098.0,0.934,0.003,0.004,0.026,0.082,0.065,0.01,0.023
