,Ward_Precinct,Unnamed: 0,Unnamed: 0.1,MICHELLE WU,PAT PAYASO,MICHAEL F FLAHERTY,AYANNA S PRESSLEY,DOMINGOS DAROSA,ALTHEA GARRISON,ANNISSA E GEORGE,WILLIAM A KING,ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,Turnout,Unnamed: 0.1.1,Precinct,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Total.1,White (alone),Black or African American (alone),Hispanic or Latino (alone),American Indian and Alaska Native (alone),Asian (alone),Native Hawaiian and Other Pacific Islander (alone),Some Other Race/Ethnicity (alone),Two or More Races/Ethnicities  (alone),Black Percentage,Native American Percentage,Asian Percentage,Native Hawaiian/Pacific Islander Percentage,Other Race Percentage,Two or more races Percentage,Hispanic Percentage,White Percentage,Hispanic & Black Percentage,Black plurality (Y/N),Pressley percentage,Wu Percentage,Flaherty Percentage,Annissa Percentage,Latino plurality (Y/N),White plurality (Y/N),Asian plurality (Y/N),Year
0,101,0,0,320,33,216,254,50,66,227,37,1,1204,776,495,1397,0.354330709,1,101,1717,1369,55,7,49,4,173,60,1717,1074,38,503,3,45,0,27,27,3.203261503,0.407687828,2.853814793,0.232964473,10.07571345,3.494467094,29.29528247,79.73209086,32.49854397,N,21.09634551,26.57807309,17.94019934,18.8538206,N,Y,N,2017
1,102,1,1,159,21,154,98,23,29,99,15,3,601,591,298,1035,0.287922705,2,102,2071,1520,61,3,42,0,351,94,2071,828,40,1073,2,42,0,53,33,2.945436987,0.144857557,2.028005794,0,16.94833414,4.538870111,51.81071946,73.39449541,54.75615645,N,16.30615641,26.45590682,25.62396007,16.47254576,N,Y,N,2017
2,103,2,2,408,60,289,305,85,97,249,63,9,1565,1279,711,2379,0.298865069,3,103,3179,1989,278,10,228,0,494,180,3179,1275,212,1314,5,227,0,57,89,8.74488833,0.314564328,7.172066688,0,15.53947782,5.662157911,41.33375275,62.56684492,50.07864108,N,19.48881789,26.07028754,18.46645367,15.91054313,N,Y,N,2017
3,104,3,3,130,15,96,82,25,19,70,29,1,467,453,230,798,0.288220551,4,104,1884,1097,57,12,38,1,555,124,1884,512,43,1203,6,37,0,59,24,3.025477707,0.636942675,2.016985138,0.053078556,29.45859873,6.581740977,63.85350318,58.22717622,66.87898089,N,17.55888651,27.8372591,20.55674518,14.98929336,Y,N,N,2017
4,105,4,4,207,23,184,140,52,39,133,25,3,806,614,355,1255,0.282868526,5,105,2888,1659,77,22,76,5,896,153,2888,969,47,1664,1,74,0,93,40,2.666204986,0.761772853,2.631578947,0.173130194,31.02493075,5.297783934,57.61772853,57.44459834,60.28393352,N,17.36972705,25.68238213,22.82878412,16.50124069,Y,N,N,2017
5,106,5,5,160,23,109,109,35,30,129,18,6,619,633,313,1171,0.267292912,6,106,2507,1488,78,16,61,1,749,114,2507,807,59,1479,5,61,0,60,36,3.111288393,0.638213004,2.433187076,0.039888313,29.87634623,4.547267651,58.99481452,59.35380933,62.10610291,N,17.60904685,25.84814216,17.60904685,20.84006462,N,Y,N,2017
6,107,6,6,169,28,147,136,22,43,143,20,5,713,647,340,1218,0.279146141,7,107,2388,1407,108,11,72,0,652,138,2388,709,76,1451,6,72,0,43,31,4.522613065,0.460636516,3.015075377,0,27.30318258,5.778894472,60.76214405,58.91959799,65.28475712,N,19.0743338,23.7026648,20.6171108,20.05610098,Y,N,N,2017
7,108,7,7,213,29,198,153,56,43,189,36,13,930,978,477,1708,0.279274005,8,108,2902,1700,119,18,191,0,723,151,2902,912,76,1669,5,188,0,8,44,4.100620262,0.620261888,6.581667815,0,24.91385252,5.203308063,57.51206065,58.58028946,61.61268091,N,16.4516129,22.90322581,21.29032258,20.32258065,N,Y,N,2017
8,109,8,8,160,24,154,109,29,33,141,18,2,670,706,344,1093,0.314730101,9,109,2086,1387,63,8,41,0,496,91,2086,734,44,1216,1,38,0,30,23,3.020134228,0.383509108,1.96548418,0,23.77756472,4.362416107,58.29338447,66.49089166,61.3135187,N,16.26865672,23.88059701,22.98507463,21.04477612,N,Y,N,2017
9,110,9,9,90,9,78,65,12,21,66,12,0,353,419,193,742,0.260107817,10,110,1862,1176,43,8,64,1,473,97,1862,552,38,1165,0,62,1,38,6,2.309344791,0.429645542,3.437164339,0.053705693,25.4027927,5.209452202,62.56713212,63.15789474,64.87647691,N,18.41359773,25.49575071,22.09631728,18.69688385,N,Y,N,2017
