,Ward/Precint,% Of Total Ballots Cast 2009,Avg. Ballots Cast Per Precinct 2009,Precinct Ballots Cast 2009,% Of Total Ballots Cast 2019,Avg. Ballots Cast Per Precinct 2019,Precinct Ballots Cast 2019,% Change in Income
0,0101,0.004,437.756,397,0.004,263.713,280,0.59
1,0102,0.002,437.756,273,0.002,263.713,147,0.5
2,0103,0.005,437.756,600,0.006,263.713,374,0.51
3,0104,0.002,437.756,183,0.002,263.713,125,0.36
4,0105,0.003,437.756,286,0.002,263.713,133,0.36
5,0106,0.002,437.756,254,0.002,263.713,153,0.21
6,0107,0.002,437.756,260,0.002,263.713,150,0.29
7,0108,0.003,437.756,381,0.004,263.713,239,0.24
8,0109,0.002,437.756,215,0.002,263.713,149,0.25
9,0110,0.001,437.756,157,0.001,263.713,92,0.32
10,0111,0.005,437.756,526,0.004,263.713,257,0.4
11,0112,0.005,437.756,532,0.004,263.713,245,0.44
12,0113,0.005,437.756,583,0.004,263.713,274,0.28
13,0114,0.003,437.756,318,0.002,263.713,137,0.28
14,0115,0.0,437.756,1,0.0,263.713,0,
15,0201,0.006,437.756,712,0.006,263.713,390,0.31
16,0202,0.006,437.756,646,0.005,263.713,360,0.31
17,0203,0.005,437.756,540,0.004,263.713,274,0.32
18,0204,0.004,437.756,396,0.004,263.713,237,0.28
19,0205,0.005,437.756,558,0.004,263.713,242,0.32
20,0206,0.007,437.756,747,0.006,263.713,370,0.32
21,0207,0.004,437.756,475,0.004,263.713,284,0.4
22,0301,0.01,437.756,1113,0.006,263.713,378,0.28
23,0302,0.004,437.756,398,0.002,263.713,142,0.44
24,0303,0.004,437.756,400,0.003,263.713,195,0.42
25,0304,0.005,437.756,518,0.003,263.713,218,0.42
26,0305,0.007,437.756,752,0.008,263.713,550,0.36
27,0306,0.007,437.756,755,0.007,263.713,439,0.3
28,0307,0.009,437.756,986,0.007,263.713,499,0.31
29,0308,0.008,437.756,941,0.013,263.713,870,0.96
30,0401,0.005,437.756,593,0.005,263.713,334,0.41
31,0402,0.006,437.756,643,0.006,263.713,385,0.39
32,0403,0.003,437.756,340,0.003,263.713,224,0.64
33,0404,0.005,437.756,560,0.004,263.713,300,0.55
34,0405,0.003,437.756,323,0.003,263.713,217,0.59
35,0406,0.003,437.756,305,0.003,263.713,220,0.3
36,0407,0.002,437.756,262,0.003,263.713,191,0.47
37,0408,0.002,437.756,234,0.003,263.713,201,0.25
38,0409,0.001,437.756,112,0.001,263.713,73,0.34
39,0410,0.0,437.756,42,0.001,263.713,38,0.42
40,0501,0.01,437.756,1057,0.011,263.713,720,0.45
41,0502,0.003,437.756,377,0.005,263.713,337,0.43
42,0503,0.004,437.756,459,0.006,263.713,395,0.31
43,0504,0.004,437.756,398,0.005,263.713,333,0.32
44,0505,0.002,437.756,221,0.003,263.713,205,-0.03
45,0506,0.004,437.756,420,0.005,263.713,313,0.2
46,0507,0.005,437.756,520,0.005,263.713,367,0.24
47,0508,0.004,437.756,478,0.005,263.713,328,0.24
48,0509,0.004,437.756,470,0.005,263.713,361,0.36
49,0510,0.003,437.756,286,0.003,263.713,216,0.42
50,0511,0.003,437.756,382,0.004,263.713,298,0.06
51,0601,0.006,437.756,683,0.007,263.713,494,0.83
52,0602,0.003,437.756,387,0.003,263.713,187,0.66
53,0603,0.004,437.756,471,0.003,263.713,196,0.66
54,0604,0.005,437.756,541,0.003,263.713,227,0.64
55,0605,0.005,437.756,544,0.004,263.713,253,0.51
56,0606,0.006,437.756,644,0.005,263.713,340,0.59
57,0607,0.005,437.756,587,0.005,263.713,318,0.54
58,0608,0.006,437.756,650,0.004,263.713,293,0.54
59,0609,0.006,437.756,668,0.005,263.713,302,0.58
60,0701,0.005,437.756,610,0.005,263.713,346,0.6
61,0702,0.006,437.756,695,0.005,263.713,314,0.59
