,WARD_PRECI,Median Household Income,Per Capita Income
0,0102,81150,46397
1,0105,76775,40514
2,0203,119741,73158
3,0205,134370,75792
4,0204,100823,70290
5,0206,134370,75792
6,0303,111813,93927
7,0304,109571,85877
8,0307,86173,84509
9,0402,112658,110534
10,0401,118360,109634
11,0403,113051,102348
12,0405,70496,70321
13,0406,58412,70874
14,0404,101041,96783
15,0408,29437,18938
16,0409,25456,23031
17,0504,106211,96740
18,0503,115506,102043
19,0501,89603,93688
20,0902,59607,59215
21,0901,82912,84833
22,0502,55561,54435
23,0603,99368,73710
24,0605,136173,59090
25,0606,137045,68900
26,0602,99368,73710
27,0608,136311,72798
28,0702,137045,68900
29,0706,80478,54498
30,0805,41507,21649
31,0803,41273,26325
32,1201,32847,21290
33,0905,32150,22127
34,1002,45979,26700
35,1001,41014,22456
36,0904,26942,17222
37,0903,38816,35953
38,0804,26271,18078
39,0806,41132,18815
40,0709,56207,27835
41,0710,58833,30732
42,0807,38902,20407
43,1006,66026,39754
44,1003,46722,26688
45,1101,36200,25524
46,1007,55240,32903
47,1209,31982,22770
48,1103,26812,21020
49,1105,46111,23093
50,1106,93900,54449
51,1107,93900,42365
52,1104,42976,27073
53,1206,32949,21392
54,1204,37689,21837
55,1205,29964,22820
56,1301,38737,20908
57,1306,80203,43466
58,1308,80870,41771
59,1304,38371,22876
60,1302,43819,23245
61,1307,80870,41771
62,1309,80203,43466
63,1305,56838,30687
64,1401,39059,21204
65,1406,31514,18256
66,1404,41265,20694
67,1403,30475,17842
68,1503,43634,21328
69,1501,50218,27557
70,1502,45986,21612
71,1504,62924,35075
72,1505,48793,22455
73,1507,43634,21328
74,1508,61682,29568
75,1506,66121,37548
76,1509,52620,25340
77,1009,90651,55353
78,1908,121445,67982
79,1906,108603,60066
80,1901,97945,57549
81,2104,52119,35559
82,2105,58035,37010
83,2107,57241,38433
84,2108,64363,40445
85,2106,68759,38982
86,2110,60712,39468
87,2115,73729,41071
88,2202,68858,34549
89,2203,74973,39882
90,2207,107462,49722
91,2213,107462,49722
92,2204,114402,52532
93,2210,92347,44440
94,1108,79840,36344
95,0705,72876,47150
96,2209,78010,38142
97,2111,62478,41689
98,2113,76024,41517
99,2206,74761,38585
100,2109,66070,40324
101,2101,41606,52045
102,1005,42066,26010
103,0704,99450,57912
104,0708,68012,44479
105,1203,32131,22018
106,1202,30977,21202
107,1102,35196,25133
108,1904,97049,54066
109,1905,131678,73223
110,1903,125502,70770
111,1402,41258,21238
112,1407,32148,19148
113,1409,31125,13871
114,1413,49674,21150
