,WARD_PRECI,Median Household Income,Per Capita Income
0,0113,48026,24532
1,0102,53958,30843
2,0105,56501,28051
3,0203,90820,57628
4,0205,101418,59239
5,0204,79024,52839
6,0206,101418,59239
7,0303,78636,64067
8,0304,77082,60421
9,0307,65792,57857
10,0402,80854,86923
11,0401,84186,75015
12,0403,68974,64042
13,0405,44298,52808
14,0406,44811,62781
15,0404,65386,60971
16,0408,23459,18644
17,0409,19034,9431
18,0504,80667,68154
19,0503,88182,77666
20,0501,61652,68611
21,0902,46406,42164
22,0901,61769,56695
23,0502,38733,34758
24,0603,59740,40023
25,0605,90474,40712
26,0606,86038,49903
27,0602,59740,40023
28,0608,88506,51308
29,0702,86038,49903
30,0706,45006,30676
31,0805,36798,16110
32,0803,31245,18166
33,1201,31784,18048
34,0905,28959,19583
35,1002,33121,22838
36,1001,26222,16121
37,0904,21250,14769
38,0903,28701,24560
39,0804,19394,12182
40,0806,40396,16450
41,0709,45288,21129
42,0710,42764,21971
43,0807,38075,16117
44,1006,45805,29609
45,1003,32691,21405
46,1101,31580,22479
47,1007,38854,25889
48,1209,30579,22134
49,1103,28275,18321
50,1105,39669,20124
51,1106,70941,40506
52,1107,70941,31950
53,1104,31904,20292
54,1206,32856,20345
55,1204,42409,20407
56,1205,36296,21874
57,1301,35389,18533
58,1306,59039,29086
59,1308,56399,28525
60,1304,26623,15005
61,1302,35915,16825
62,1307,56399,28525
63,1309,59039,29086
64,1305,41668,20144
65,1401,31237,16645
66,1406,26414,14470
67,1404,37690,16495
68,1403,26518,14130
69,1503,46799,18189
70,1501,41704,19660
71,1502,45808,17837
72,1504,52656,24584
73,1505,45555,18318
74,1507,46799,18189
75,1508,46448,24286
76,1506,50251,26931
77,1509,44605,20129
78,1009,74771,41578
79,1908,108322,68733
80,1906,90240,55418
81,1901,73067,41797
82,2104,32108,23859
83,2105,38752,25964
84,2107,40925,28527
85,2108,43191,30760
86,2106,43327,27643
87,2110,36638,28340
88,2115,43949,30348
89,2202,39628,20518
90,2203,45078,28419
91,2207,77409,40288
92,2213,77409,40288
93,2204,83717,41396
94,2210,62998,34560
95,1108,56386,24297
96,0705,45166,27658
97,2209,47578,27616
98,2111,36182,30252
99,2113,45730,30547
100,2206,47131,28209
101,2109,40237,28981
102,2101,33346,27952
103,1005,31936,21238
104,0704,61564,35341
105,0708,39722,27805
106,1203,33337,20409
107,1202,29242,19331
108,1102,32582,21847
109,1904,70200,40531
110,1905,129720,81022
111,1903,117155,66915
112,1402,30929,16289
113,1407,27578,15194
114,1409,24291,11302
115,1413,37376,17124
116,1412,32136,15680
117,1410,30160,15503
118,1405,37376,17124
119,1414,38950,16974
120,1601,46448,24286
121,1701,37152,19430
122,1702,45322,23806
123,1607,59038,30388
124,1605,55303,29496
125,1603,46226,26272
126,1609,61622,31673
127,1706,43073,24339
128,1709,49768,24380
129,1711,53449,26280
130,1604,48692,26246
131,1606,53678,27322
132,1608,57204,28053
133,1611,59584,28213
134,1705,35527,18446
135,1708,45496,22168
136,1707,39141,18873
137,1710,46838,20797
138,1712,47717,21998
139,1704,53888,24730
140,1802,39141,18210
141,1821,39891,17471
142,1807,51436,23216
143,1808,52759,23048
144,1809,61514,27516
145,1810,55313,25993
146,1811,64322,30128
147,1813,60558,30305
148,1814,60496,26411
149,1822,61274,29232
150,1805,57545,25314
151,1806,56577,25777
152,1815,62097,27172
153,1819,48519,27412
154,1911,61366,29600
155,1913,60718,29530
156,1912,61786,29251
157,2004,76414,35762
158,2009,52944,26846
159,2007,89038,44313
160,2019,89574,46865
161,2006,109200,52736
162,2020,89396,45496
163,2013,85643,43744
164,2016,76364,38190
165,2010,80367,37403
166,2005,83799,42077
167,1703,40044,21586
168,1110,68921,39287
169,1109,72250,42980
170,1902,105297,57642
171,2017,89396,45496
172,2015,60666,32446
173,1910,54973,26904
174,1801,45979,21309
175,1714,51022,24856
176,1804,51836,23779
177,2012,88756,44668
178,2014,88743,42431
179,1820,58668,30684
180,2018,88756,44668
181,2001,83172,42684
182,1207,33317,17904
183,1411,32907,12696
184,1907,74128,36140
185,1803,42339,16340
186,1408,48303,19353
187,1909,123272,70726
188,1208,26602,18432
189,0207,75409,53425
190,0202,67023,47615
191,0306,84295,70113
192,0302,72401,63171
193,2103,32522,20182
194,2114,43060,31394
195,2201,39628,20518
196,2205,48405,27685
197,2212,56667,31540
198,2211,65317,34074
199,2208,59954,32196
200,2116,50398,31182
201,2112,41488,34758
202,0510,34374,30386
203,2102,26912,17164
204,1310,51135,27958
205,1303,40830,23862
206,1610,61892,32205
207,1713,58469,27707
208,1612,64291,33166
209,1602,58744,33464
210,0604,84159,47570
211,0607,88506,43914
212,0701,85154,50022
213,0609,86538,37258
214,0707,44673,31245
215,0703,52346,33076
216,0308,36730,40405
217,0801,46327,42449
218,0601,61758,39388
219,0305,76367,60289
220,0201,86053,57296
221,0108,45237,19530
222,0103,47616,28292
223,0106,46424,21150
224,0109,44503,20926
225,0107,37904,18532
226,0101,59115,33426
227,0114,48026,19117
228,0112,56534,31818
229,0511,105245,80627
230,0505,124396,95032
231,0110,55669,28230
232,0111,56681,32709
233,1004,37028,22820
234,0802,42727,35789
235,2011,89002,41890
236,2008,80364,37521
237,0410,25630,14508
238,0407,22300,24134
239,1008,41250,27365
240,0301,93939,77019
241,0507,107906,99486
242,0508,101435,101810
243,0506,112953,103178
244,0509,55244,60456
245,1812,61457,30167
246,1823,43304,23624
247,2003,64391,33127
248,1816,60770,28080
249,1817,63450,32268
250,1818,58341,30645
251,0502A,39257,32742
252,0115,0,12156
253,0104,51557,27066
254,2002,64038,30803
