,Ward Precinct ,JOHN R CONNOLLY,MARTY J WALSH,LEE BUCKLEY (WRITE-IN),DAVID JAMES WYATT (WRITE-IN),ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
0,101.0,377.0,249.0,0.0,0.0,8.0,634.0,9.0,643.0,1236.0,707.0,1137.764233756967,0.647,0.031,0.0,0.058,0.109
1,102.0,233.0,185.0,0.0,0.0,1.0,419.0,13.0,432.0,952.0,1035.0,2670.757134619192,0.77,0.02,0.001,0.017,0.015
2,103.0,422.0,405.0,0.0,1.0,9.0,837.0,27.0,864.0,1965.0,1572.0,3434.507888638352,0.719,0.034,0.003,0.023,0.061
3,104.0,153.0,126.0,0.0,0.0,3.0,282.0,7.0,289.0,655.0,612.0,2074.755536391468,0.619,0.057,0.0,0.028,0.053
4,105.0,223.0,222.0,0.0,0.0,5.0,450.0,7.0,457.0,1074.0,1117.0,3806.957449295643,0.515,0.001,0.005,0.003,0.057
5,106.0,180.0,223.0,0.0,0.0,1.0,404.0,9.0,413.0,915.0,1137.0,3690.088882054115,0.561,0.03,0.001,0.02,0.043
6,107.0,228.0,211.0,0.0,0.0,3.0,442.0,17.0,459.0,1109.0,1201.0,3450.1652418706017,0.576,0.042,0.01,0.036,0.05
7,108.0,306.0,294.0,0.0,0.0,6.0,606.0,13.0,619.0,1618.0,1182.0,2829.278231334869,0.564,0.038,0.031,0.055,0.07
8,109.0,180.0,211.0,0.0,0.0,5.0,396.0,10.0,406.0,945.0,576.0,1806.5587114970092,0.551,0.016,0.0,0.04,0.009
9,110.0,102.0,136.0,0.0,0.0,2.0,240.0,7.0,247.0,645.0,821.0,2661.795327919766,0.554,0.022,0.001,0.027,0.03
10,111.0,345.0,400.0,0.0,0.0,3.0,748.0,18.0,766.0,1345.0,1226.0,1869.0299986918249,0.678,0.017,0.036,0.02,0.077
11,112.0,348.0,413.0,0.0,0.0,8.0,769.0,15.0,784.0,1305.0,1179.0,2294.8072542922696,0.709,0.045,0.007,0.063,0.035
12,113.0,405.0,483.0,0.0,0.0,8.0,896.0,25.0,921.0,1790.0,1455.0,2547.160455606222,0.7,0.035,0.018,0.047,0.051
13,114.0,239.0,246.0,0.0,0.0,4.0,489.0,19.0,508.0,970.0,718.0,1358.0276984311413,0.707,0.042,0.01,0.059,0.039
14,115.0,3.0,6.0,0.0,0.0,1.0,10.0,0.0,10.0,148.0,64.0,71.45005315987882,0.426,0.38,0.0,0.0,0.082
15,201.0,567.0,354.0,0.0,0.0,0.0,921.0,2.0,923.0,1943.0,2668.0,3515.661891368661,0.865,0.019,0.0,0.078,0.033
16,202.0,516.0,425.0,0.0,0.0,1.0,942.0,6.0,948.0,2757.0,2240.0,3455.249420907657,0.516,0.218,0.0,0.131,0.091
17,203.0,569.0,189.0,0.0,0.0,1.0,759.0,2.0,761.0,1550.0,1039.0,1439.799497944102,0.815,0.08,0.0,0.052,0.03
18,204.0,352.0,243.0,0.0,0.0,0.0,595.0,5.0,600.0,1478.0,1220.0,1788.4593802054756,0.727,0.134,0.0,0.068,0.04
19,205.0,414.0,310.0,0.0,0.0,1.0,725.0,4.0,729.0,1603.0,1104.0,1548.241104041054,0.786,0.109,0.0,0.065,0.019
20,206.0,494.0,514.0,0.0,0.0,1.0,1009.0,1.0,1010.0,1989.0,972.0,1348.7435250960896,0.793,0.078,0.0,0.083,0.032
21,207.0,306.0,276.0,0.0,0.0,3.0,585.0,1.0,586.0,1348.0,1510.0,1792.262514939877,0.888,0.052,0.0,0.035,0.004
22,301.0,839.0,516.0,0.0,0.0,2.0,1357.0,7.0,1364.0,3387.0,1539.0,1774.818323755841,0.855,0.046,0.002,0.05,0.033
23,302.0,359.0,187.0,0.0,0.0,2.0,548.0,1.0,549.0,1587.0,1901.0,2093.994026897488,0.945,0.002,0.0,0.035,0.007
24,303.0,298.0,172.0,0.0,0.0,0.0,470.0,2.0,472.0,1549.0,2709.0,2995.2479578920847,0.934,0.009,0.0,0.032,0.011
25,304.0,337.0,229.0,0.0,0.0,2.0,568.0,3.0,571.0,1643.0,1748.0,2011.1605426277547,0.922,0.014,0.0,0.036,0.012
26,305.0,626.0,293.0,0.0,0.0,4.0,923.0,3.0,926.0,2761.0,3654.0,4555.642479234822,0.689,0.045,0.0,0.196,0.038
27,306.0,845.0,249.0,0.0,0.0,4.0,1098.0,8.0,1106.0,3957.0,5808.0,7111.082044843652,0.764,0.052,0.002,0.123,0.035
28,307.0,1028.0,354.0,0.0,0.0,7.0,1389.0,9.0,1398.0,3800.0,3161.0,4288.127605099051,0.584,0.093,0.007,0.17,0.074
29,308.0,751.0,542.0,0.0,0.0,5.0,1298.0,36.0,1334.0,4290.0,5349.0,8020.114602949612,0.446,0.03,0.0,0.488,0.011
30,401.0,620.0,191.0,0.0,0.0,0.0,811.0,2.0,813.0,1892.0,1583.0,2042.676545796838,0.821,0.058,0.0,0.095,0.015
31,402.0,709.0,246.0,0.0,0.0,1.0,956.0,10.0,966.0,2897.0,4152.0,4955.807523228952,0.719,0.172,0.003,0.089,0.012
32,403.0,397.0,139.0,0.0,0.0,1.0,537.0,3.0,540.0,1270.0,1257.0,1611.947817743596,0.726,0.169,0.0,0.072,0.024
33,404.0,488.0,201.0,0.0,0.0,3.0,692.0,4.0,696.0,1929.0,1911.0,2243.2796181914205,0.733,0.157,0.004,0.097,0.004
34,405.0,323.0,153.0,0.0,0.0,1.0,477.0,3.0,480.0,1594.0,1930.0,2647.752583185841,0.676,0.108,0.001,0.15,0.044
35,406.0,254.0,130.0,0.0,0.0,2.0,386.0,4.0,390.0,1339.0,2051.0,2733.456387338851,0.638,0.078,0.005,0.197,0.043
36,407.0,164.0,164.0,0.0,0.0,2.0,330.0,2.0,332.0,1474.0,2235.0,2825.44059161783,0.67,0.071,0.004,0.185,0.031
