,Ward Precinct ,THOMAS M MENINO,MICHAEL F FLAHERTY,WILLIAM FEEGBEH (WRITE-IN),ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
0,101,200,193,0,0,393,4,397,1113,534.0,960.039644976074,0.567,0.033,0.0,0.1,0.146
1,102,166,105,0,2,273,0,273,816,814.0,2041.5446542793864,0.667,0.023,0.001,0.057,0.026
2,103,365,229,0,0,594,6,600,1720,1422.0,3134.4631436803493,0.65,0.062,0.003,0.051,0.048
3,104,115,66,0,0,181,2,183,563,537.0,1721.8679524360412,0.567,0.073,0.003,0.032,0.062
4,105,164,121,0,0,285,1,286,960,980.0,3189.9805348669306,0.645,0.032,0.008,0.001,0.099
5,106,146,107,0,0,253,1,254,836,1030.0,3160.0554369112288,0.609,0.047,0.002,0.013,0.141
6,107,129,129,0,1,259,1,260,1046,1111.0,3088.948397214824,0.59,0.045,0.001,0.043,0.129
7,108,210,162,0,3,375,6,381,1413,1120.0,2730.354434335149,0.569,0.026,0.003,0.091,0.072
8,109,126,87,0,1,214,1,215,838,568.0,1603.071533523147,0.527,0.024,0.005,0.037,0.104
9,110,81,74,0,0,155,2,157,582,766.0,2295.9773133768063,0.581,0.033,0.004,0.02,0.125
10,111,348,172,0,1,521,5,526,1296,1169.0,1647.7817463671431,0.804,0.018,0.0,0.035,0.058
11,112,355,174,0,0,529,3,532,1315,1104.0,2417.360508561329,0.711,0.059,0.0,0.02,0.045
12,113,382,194,0,3,579,4,583,1627,1372.0,2525.706053583249,0.745,0.046,0.0,0.025,0.049
13,114,196,114,0,2,312,6,318,943,683.0,1426.1957943968305,0.71,0.055,0.0,0.021,0.059
14,115,1,0,0,0,1,0,1,223,94.0,99.46542354779484,0.424,0.352,0.0,0.0,0.092
15,201,309,399,0,0,708,4,712,1948,2748.0,3405.3202712347547,0.911,0.021,0.0,0.028,0.015
16,202,304,340,0,1,645,1,646,2339,2030.0,3137.7887391885897,0.615,0.179,0.0,0.154,0.016
17,203,225,311,0,2,538,2,540,1579,1063.0,1351.811697568332,0.872,0.063,0.0,0.027,0.008
18,204,192,198,0,1,391,5,396,1398,1261.0,1683.063519978428,0.794,0.107,0.0,0.046,0.015
19,205,227,327,0,3,557,1,558,1628,1125.0,1441.8616468427847,0.816,0.093,0.0,0.044,0.017
20,206,357,382,0,3,742,5,747,1903,1010.0,1295.3752894450354,0.838,0.069,0.0,0.042,0.02
21,207,186,286,0,1,473,2,475,1286,1333.0,1567.6323618295917,0.946,0.018,0.0,0.025,0.011
22,301,616,490,0,2,1108,5,1113,3487,1386.0,1603.1518694461129,0.901,0.032,0.001,0.034,0.013
23,302,194,201,0,0,395,3,398,1546,1762.0,1976.0047923933184,0.942,0.036,0.0,0.014,0.004
