,Ward Precinct ,JOHN R CONNOLLY,MARTY J WALSH,LEE BUCKLEY (WRITE-IN),DAVID JAMES WYATT (WRITE-IN),ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,TWO OR MORE RACES,BIPOC,HISPANIC,ASIAN,OTHER
0,101.0,377.0,249.0,0.0,0.0,8.0,634.0,9.0,643.0,1236.0,707.0,1138.0,0.647,0.031,0.0,0.155,0.351,0.41,0.058,0.109
1,102.0,233.0,185.0,0.0,0.0,1.0,419.0,13.0,432.0,952.0,1035.0,2671.0,0.77,0.02,0.001,0.177,0.23,0.558,0.017,0.015
2,103.0,422.0,405.0,0.0,1.0,9.0,837.0,27.0,864.0,1965.0,1572.0,3435.0,0.719,0.034,0.003,0.16,0.28,0.565,0.023,0.061
3,104.0,153.0,126.0,0.0,0.0,3.0,282.0,7.0,289.0,655.0,612.0,2075.0,0.619,0.057,0.0,0.243,0.382,0.667,0.028,0.053
4,105.0,223.0,222.0,0.0,0.0,5.0,450.0,7.0,457.0,1074.0,1117.0,3807.0,0.515,0.001,0.005,0.418,0.485,0.711,0.003,0.057
5,106.0,180.0,223.0,0.0,0.0,1.0,404.0,9.0,413.0,915.0,1137.0,3690.0,0.561,0.03,0.001,0.344,0.439,0.714,0.02,0.043
6,107.0,228.0,211.0,0.0,0.0,3.0,442.0,17.0,459.0,1109.0,1201.0,3450.0,0.576,0.042,0.01,0.286,0.423,0.692,0.036,0.05
7,108.0,306.0,294.0,0.0,0.0,6.0,606.0,13.0,619.0,1618.0,1182.0,2829.0,0.564,0.038,0.031,0.242,0.436,0.644,0.055,0.07
8,109.0,180.0,211.0,0.0,0.0,5.0,396.0,10.0,406.0,945.0,576.0,1807.0,0.551,0.016,0.0,0.384,0.449,0.694,0.04,0.009
9,110.0,102.0,136.0,0.0,0.0,2.0,240.0,7.0,247.0,645.0,821.0,2662.0,0.554,0.022,0.001,0.366,0.446,0.71,0.027,0.03
10,111.0,345.0,400.0,0.0,0.0,3.0,748.0,18.0,766.0,1345.0,1226.0,1869.0,0.678,0.017,0.036,0.173,0.322,0.436,0.02,0.077
11,112.0,348.0,413.0,0.0,0.0,8.0,769.0,15.0,784.0,1305.0,1179.0,2295.0,0.709,0.045,0.007,0.141,0.291,0.406,0.063,0.035
12,113.0,405.0,483.0,0.0,0.0,8.0,896.0,25.0,921.0,1790.0,1455.0,2547.0,0.7,0.035,0.018,0.149,0.3,0.0,0.047,0.051
13,114.0,239.0,246.0,0.0,0.0,4.0,489.0,19.0,508.0,970.0,718.0,1358.0,0.707,0.042,0.01,0.144,0.293,0.408,0.059,0.039
14,115.0,3.0,6.0,0.0,0.0,1.0,10.0,0.0,10.0,148.0,64.0,71.0,0.426,0.38,0.0,0.113,0.577,0.196,0.0,0.082
15,201.0,567.0,354.0,0.0,0.0,0.0,921.0,2.0,923.0,1943.0,2668.0,3516.0,0.865,0.019,0.0,0.005,0.135,0.065,0.078,0.033
16,202.0,516.0,425.0,0.0,0.0,1.0,942.0,6.0,948.0,2757.0,2240.0,3455.0,0.516,0.218,0.0,0.044,0.484,0.244,0.131,0.091
17,203.0,569.0,189.0,0.0,0.0,1.0,759.0,2.0,761.0,1550.0,1039.0,1440.0,0.815,0.08,0.0,0.022,0.185,0.089,0.052,0.03
18,204.0,352.0,243.0,0.0,0.0,0.0,595.0,5.0,600.0,1478.0,1220.0,1788.0,0.727,0.134,0.0,0.031,0.272,0.083,0.068,0.04
19,205.0,414.0,310.0,0.0,0.0,1.0,725.0,4.0,729.0,1603.0,1104.0,1548.0,0.786,0.109,0.0,0.021,0.213,0.035,0.065,0.019
