,Ward_Precinct,TITO JACKSON,MARTIN J WALSH,DONALD OSGOOD SR (WRITE-IN),ALL OTHERS,VOTES CAST,BLANKS,BALLOTS CAST,Registered Voters,CVAP,TOTAL POP.,WHITE,AFRICAN_AMERICAN,NATIVE_AMERICAN,ASIAN,OTHER
0,101.0,162.0,315.0,0.0,4.0,481.0,14.0,495.0,1397.0,889.0,1193.6633065418473,0.766,0.019,0.005,0.039,0.024
1,102.0,98.0,189.0,0.0,3.0,290.0,8.0,298.0,1035.0,1286.0,2632.4589450016406,0.693,0.038,0.001,0.039,0.058
2,103.0,233.0,453.0,0.0,6.0,692.0,19.0,711.0,2379.0,1908.0,3500.46189336928,0.735,0.039,0.005,0.037,0.055
3,104.0,59.0,162.0,0.0,2.0,223.0,7.0,230.0,798.0,1015.0,2317.7225584924927,0.661,0.069,0.001,0.036,0.019
4,105.0,87.0,254.0,0.0,3.0,344.0,11.0,355.0,1255.0,1169.0,4016.7950866453634,0.559,0.014,0.0,0.012,0.036
5,106.0,81.0,219.0,0.0,0.0,300.0,13.0,313.0,1171.0,1431.0,3633.2900976783017,0.538,0.029,0.011,0.045,0.071
6,107.0,76.0,251.0,0.0,2.0,329.0,11.0,340.0,1218.0,1489.0,3369.9251660279947,0.544,0.032,0.015,0.062,0.075
7,108.0,124.0,337.0,0.0,2.0,463.0,14.0,477.0,1708.0,1236.0,2882.066867350622,0.579,0.02,0.01,0.062,0.045
8,109.0,90.0,248.0,0.0,2.0,340.0,4.0,344.0,1093.0,590.0,1748.530637994601,0.58,0.005,0.0,0.032,0.045
9,110.0,31.0,152.0,0.0,1.0,184.0,9.0,193.0,742.0,938.0,2590.669800085573,0.553,0.016,0.007,0.037,0.06
10,111.0,100.0,433.0,0.0,8.0,541.0,25.0,566.0,1425.0,1148.0,1933.3324557838391,0.628,0.033,0.0,0.055,0.07
11,112.0,129.0,383.0,0.0,4.0,516.0,26.0,542.0,1365.0,1469.0,2668.093558323405,0.652,0.029,0.0,0.054,0.033
12,113.0,144.0,468.0,0.0,4.0,616.0,21.0,637.0,1916.0,1620.0,2847.238355864355,0.645,0.031,0.0,0.055,0.046
