,NEIGHBORHOOD,Total,% White 55+,% POC 18-29,Total White 55+,Total POC 18-29
0,Roslindale,29024,0.172,0.058,4989,1677
1,Jamaica Plain,42759,0.127,0.052,5412,2220
2,Mission Hill,13920,0.074,0.134,1031,1867
3,Longwood,6241,0.036,0.145,225,905
4,Bay Village,1399,0.147,0.055,205,77
5,Leather District,537,0.058,0.117,31,63
6,Chinatown,2718,0.067,0.11,182,300
7,North End,6964,0.188,0.02,1312,142
8,Roxbury,50601,0.028,0.132,1404,6691
9,South End,23667,0.117,0.063,2759,1497
10,Back Bay,20691,0.204,0.067,4229,1388
11,East Boston,35498,0.108,0.011,3825,392
12,Charlestown,14793,0.166,0.032,2452,470
13,West End,5879,0.167,0.067,980,395
14,Beacon Hill,8519,0.178,0.029,1513,243
15,Downtown,12488,0.155,0.072,1930,897
16,Fenway,30801,0.056,0.171,1726,5265
17,Brighton,42705,0.147,0.074,6290,3178
18,West Roxbury,32649,0.267,0.022,8706,707
19,Hyde Park,34542,0.117,0.092,4030,3178
20,Mattapan,24293,0.026,0.15,642,3648
21,Dorchester,119898,0.062,0.123,7391,14711
22,South Boston Waterfront,5143,0.136,0.031,700,160
23,South Boston,35495,0.148,0.029,5247,1013
24,Allston,25379,0.06,0.154,1520,3904
25,Harbor Islands,71,0.225,0.127,16,9
