,WARD_PRECI,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 85+
0,0102,53.0,36.0,7.0,1.0,15.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,6.0,7.0,4.0,0.0,0.0,0.0,0.0
1,0105,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0203,115.0,40.0,0.0,3.0,5.0,2.0,4.0,2.0,0.0,4.0,0.0,0.0,74.0,0.0,1.0,9.0,9.0,5.0,6.0,8.0,1.0,0.0,0.0
3,0205,169.0,46.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,124.0,0.0,4.0,18.0,16.0,9.0,10.0,9.0,0.0,0.0,0.0
4,0204,239.0,76.0,0.0,4.0,7.0,3.0,6.0,2.0,1.0,6.0,0.0,0.0,163.0,0.0,5.0,21.0,19.0,10.0,13.0,15.0,1.0,0.0,0.0
5,0206,104.0,32.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,74.0,0.0,2.0,10.0,11.0,5.0,6.0,5.0,0.0,0.0,0.0
6,0303,27.0,18.0,0.0,0.0,0.0,1.0,2.0,12.0,2.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
7,0304,28.0,22.0,1.0,7.0,2.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0
8,0307,399.0,192.0,7.0,24.0,25.0,14.0,8.0,24.0,9.0,5.0,0.0,0.0,207.0,10.0,9.0,0.0,19.0,55.0,30.0,9.0,18.0,9.0,4.0
9,0402,854.0,370.0,41.0,37.0,36.0,30.0,51.0,47.0,49.0,21.0,18.0,0.0,485.0,7.0,15.0,10.0,52.0,79.0,79.0,110.0,22.0,6.0,27.0
