,WARD_PRECI,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 85+
0,0102,104.0,32.0,0.0,3.0,6.0,0.0,0.0,7.0,9.0,5.0,0.0,0.0,72.0,0.0,13.0,32.0,1.0,3.0,0.0,8.0,0.0,13.0,0.0
1,0105,49.0,32.0,0.0,0.0,0.0,13.0,0.0,0.0,8.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,3.0,0.0,0.0
2,0203,62.0,36.0,1.0,3.0,7.0,5.0,1.0,9.0,1.0,0.0,3.0,0.0,26.0,0.0,0.0,1.0,3.0,6.0,4.0,0.0,0.0,8.0,0.0
3,0205,65.0,40.0,3.0,4.0,10.0,5.0,2.0,7.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,3.0,13.0,1.0,0.0,0.0,7.0,0.0
4,0204,97.0,58.0,3.0,5.0,10.0,9.0,0.0,12.0,2.0,0.0,0.0,0.0,39.0,0.0,0.0,2.0,5.0,11.0,6.0,1.0,0.0,8.0,0.0
5,0206,79.0,45.0,5.0,2.0,6.0,3.0,9.0,11.0,0.0,0.0,0.0,0.0,33.0,0.0,4.0,2.0,3.0,11.0,4.0,0.0,0.0,4.0,0.0
6,0303,68.0,14.0,0.0,1.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,5.0,11.0,2.0,21.0,0.0,9.0,0.0,0.0,0.0
7,0304,106.0,40.0,0.0,3.0,26.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,65.0,0.0,1.0,30.0,3.0,3.0,2.0,28.0,1.0,0.0,0.0
8,0307,736.0,429.0,5.0,13.0,59.0,56.0,6.0,34.0,47.0,55.0,21.0,60.0,308.0,9.0,8.0,53.0,20.0,35.0,30.0,62.0,40.0,15.0,4.0
9,0402,762.0,221.0,1.0,29.0,48.0,43.0,61.0,0.0,0.0,3.0,2.0,0.0,540.0,8.0,17.0,83.0,201.0,171.0,14.0,4.0,12.0,0.0,0.0
