,WARD_PRECI,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 85+
0,0102,2671.0,1473.0,27.0,28.0,10.0,100.0,197.0,240.0,101.0,182.0,54.0,86.0,47.0,30.0,39.0,27.0,1.0,1198.0,114.0,71.0,92.0,34.0,19.0
1,0105,3807.0,2271.0,29.0,58.0,69.0,78.0,314.0,250.0,192.0,272.0,92.0,181.0,67.0,44.0,8.0,0.0,15.0,1536.0,49.0,174.0,96.0,106.0,5.0
2,0203,1440.0,638.0,1.0,4.0,3.0,11.0,75.0,78.0,66.0,63.0,24.0,37.0,21.0,19.0,12.0,4.0,6.0,802.0,79.0,46.0,30.0,14.0,4.0
3,0205,1549.0,695.0,0.0,0.0,0.0,17.0,91.0,100.0,92.0,61.0,26.0,36.0,28.0,17.0,12.0,2.0,0.0,853.0,97.0,50.0,30.0,6.0,0.0
4,0204,1788.0,804.0,0.0,5.0,1.0,20.0,94.0,108.0,103.0,65.0,29.0,44.0,31.0,18.0,14.0,2.0,1.0,984.0,121.0,67.0,38.0,7.0,6.0
5,0206,1350.0,575.0,5.0,0.0,0.0,16.0,79.0,82.0,64.0,50.0,26.0,26.0,36.0,15.0,6.0,1.0,1.0,772.0,83.0,51.0,26.0,4.0,1.0
6,0303,2994.0,1516.0,2.0,8.0,24.0,142.0,496.0,218.0,107.0,80.0,87.0,60.0,76.0,29.0,35.0,46.0,28.0,1479.0,21.0,21.0,13.0,0.0,5.0
7,0304,2011.0,1097.0,3.0,7.0,59.0,94.0,339.0,178.0,86.0,32.0,40.0,58.0,35.0,23.0,28.0,5.0,4.0,913.0,14.0,23.0,28.0,0.0,3.0
8,0307,4288.0,2152.0,24.0,15.0,27.0,65.0,171.0,287.0,125.0,86.0,261.0,140.0,171.0,49.0,36.0,21.0,64.0,2136.0,133.0,40.0,94.0,8.0,42.0
9,0402,4956.0,2181.0,54.0,22.0,16.0,151.0,340.0,245.0,168.0,149.0,85.0,135.0,78.0,103.0,74.0,69.0,18.0,2773.0,113.0,96.0,17.0,29.0,16.0
10,0401,2042.0,1073.0,14.0,4.0,4.0,30.0,139.0,154.0,94.0,92.0,76.0,85.0,59.0,35.0,4.0,21.0,8.0,969.0,41.0,46.0,54.0,21.0,6.0
11,0403,1611.0,829.0,25.0,10.0,2.0,49.0,135.0,94.0,67.0,59.0,50.0,76.0,33.0,17.0,3.0,12.0,0.0,784.0,42.0,40.0,29.0,22.0,3.0
12,0405,2648.0,1282.0,205.0,52.0,29.0,186.0,252.0,130.0,35.0,53.0,16.0,36.0,37.0,12.0,18.0,19.0,9.0,1366.0,14.0,23.0,0.0,8.0,83.0
13,0406,2733.0,1378.0,109.0,83.0,25.0,175.0,319.0,103.0,85.0,70.0,42.0,47.0,111.0,26.0,7.0,17.0,4.0,1356.0,15.0,28.0,0.0,10.0,84.0
14,0404,2243.0,1359.0,11.0,68.0,117.0,160.0,178.0,166.0,74.0,145.0,53.0,54.0,118.0,29.0,20.0,3.0,13.0,883.0,46.0,33.0,15.0,9.0,0.0
15,0408,6612.0,3329.0,1145.0,390.0,389.0,497.0,251.0,127.0,33.0,39.0,51.0,57.0,39.0,13.0,58.0,32.0,22.0,3283.0,17.0,5.0,4.0,16.0,1258.0
