,WARD_PRECI,Total,Non-Hispanic/Latino,Hispanic/Latino
0,0102,2633.0,1223.0,1410.0
1,0105,4018.0,1206.0,2812.0
2,0203,1519.0,1375.0,144.0
3,0205,1679.0,1501.0,178.0
4,0204,1927.0,1677.0,251.0
5,0206,1506.0,1370.0,135.0
6,0303,2799.0,2606.0,193.0
7,0304,2041.0,1897.0,143.0
8,0307,4372.0,3314.0,1057.0
9,0402,4937.0,4622.0,315.0
10,0401,2113.0,1976.0,137.0
11,0403,1574.0,1460.0,116.0
12,0405,2689.0,2228.0,461.0
13,0406,2689.0,2234.0,455.0
14,0404,2196.0,1978.0,216.0
15,0408,6614.0,5936.0,676.0
16,0409,5252.0,4235.0,1017.0
17,0504,2075.0,1951.0,124.0
18,0503,2846.0,2674.0,173.0
19,0501,6621.0,6214.0,406.0
20,0902,2763.0,2273.0,491.0
21,0901,2778.0,2165.0,612.0
22,0502,3801.0,3253.0,548.0
23,0603,1451.0,1374.0,77.0
24,0605,2175.0,2080.0,95.0
25,0606,1846.0,1747.0,98.0
26,0602,2518.0,1871.0,646.0
27,0608,1566.0,1534.0,32.0
28,0702,1935.0,1868.0,67.0
29,0706,1470.0,1143.0,328.0
30,0805,2066.0,1642.0,423.0
31,0803,2612.0,1765.0,847.0
32,1201,2933.0,2075.0,856.0
33,0905,4112.0,3405.0,706.0
34,1002,2235.0,1743.0,493.0
35,1001,1165.0,803.0,362.0
36,0904,4161.0,2910.0,1251.0
37,0903,4904.0,3430.0,1475.0
38,0804,1420.0,850.0,570.0
39,0806,2151.0,1662.0,489.0
40,0709,1359.0,1201.0,158.0
41,0710,2740.0,2149.0,592.0
42,0807,967.0,749.0,218.0
43,1006,2640.0,1684.0,956.0
44,1003,2232.0,1925.0,307.0
45,1101,1892.0,1401.0,491.0
46,1007,2565.0,1483.0,1082.0
47,1209,2182.0,1542.0,639.0
48,1103,1828.0,1314.0,513.0
49,1105,1882.0,1154.0,727.0
50,1106,2011.0,1320.0,691.0
51,1107,2492.0,1760.0,733.0
52,1104,3204.0,1896.0,1307.0
53,1206,1746.0,1224.0,522.0
54,1204,1933.0,1240.0,693.0
55,1205,1048.0,746.0,302.0
56,1301,2605.0,1539.0,1066.0
57,1306,2046.0,1612.0,435.0
58,1308,1906.0,1740.0,166.0
59,1304,2396.0,1458.0,939.0
60,1302,1170.0,688.0,482.0
61,1307,1298.0,1179.0,119.0
62,1309,2268.0,1910.0,356.0
63,1305,1928.0,1361.0,568.0
64,1401,4808.0,3191.0,1616.0
65,1406,1896.0,1231.0,665.0
66,1404,2873.0,1944.0,927.0
67,1403,2220.0,1438.0,782.0
68,1503,1184.0,939.0,246.0
69,1501,3041.0,2172.0,869.0
70,1502,1593.0,1243.0,350.0
71,1504,3301.0,2515.0,785.0
72,1505,2212.0,1766.0,445.0
73,1507,1506.0,1236.0,269.0
74,1508,1674.0,1356.0,319.0
75,1506,1342.0,1189.0,152.0
76,1509,2155.0,1771.0,384.0
77,1009,2519.0,1809.0,711.0
78,1908,1154.0,1069.0,86.0
79,1906,2380.0,2125.0,255.0
80,1901,1646.0,1336.0,310.0
81,2104,1619.0,1358.0,261.0
82,2105,3178.0,2812.0,367.0
83,2107,2372.0,2054.0,317.0
84,2108,2707.0,2421.0,285.0
85,2106,2174.0,1891.0,282.0
86,2110,1823.0,1642.0,182.0
87,2115,1031.0,969.0,61.0
88,2202,3007.0,2561.0,447.0
89,2203,3240.0,2725.0,514.0
90,2207,2216.0,2017.0,200.0
91,2213,1415.0,1224.0,191.0
92,2204,1746.0,1539.0,208.0
93,2210,2604.0,2180.0,424.0
94,1108,3292.0,2545.0,747.0
