,WARD_PRECI,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 85+
0,0102,1490.0,884.0,13.0,66.0,99.0,162.0,232.0,63.0,39.0,15.0,0.0,0.0,606.0,14.0,36.0,70.0,64.0,122.0,79.0,20.0,9.0,2.0,0.0
1,0105,2707.0,1673.0,17.0,166.0,254.0,175.0,333.0,147.0,108.0,28.0,0.0,0.0,1034.0,0.0,31.0,29.0,106.0,256.0,143.0,66.0,18.0,3.0,0.0
2,0203,128.0,55.0,0.0,7.0,8.0,1.0,10.0,4.0,1.0,0.0,0.0,0.0,73.0,2.0,2.0,6.0,2.0,6.0,17.0,4.0,0.0,2.0,0.0
3,0205,54.0,16.0,0.0,1.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,40.0,0.0,3.0,3.0,0.0,4.0,8.0,4.0,0.0,0.0,0.0
4,0204,148.0,65.0,0.0,9.0,6.0,2.0,11.0,10.0,1.0,0.0,0.0,0.0,82.0,3.0,5.0,7.0,3.0,12.0,16.0,8.0,1.0,0.0,0.0
5,0206,60.0,15.0,0.0,0.0,6.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,46.0,0.0,2.0,9.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0
6,0303,138.0,84.0,0.0,11.0,38.0,22.0,11.0,0.0,1.0,0.0,0.0,0.0,53.0,0.0,22.0,7.0,16.0,1.0,5.0,0.0,0.0,0.0,3.0
7,0304,175.0,121.0,1.0,3.0,70.0,26.0,8.0,3.0,0.0,0.0,0.0,0.0,53.0,0.0,27.0,3.0,2.0,2.0,4.0,0.0,1.0,0.0,10.0
8,0307,834.0,399.0,11.0,60.0,17.0,4.0,26.0,50.0,84.0,15.0,0.0,0.0,435.0,22.0,5.0,51.0,22.0,87.0,63.0,27.0,45.0,2.0,9.0
9,0402,283.0,123.0,0.0,28.0,18.0,12.0,26.0,15.0,0.0,0.0,13.0,0.0,159.0,1.0,13.0,10.0,51.0,32.0,1.0,8.0,11.0,0.0,0.0
10,0401,83.0,54.0,0.0,1.0,31.0,0.0,11.0,4.0,0.0,2.0,0.0,0.0,29.0,3.0,2.0,4.0,2.0,9.0,1.0,1.0,0.0,0.0,0.0
11,0403,83.0,49.0,0.0,3.0,23.0,0.0,17.0,7.0,0.0,0.0,0.0,0.0,33.0,0.0,6.0,4.0,4.0,7.0,0.0,3.0,0.0,0.0,0.0
12,0405,308.0,154.0,49.0,34.0,18.0,11.0,32.0,4.0,4.0,1.0,0.0,0.0,153.0,6.0,62.0,9.0,6.0,22.0,41.0,0.0,0.0,0.0,0.0
13,0406,342.0,156.0,29.0,48.0,9.0,4.0,37.0,2.0,17.0,3.0,0.0,0.0,187.0,23.0,38.0,30.0,3.0,35.0,42.0,2.0,0.0,0.0,0.0
14,0404,233.0,163.0,0.0,17.0,5.0,55.0,52.0,0.0,26.0,0.0,0.0,0.0,70.0,0.0,22.0,10.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0
15,0408,686.0,375.0,101.0,143.0,5.0,3.0,30.0,0.0,15.0,0.0,63.0,0.0,311.0,94.0,135.0,28.0,1.0,22.0,0.0,12.0,3.0,0.0,2.0
16,0409,820.0,377.0,85.0,129.0,23.0,4.0,27.0,13.0,16.0,12.0,20.0,0.0,444.0,100.0,92.0,43.0,2.0,59.0,49.0,40.0,6.0,1.0,2.0
17,0504,170.0,85.0,0.0,5.0,37.0,9.0,11.0,8.0,0.0,0.0,0.0,0.0,85.0,0.0,10.0,7.0,16.0,25.0,0.0,0.0,0.0,19.0,0.0
18,0503,25.0,12.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0501,354.0,127.0,7.0,10.0,17.0,0.0,0.0,16.0,4.0,30.0,2.0,2.0,225.0,59.0,14.0,32.0,2.0,47.0,13.0,3.0,5.0,6.0,0.0
20,0902,497.0,226.0,1.0,21.0,82.0,23.0,28.0,8.0,11.0,1.0,8.0,0.0,270.0,15.0,15.0,10.0,24.0,33.0,26.0,10.0,8.0,16.0,1.0
21,0901,457.0,219.0,10.0,41.0,1.0,0.0,10.0,16.0,66.0,10.0,0.0,0.0,237.0,20.0,0.0,31.0,11.0,39.0,36.0,15.0,27.0,0.0,8.0
22,0502,492.0,304.0,27.0,67.0,54.0,41.0,46.0,21.0,0.0,0.0,31.0,0.0,188.0,0.0,51.0,39.0,13.0,17.0,5.0,21.0,14.0,22.0,6.0
23,0603,56.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,16.0,0.0,0.0
24,0605,76.0,38.0,0.0,2.0,7.0,5.0,0.0,15.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,6.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0
