,WARD_PRECI,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 85+
0,0102,987.0,438.0,13.0,24.0,51.0,92.0,58.0,84.0,17.0,32.0,20.0,6.0,549.0,55.0,50.0,74.0,136.0,19.0,29.0,44.0,15.0,47.0,14.0
1,0105,1030.0,610.0,12.0,24.0,53.0,156.0,66.0,55.0,87.0,29.0,12.0,3.0,419.0,1.0,1.0,73.0,103.0,53.0,35.0,39.0,36.0,19.0,15.0
2,0203,1232.0,571.0,2.0,6.0,70.0,100.0,97.0,63.0,41.0,41.0,20.0,3.0,662.0,3.0,7.0,52.0,112.0,97.0,92.0,85.0,62.0,43.0,11.0
3,0205,1320.0,628.0,0.0,7.0,82.0,129.0,110.0,77.0,38.0,38.0,18.0,0.0,693.0,7.0,10.0,77.0,119.0,121.0,87.0,63.0,65.0,9.0,3.0
4,0204,1428.0,667.0,0.0,7.0,83.0,131.0,121.0,80.0,40.0,43.0,18.0,0.0,761.0,7.0,9.0,80.0,124.0,139.0,92.0,69.0,71.0,9.0,11.0
5,0206,1192.0,561.0,0.0,17.0,52.0,100.0,93.0,84.0,48.0,30.0,16.0,8.0,631.0,4.0,11.0,79.0,88.0,109.0,86.0,69.0,45.0,14.0,10.0
6,0303,2478.0,1274.0,2.0,108.0,472.0,247.0,108.0,60.0,103.0,68.0,53.0,3.0,1203.0,1.0,159.0,405.0,158.0,128.0,59.0,107.0,79.0,34.0,8.0
7,0304,1725.0,934.0,3.0,128.0,265.0,241.0,96.0,35.0,38.0,37.0,30.0,4.0,788.0,0.0,44.0,221.0,118.0,131.0,56.0,46.0,61.0,41.0,5.0
8,0307,2049.0,1099.0,0.0,22.0,164.0,154.0,152.0,210.0,164.0,103.0,10.0,10.0,950.0,0.0,46.0,201.0,151.0,140.0,139.0,120.0,50.0,15.0,6.0
9,0402,3194.0,1575.0,2.0,28.0,224.0,231.0,232.0,211.0,281.0,239.0,60.0,5.0,1619.0,32.0,82.0,237.0,190.0,208.0,162.0,261.0,283.0,78.0,63.0
10,0401,1574.0,715.0,5.0,21.0,70.0,110.0,111.0,117.0,106.0,88.0,16.0,9.0,858.0,0.0,50.0,174.0,121.0,147.0,75.0,100.0,69.0,12.0,8.0
