,WARD_PRECI,Total,18-44,44+
0,101,1194.0,0.647,0.302
1,102,2633.0,0.648,0.36
2,103,3499.0,0.588,0.355
3,104,2319.0,0.61,0.372
4,105,4018.0,0.527,0.398
5,106,3633.0,0.587,0.351
6,107,3371.0,0.608,0.329
7,108,2882.0,0.583,0.342
8,109,1749.0,0.533,0.427
9,110,2591.0,0.562,0.385
10,111,1933.0,0.637,0.323
11,112,2668.0,0.65,0.314
12,114,1562.0,0.649,0.314
13,115,99.0,0.333,0.515
14,201,3918.0,0.628,0.291
15,202,3737.0,0.629,0.263
16,203,1519.0,0.642,0.297
17,204,1927.0,0.642,0.34
18,205,1679.0,0.65,0.347
19,206,1506.0,0.635,0.338
20,207,2118.0,0.647,0.273
21,301,1719.0,0.706,0.23
22,302,2097.0,0.74,0.184
23,303,2799.0,0.759,0.193
24,304,2041.0,0.736,0.232
25,305,4809.0,0.706,0.249
26,306,7982.0,0.679,0.261
27,307,4372.0,0.629,0.305
28,308,9275.0,0.737,0.257
29,401,2113.0,0.654,0.302
30,402,4937.0,0.703,0.229
31,403,1574.0,0.673,0.275
32,404,2196.0,0.701,0.23
33,405,2689.0,0.811,0.174
34,406,2689.0,0.795,0.177
35,407,2788.0,0.883,0.225
36,408,6614.0,0.933,0.245
37,409,5252.0,0.908,0.253
38,410,6966.0,0.9,0.287
39,501,6621.0,0.675,0.273
40,502,1605.0,0.705,0.283
41,502,3801.0,0.748,0.245
42,503,2846.0,0.663,0.237
43,504,2075.0,0.763,0.166
44,505,1185.0,0.659,0.246
45,506,2635.0,0.728,0.225
46,507,2596.0,0.731,0.223
47,508,2737.0,0.718,0.227
48,509,4273.0,0.76,0.216
49,510,5586.0,0.88,0.224
50,511,2113.0,0.713,0.204
51,601,6336.0,0.639,0.296
52,602,2518.0,0.693,0.249
53,603,1451.0,0.708,0.251
54,604,2224.0,0.683,0.26
55,605,2175.0,0.67,0.282
56,606,1846.0,0.685,0.256
57,607,2400.0,0.669,0.286
58,608,1566.0,0.685,0.271
59,609,2214.0,0.668,0.293
60,701,2085.0,0.69,0.258
61,702,1935.0,0.698,0.224
62,703,2880.0,0.704,0.21
63,704,2063.0,0.687,0.235
64,705,3147.0,0.676,0.265
65,706,1470.0,0.655,0.262
