OBJECTID,PRECINCT,WARD_PRECINCT,Plan_Dist,Shape__Area,Shape__Length
1,13,0113,,7562361.03295898,13647.0353437691
2,02,0102,,2045208.25610352,5709.04485126054
3,05,0105,,4427768.86816406,9601.0636230557
4,03,0203,,1546241.97753906,5352.43320157228
5,05,0205,,1603861.14306641,7036.3616669338
6,04,0204,,1426972.13696289,5695.06872362631
7,06,0206,,1909629.62744141,6889.44830190093
8,03,0303,,1403483.59765625,7430.58915851395
9,04,0304,,1128028.17700195,4991.95967482793
10,07,0307,,3302960.92089844,7764.87879258488
11,02,0402,,4953373.63720703,10013.71547012
12,01,0401,,1323645.81933594,5071.16460692068
13,03,0403,,969792.726318359,4785.63454728432
14,05,0405,,1661262.93945313,7114.7412453349
15,06,0406,,1245145.90576172,5056.4758206664
16,04,0404,,1256822.26147461,4876.36126901639
17,08,0408,,2905349.32910156,8182.770954495
18,09,0409,,4228072.32519531,9717.37792590945
19,04,0504,,772475.547363281,3637.50241397075
20,03,0503,,5058268.16235352,10213.2432181654
21,01,0501,,5226304.42675781,10017.4016359539
22,02,0902,,1591698.03515625,6937.82614848148
23,01,0901,,1575601.64038086,5093.72888757282
24,02,0502,,3624049.6574707,9651.61286366447
25,03,0603,,1673926.29907227,5980.27093832019
26,05,0605,,3919154.86474609,8444.31662982019
27,06,0606,,1448937.24853516,6307.87318105978
28,02,0602,,1661990.28564453,6947.07389993781
29,08,0608,,1349277.72436523,4647.28718545889
30,02,0702,,1492219.265625,5113.3518853641
31,06,0706,,2423387.76123047,9398.10712911697
32,05,0805,,2759753.63964844,10552.5233540367
33,03,0803,,5069857.32446289,12989.9231462365
34,01,1201,,4348740.33056641,9857.03048753952
35,05,0905,,7204292.24267578,14120.061258017
36,02,1002,,1792162.68115234,7062.95591095101
37,01,1001,,961411.079345703,5082.9670007989
38,04,0904,,5106455.69604492,15442.828934978
39,03,0903,,3264998.99633789,8714.3884503388
40,04,0804,,2122909.45166016,8074.85085964215
41,06,0806,,5653786.13012695,12599.8028223652
42,09,0709,,3586535.47900391,10877.7405366803
43,10,0710,,2879552.92407227,7489.10868583977
44,07,0807,,1992558.21069336,8658.78304236315
45,06,1006,,2468960.4621582,8056.7892083804
46,03,1003,,1988134.68115234,7243.32892833415
47,01,1101,,3556259.35375977,9528.30497510385
48,07,1007,,2170779.9362793,8094.28331130611
49,09,1209,,2074568.82202148,7996.46705488444
50,03,1103,,2353415.03027344,6788.98226569261
51,05,1105,,2461749.6550293,6867.10608466657
52,06,1106,,2676268.15161133,7487.09120494174
53,07,1107,,4186479.671875,10085.2737791269
54,04,1104,,4143975.94506836,10368.3936042741
55,06,1206,,2154257.02490234,8011.54469615358
56,04,1204,,2364550.18725586,7032.01768417142
57,05,1205,,1657715.64892578,6370.25493959627
58,01,1301,,2782240.921875,8751.77902809236
59,06,1306,,1968720.19921875,10194.2737725368
60,08,1308,,1805480.76098633,8004.79719817713
61,04,1304,,2548267.14331055,7750.05718127691
62,02,1302,,1222221.38354492,5387.14407485137
63,07,1307,,2036556.21923828,6189.7673278368
64,09,1309,,2121181.7487793,7913.25811925422
65,05,1305,,1990787.56542969,7518.46707574539
66,01,1401,,6246690.80688477,11061.576323126
67,06,1406,,1815094.73510742,9092.35051193631
68,04,1404,,3293978.31762695,8190.66357808146
69,03,1403,,2280538.8215332,8178.50617139088
70,03,1503,,1444759.42456055,6092.67906810106
71,01,1501,,3235622.72094727,8763.06137270005
72,02,1502,,1928627.9309082,6706.10641211803
73,04,1504,,3870256.35424805,10196.4916929178
74,05,1505,,2092647.25097656,8282.43227404079
75,07,1507,,1465604.85180664,5676.00665747138
76,08,1508,,1918590.98095703,8144.04452859766
77,06,1506,,3895240.765625,10815.8022360905
78,09,1509,,2189283.28588867,6950.38520014
79,09,1009,,3807476.86962891,12529.9259640981
80,08,1908,,2368682.89624023,5939.4624070033
81,06,1906,,3931268.41943359,11893.0047795274
82,01,1901,,1826340.86303711,5314.81642994375
83,04,2104,,2490258.36865234,8107.39669002149
84,05,2105,,1952985.88427734,7267.17739254839
85,07,2107,,1955539.80664063,6371.55398977058
86,08,2108,,1563412.83813477,6144.343860398
87,06,2106,,2788344.82714844,9903.2753827899
88,10,2110,,1544388.90649414,6228.90361003842
89,15,2115,,1123482.68676758,6422.05513053708
90,02,2202,,6494100.64135742,12722.4174719294
91,03,2203,,4300178.23046875,11874.3688971006
92,07,2207,,3746271.42041016,8894.55532369312
93,13,2213,,2832347.63110352,7244.81002062143
94,04,2204,,3499947.50268555,9194.70680072863
95,10,2210,,4412558.75512695,11902.5096856373
96,08,1108,,5924070.27075195,11196.7301976554
97,05,0705,,5913408.88525391,14119.6759330334
98,09,2209,,3570205.89453125,10923.54624326
99,11,2111,,2166932.12744141,6761.35529905409
100,13,2113,,2843395.81787109,9193.89390218086
101,06,2206,,1879921.48803711,6795.36022114572
102,09,2109,,4966567.66015625,10088.102973348
103,01,2101,,3307176.05981445,11903.0271258366
104,05,1005,,3927588.80810547,10707.1621136548
105,04,0704,,1405099.11450195,6421.33046203481
106,08,0708,,7012078.52270508,13983.423669194
107,03,1203,,2165662.37109375,8054.782399138
108,02,1202,,4003176.81030273,12318.0355808246
109,02,1102,,3349713.23413086,11094.6420925096
110,04,1904,,2832335.34960938,9909.39043981252
111,05,1905,,2820075.47802734,8465.77827346057
112,03,1903,,8544525.76098633,17381.9768322007
113,02,1402,,5197295.35742188,16291.8418653267
114,07,1407,,2396445.81103516,9831.03906938364
