,Ward/Precinct,CC Ballots 2009,CC Ballots 2019,M Ballots 2009,M Ballots 2017,Registered Voters 2009,Registered Voters 2017,Registered Voters 2019,CC Voter Turnout 2009,CC Voter Turnout 2019,M Voter Turnout 2009,M Voter Turnout 2017,CC % Net Change,M % Net Change,CC Net Change,M Net Change,Median Income 2009,Median Income 2017/19,% Change in Median Income,Neighborhood
0,0101,397,280,397,495.0,1113,1397.0,1485,0.36,0.19,0.36,0.35,-0.16999999999999998,-0.010000000000000009,-117,98.0,59115,93699,0.59,East Boston
1,0102,273,147,273,298.0,816,1035.0,1108,0.33,0.13,0.33,0.29,-0.2,-0.040000000000000036,-126,25.0,53958,81150,0.5,East Boston
2,0103,600,374,600,711.0,1720,2379.0,2665,0.35,0.14,0.35,0.3,-0.20999999999999996,-0.04999999999999999,-226,111.0,47616,72098,0.51,East Boston
3,0104,183,125,183,230.0,563,798.0,1122,0.33,0.11,0.33,0.29,-0.22000000000000003,-0.040000000000000036,-58,47.0,51557,70361,0.36,East Boston
4,0105,286,133,286,355.0,960,1255.0,1376,0.3,0.1,0.3,0.28,-0.19999999999999998,-0.019999999999999962,-153,69.0,56501,76775,0.36,East Boston
5,0106,254,153,254,313.0,836,1171.0,1272,0.3,0.12,0.3,0.27,-0.18,-0.02999999999999997,-101,59.0,46424,55989,0.21,East Boston
6,0107,260,150,260,340.0,1046,1218.0,1308,0.25,0.11,0.25,0.28,-0.14,0.030000000000000027,-110,80.0,37904,48738,0.29,East Boston
7,0108,381,239,381,477.0,1413,1708.0,1834,0.27,0.13,0.27,0.28,-0.14,0.010000000000000009,-142,96.0,45237,56037,0.24,East Boston
8,0109,215,149,215,344.0,838,1093.0,1163,0.26,0.13,0.26,0.31,-0.13,0.04999999999999999,-66,129.0,44503,55571,0.25,East Boston
9,0110,157,92,157,193.0,582,742.0,829,0.27,0.11,0.27,0.26,-0.16000000000000003,-0.010000000000000009,-65,36.0,55669,73488,0.32,East Boston
10,0111,526,257,526,566.0,1296,1425.0,1474,0.41,0.17,0.41,0.4,-0.23999999999999996,-0.009999999999999953,-269,40.0,56681,79438,0.4,East Boston
